[I 2026-07-17 15:03:41,491] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:06:55,099] Trial 25 finished with value: -0.04278181447954626 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.42379768401492884, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4504355851569849, 'reg_lambda': 11.345291022479387, 'gamma': 0.0007997603888998704}. Best is trial 25 with value: -0.04278181447954626.
[I 2026-07-17 15:07:08,815] Trial 26 finished with value: -0.04461712549074037 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.3878692446984293, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5706817637596078, 'reg_lambda': 9.297128895934128, 'gamma': 0.000859593154214452}. Best is trial 26 with value: -0.04461712549074037.
[I 2026-07-17 15:07:21,987] Trial 27 finished with value: -0.045622869308976924 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.49984717134780177, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0088426621230184, 'reg_lambda': 6.744220643123765, 'gamma': 0.0006288802585565635}. Best is trial 27 with value: -0.045622869308976924.
[I 2026-07-17 15:07:39,711] Trial 28 finished with value: -0.04574983525930776 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.30131151020522773, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.892750403609432, 'reg_lambda': 3.4253198058154832, 'gamma': 0.0012702246682967766}. Best is trial 28 with value: -0.04574983525930776.
[I 2026-07-17 15:07:46,164] Trial 29 finished with value: -0.05279429003585783 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.2889346957437202, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00035493740515346904, 'reg_lambda': 3.2530319766450324, 'gamma': 0.0015662291971903764}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:07:51,838] Trial 30 finished with value: -0.03191926751011872 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.18644508729588324, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00027800919608871223, 'reg_lambda': 0.0039117444232385735, 'gamma': 0.0015253333160456996}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:07:58,339] Trial 32 finished with value: -0.02345112926354804 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.14225897160917886, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2571081084974596, 'reg_lambda': 0.0024075705421040343, 'gamma': 0.0012358019133998646}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:00,577] Trial 31 finished with value: -0.04228798666109639 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.12140601006863609, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.655525473752747, 'reg_lambda': 0.002993673330872682, 'gamma': 0.0011348097294538039}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:15,617] Trial 33 finished with value: -0.03559130030677166 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.13843242070976794, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.229969074539525, 'reg_lambda': 4.806408872312297, 'gamma': 0.0004214661446356051}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:25,299] Trial 34 finished with value: -0.02885173954246794 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.16608563653864078, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.583973353855352, 'reg_lambda': 8.006324520065258, 'gamma': 0.0025766416966967534}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:35,099] Trial 35 finished with value: -0.02958325334481424 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.17464546320469157, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4701161217223557, 'reg_lambda': 8.980635876865275, 'gamma': 0.0006932247984982335}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:38,985] Trial 36 finished with value: -0.02276526624672968 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.17261318607339926, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.913197748046971, 'reg_lambda': 7.426845748787872, 'gamma': 0.030359338635243812}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:48,071] Trial 37 finished with value: -0.032621382393316495 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.20416416269927237, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9174315559682018, 'reg_lambda': 6.250711450999584, 'gamma': 0.03854944590098112}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:08:58,959] Trial 38 finished with value: -0.030648672764040732 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.1674260099846758, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.4994732748470274, 'reg_lambda': 7.380669177104049, 'gamma': 0.015912651639218636}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:09:09,174] Trial 39 finished with value: -0.031020544354909085 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.21498067116034233, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 3.110527943046884, 'reg_lambda': 9.503397107813058, 'gamma': 0.014970172429950128}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:09:18,851] Trial 40 finished with value: -0.02568712928329499 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.05885766122040421, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.04747902519159467, 'reg_lambda': 8.53604619587645, 'gamma': 0.02411586915433681}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:09:28,640] Trial 41 finished with value: -0.025619121717320788 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.064576996973057, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.06925626725384634, 'reg_lambda': 0.8745848538199023, 'gamma': 0.041604295823717934}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:09:37,250] Trial 42 finished with value: -0.025167280663709532 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.052634457173552404, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.057102416054620776, 'reg_lambda': 0.8047831197685681, 'gamma': 0.03571284968454753}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:09:46,134] Trial 43 finished with value: -0.02635706784422136 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.06750315893835107, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0308132519874286, 'reg_lambda': 0.799623855372151, 'gamma': 0.041955136864588544}. Best is trial 29 with value: -0.05279429003585783.
