[I 2026-07-17 15:56:31,847] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:59:13,515] Trial 27 finished with value: -0.41055526714215906 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.17897874769709737, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.05268804104519567, 'reg_lambda': 5.839865624014417e-06, 'gamma': 1.2060439066726727e-06}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 15:59:21,110] Trial 28 finished with value: -0.3363539902172431 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.1462940549981601, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 3.4655606661071236e-06, 'reg_lambda': 0.061515230979610515, 'gamma': 0.008639982937143405}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 15:59:27,656] Trial 29 finished with value: -0.29975812716380157 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.15790372155385063, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1072418689696893e-06, 'reg_lambda': 0.03246224299071441, 'gamma': 0.0075964934756834026}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 15:59:45,893] Trial 30 finished with value: -0.41396968762867153 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.14005437985028685, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.7324743607497883e-06, 'reg_lambda': 0.05358689237664724, 'gamma': 0.007984397301928785}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 15:59:56,082] Trial 31 finished with value: -0.4548960425164643 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.16810545655865836, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0006090543830628358, 'reg_lambda': 0.05589774280788721, 'gamma': 0.015733162413686802}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:00:05,567] Trial 32 finished with value: -0.4684074257314146 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.17042014235839376, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.000543176636700313, 'reg_lambda': 0.05314461530412844, 'gamma': 0.0052718559393149095}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:00:14,703] Trial 33 finished with value: -0.4110605014610673 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.14844838529147464, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0004622486591008259, 'reg_lambda': 1.0046678007638782e-06, 'gamma': 0.005197871822914095}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:00:24,692] Trial 34 finished with value: -0.41129370489050265 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.17007154657970655, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00037054910059798314, 'reg_lambda': 1.0839845209426232e-06, 'gamma': 1.7582311020508575e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:00:40,723] Trial 35 finished with value: -0.44149609641541504 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.1574444179501263, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0003812107194265128, 'reg_lambda': 1.7555538720779625e-06, 'gamma': 1.804362827488846e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:00:50,854] Trial 36 finished with value: -0.3084202493807752 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.04004830945369404, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0004617806934814556, 'reg_lambda': 1.071493004589603e-06, 'gamma': 1.768074517509702e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:00,985] Trial 37 finished with value: -0.303446916479832 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.040237793125029245, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00041454776559668915, 'reg_lambda': 1.2881561490576906e-06, 'gamma': 1.709256507092872e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:12,824] Trial 38 finished with value: -0.3090195209657867 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.044837178288064446, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.1258933332953958e-05, 'reg_lambda': 5.138361515602076e-06, 'gamma': 1.677518501511253e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:21,605] Trial 39 finished with value: -0.3016754818712959 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.044308287829297556, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0006806400245372466, 'reg_lambda': 3.2257603518291647e-06, 'gamma': 1.7359824802933493e-05}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:29,560] Trial 40 finished with value: -0.32238539676054895 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.05420413343592762, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00040247100222134155, 'reg_lambda': 2.8365283225342495, 'gamma': 0.061659072661649175}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:38,378] Trial 41 finished with value: -0.32252055258122425 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.04844176274611198, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0002399756118628301, 'reg_lambda': 1.7563859366760377, 'gamma': 0.05351601162938821}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:46,797] Trial 42 finished with value: -0.3468619484119468 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.040755698527530575, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.076108668981007e-05, 'reg_lambda': 2.030538466334076, 'gamma': 0.0016272798531341175}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:01:53,753] Trial 43 finished with value: -0.3251794226123762 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.04157893107724028, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.004818091846126e-05, 'reg_lambda': 1.683642288957311, 'gamma': 0.05782548473212489}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:02,452] Trial 44 finished with value: -0.391252784612157 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.07991954830941418, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.026578697008826e-05, 'reg_lambda': 4.398202454870851, 'gamma': 0.020040349667263327}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:09,380] Trial 45 finished with value: -0.3766915282042808 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.09856840880846189, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 6.600528396816696e-05, 'reg_lambda': 2.545977796809815, 'gamma': 0.0702575851574814}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:16,951] Trial 46 finished with value: -0.3933638511029215 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.08759510424212599, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.902772020427405e-05, 'reg_lambda': 3.0613348183257205, 'gamma': 0.050043876497884186}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:22,555] Trial 47 finished with value: -0.34844201910608086 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.08245502732469215, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 9.22628171142444e-05, 'reg_lambda': 3.2403750765385033, 'gamma': 0.08205841599424799}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:32,368] Trial 48 finished with value: -0.40275645269692273 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.08646366950234284, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 4.767732503962283e-05, 'reg_lambda': 0.001562413451699151, 'gamma': 0.05413922831571431}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:02:44,628] Trial 49 finished with value: -0.4637948908738657 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.09403539992714068, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 8.032182091731383e-05, 'reg_lambda': 0.0010858802541331765, 'gamma': 0.0006700497159486118}. Best is trial 25 with value: -0.4727175240978664.
[I 2026-07-17 16:03:00,223] Trial 50 finished with value: -0.46350640115852504 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.08362346282409762, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.001541088415268405, 'reg_lambda': 0.0015077237898650491, 'gamma': 0.00013906988500705534}. Best is trial 25 with value: -0.4727175240978664.
