[I 2026-07-17 11:27:56,151] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:34:09,523] Trial 35 finished with value: -0.20110572092223983 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.0009457770891960403, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.08131245552842901, 'reg_lambda': 0.0004314109883678885, 'gamma': 5.674323702386498}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:14,933] Trial 36 finished with value: -0.20284633098618582 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.0009105972352275512, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.06649965007077638, 'reg_lambda': 1.000242866880583e-05, 'gamma': 8.700850661221141}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:19,279] Trial 37 finished with value: -0.2077038882397328 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.0008272917471502549, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.1055035271426615, 'reg_lambda': 0.00024723717689658, 'gamma': 14.783876983128973}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:23,256] Trial 38 finished with value: -0.2074168061444947 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.0007724177220875877, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.08223369662694512, 'reg_lambda': 0.0002487320760618073, 'gamma': 13.238814200104558}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:27,229] Trial 39 finished with value: -0.21048186904890856 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.0006003269024620083, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.07405589132009009, 'reg_lambda': 0.0002614847230420929, 'gamma': 14.516652321275664}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:31,202] Trial 40 finished with value: -0.225298248345886 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.00021843585967221642, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06263757629257606, 'reg_lambda': 0.00025504439082915746, 'gamma': 18.983714153276875}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:35,495] Trial 41 finished with value: -0.22432271085688976 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.00021911494540649538, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06902447030199164, 'reg_lambda': 0.0002893256163017769, 'gamma': 17.526706991755532}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:39,663] Trial 42 finished with value: -0.22558631474929414 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.00020737854803645663, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06288593368226134, 'reg_lambda': 0.0002239382954127224, 'gamma': 18.67755085928099}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:44,054] Trial 43 finished with value: -0.22218840294311337 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.0002518370767032085, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.27091943718213635, 'reg_lambda': 0.0001451796299839838, 'gamma': 16.828344143164}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:34:48,211] Trial 44 finished with value: -0.22641014796506276 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.00019876181291506078, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.44083273383358845, 'reg_lambda': 0.00014760420108656024, 'gamma': 20.0899283513797}. Best is trial 21 with value: -0.24380815428015054.
