[I 2026-07-17 12:33:01,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:35:01,045] Trial 22 finished with value: -0.07067086352467002 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.03336777192732057, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.013326256979750808, 'reg_lambda': 0.007914756652586471, 'gamma': 0.00011619741738483313}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:03,335] Trial 23 finished with value: -0.07345995041307636 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.05440983246338141, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.019262098194561702, 'reg_lambda': 1.3355971135657163e-06, 'gamma': 3.2707332376445415e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:05,626] Trial 24 finished with value: -0.07264056376660319 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.04843352651635864, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005214989819190169, 'reg_lambda': 0.15990484206280714, 'gamma': 2.7527126918537653e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:08,291] Trial 25 finished with value: -0.07455279780005983 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.05152677074948571, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0018459924157117526, 'reg_lambda': 2.607593249666652e-06, 'gamma': 1.8123564199795725e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:11,844] Trial 26 finished with value: -0.088036046527321 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.09649173692811906, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0025853881972865947, 'reg_lambda': 0.0015356595664929042, 'gamma': 2.2515976465222452e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:16,161] Trial 27 finished with value: -0.09758896527501572 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.103862054960043, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0030576433397560723, 'reg_lambda': 0.001426790615202723, 'gamma': 1.5468794588070625e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:20,938] Trial 28 finished with value: -0.09597225950892238 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.11356019345661475, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0010032247660485191, 'reg_lambda': 0.0006756914343012116, 'gamma': 2.2419621423793035e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:26,067] Trial 29 finished with value: -0.09922279304339855 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.1254618932909046, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0010496920274691527, 'reg_lambda': 0.001082070926250076, 'gamma': 1.8105341106303207e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:31,883] Trial 30 finished with value: -0.10252907991281202 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.12958898611028047, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0008130458695709611, 'reg_lambda': 0.0007004421640949987, 'gamma': 1.5036715086531143e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:37,758] Trial 31 finished with value: -0.10418005661734038 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.13670070571779722, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0009853126810228027, 'reg_lambda': 0.0006918225133752859, 'gamma': 1.5372310090437158e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:43,644] Trial 32 finished with value: -0.10646999842864813 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.1449675408092084, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.000849373929729921, 'reg_lambda': 0.001307384635566284, 'gamma': 0.0008391842353632255}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:48,757] Trial 33 finished with value: -0.10914152433103465 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.1518530804728979, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005565109383075251, 'reg_lambda': 0.0005120836742618354, 'gamma': 0.000718234980929974}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:54,170] Trial 34 finished with value: -0.1082784515657123 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.16860121753418142, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006023020068218658, 'reg_lambda': 0.000694361155665748, 'gamma': 0.0005686226880257868}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:35:59,534] Trial 35 finished with value: -0.11229553376313745 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.19907914941324695, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006619310277137231, 'reg_lambda': 0.00037916372425944334, 'gamma': 0.0008493695751232655}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:36:10,104] Trial 36 finished with value: -0.1374771360567305 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.19664506843205296, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00036888929270841817, 'reg_lambda': 0.00028080473552535807, 'gamma': 0.0005576786490336048}. Best is trial 36 with value: -0.1374771360567305.
