[I 2026-07-17 11:36:52,867] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:39:31,172] Trial 22 finished with value: -0.12743815312222395 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.000640140886341278, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 71.80784181627342, 'reg_lambda': 1.0193316745306268e-06, 'gamma': 1.21972284570198e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:31,765] Trial 23 finished with value: -0.12869489672254983 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.0006976316717690978, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 89.16683070291694, 'reg_lambda': 2.679116911924375e-06, 'gamma': 1.6430219607797315e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:32,574] Trial 24 finished with value: -0.13290956840312326 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0006179124754600727, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0029775282947310778, 'reg_lambda': 42.64966417088033, 'gamma': 1.330925901366254e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:33,190] Trial 25 finished with value: -0.13316924613130254 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0007946502447012748, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0016119019215287123, 'reg_lambda': 4.817613501762955, 'gamma': 2.30661799180562e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:33,830] Trial 26 finished with value: -0.13319128021823698 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0008093442424539855, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0009587896059823531, 'reg_lambda': 82.61618567909728, 'gamma': 3.4079693661117604e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:34,292] Trial 27 finished with value: -0.13182564573677688 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0011508398576240422, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007668993680295453, 'reg_lambda': 67.43218673189713, 'gamma': 2.7528484051492463e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:35,479] Trial 28 finished with value: -0.12348320159524373 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.001276229214406542, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0015727770648912094, 'reg_lambda': 26.10688508510179, 'gamma': 2.9018001892157836e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:36,094] Trial 29 finished with value: -0.12530436067042927 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.001887608600758525, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0015264675958280576, 'reg_lambda': 39.888969103004904, 'gamma': 2.1378167378859468e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:36,541] Trial 30 finished with value: -0.13020753198160828 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0015757582593521084, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.001985189173303635, 'reg_lambda': 9.162209696428132, 'gamma': 2.5961222253256053e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:37,075] Trial 31 finished with value: -0.12840773911013242 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.001999088355642038, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0009857203247850457, 'reg_lambda': 36.39855548734304, 'gamma': 2.8809966941674545e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:39,349] Trial 32 finished with value: -0.10028819825659645 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0015057120652671933, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007544660411173189, 'reg_lambda': 0.00016746447691352843, 'gamma': 1.7610591398937616e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:41,784] Trial 33 finished with value: -0.1295123753566657 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.0002454626479584077, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 3.5926522853319212e-06, 'reg_lambda': 0.00016159577700416302, 'gamma': 2.7874732555775275e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:44,211] Trial 34 finished with value: -0.12973894349293985 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.0002386295149474732, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.7087442989734581e-06, 'reg_lambda': 0.0002326681615691901, 'gamma': 2.16169407308253e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:46,914] Trial 35 finished with value: -0.12776790110167577 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0002728010543812747, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.8363694776222196e-06, 'reg_lambda': 0.00029612938797868456, 'gamma': 9.271390935786256e-05}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:49,403] Trial 36 finished with value: -0.12572870660999744 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.00033914096397712933, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.193673914539115e-06, 'reg_lambda': 0.0007530612734758908, 'gamma': 0.00024183291849108032}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:53,954] Trial 37 finished with value: -0.12883992774203856 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.00028508696839670873, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 5.389313887510812e-06, 'reg_lambda': 0.00031502521799055613, 'gamma': 0.00038139859467719244}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:58,454] Trial 38 finished with value: -0.1293246329495857 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0002640312427351395, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.413893095213552e-06, 'reg_lambda': 5.276353518242182, 'gamma': 0.0002947456514996262}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:03,177] Trial 39 finished with value: -0.12936208060328036 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0002733249246159408, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.911968716569554e-06, 'reg_lambda': 7.833217509293509, 'gamma': 0.0005416924862083944}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:06,967] Trial 40 finished with value: -0.12783635819156972 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.000300402558591777, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1134457852865142e-06, 'reg_lambda': 4.252607209787153, 'gamma': 0.0003819465298158276}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:10,757] Trial 41 finished with value: -0.12782408718160007 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.00031611183441874465, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.3114413064606504e-06, 'reg_lambda': 6.298090802587578, 'gamma': 0.00031970723371779736}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:15,253] Trial 42 finished with value: -0.1246955123986302 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.00035740293718974133, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00020784112086559016, 'reg_lambda': 5.736780171117593, 'gamma': 0.00017040330838502817}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:22,124] Trial 43 finished with value: -0.11576137569531728 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.0004348412074839685, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001458436757738861, 'reg_lambda': 2.998555786268565, 'gamma': 0.0010238868672027188}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:28,232] Trial 44 finished with value: -0.06542160903339357 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.007401285413387398, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.5589246524148551, 'reg_lambda': 7.456620764799747, 'gamma': 6.407393037197515e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:40:35,004] Trial 45 finished with value: -0.06573187936884223 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.019118368643347237, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.41908314647467676, 'reg_lambda': 6.828779552142297, 'gamma': 5.827184887453006e-06}. Best is trial 12 with value: -0.13473690343427222.
