[I 2026-07-17 13:38:07,105] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:40:45,544] Trial 22 finished with value: -0.0400687769029607 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.14522550508835264, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1556561939090034e-06, 'reg_lambda': 1.2192381738414457e-06, 'gamma': 0.00013218297397320347}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:40:56,765] Trial 23 finished with value: -0.03920166510153524 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.12609006323571836, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0762724803643145e-06, 'reg_lambda': 1.126591100897497e-06, 'gamma': 0.008070831080187895}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:41:09,172] Trial 24 finished with value: -0.04258670707785372 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.13947345930556995, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1109742415928874e-06, 'reg_lambda': 1.1307952485492674e-06, 'gamma': 0.010091049820640411}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:41:19,604] Trial 25 finished with value: -0.05298534295963948 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.14859283231333334, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1741660488776642e-06, 'reg_lambda': 0.003913976790467804, 'gamma': 0.008152974567395294}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:41:24,223] Trial 26 finished with value: -0.038366299521898725 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.18127796210402924, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.352144918698087e-06, 'reg_lambda': 2.131400302706678e-05, 'gamma': 4.143370146169672e-05}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:41:28,750] Trial 27 finished with value: -0.03778861690853082 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.20283356082452716, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4461777909782747e-06, 'reg_lambda': 0.013858896144624119, 'gamma': 1.9255413124617904e-05}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:41:40,593] Trial 28 finished with value: -0.07236659574065588 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.2112346370160105, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0986028853410158e-06, 'reg_lambda': 0.021386415426481786, 'gamma': 0.04662967475073653}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:41:45,144] Trial 29 finished with value: -0.039455016135331526 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.21049516763687728, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2723346869416123e-06, 'reg_lambda': 3.717498161090583e-05, 'gamma': 3.994158994176801e-05}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:41:55,834] Trial 30 finished with value: -0.06383210928683065 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.20246862700334017, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1610405368623825e-06, 'reg_lambda': 0.007915480213852664, 'gamma': 1.384041698226832e-05}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:00,203] Trial 31 finished with value: -0.03825507521393603 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.18049100175347738, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.031817683970169e-05, 'reg_lambda': 0.0067161605728421545, 'gamma': 2.5739012490507505e-05}. Best is trial 28 with value: -0.07236659574065588.
