[I 2026-07-17 15:36:30,422] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:38:45,376] Trial 22 finished with value: -0.05671617825667756 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.07579959954145107, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1380814391163079e-06, 'reg_lambda': 1.38681640487461, 'gamma': 2.2542786277018506e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:38:47,880] Trial 23 finished with value: -0.04971128569318464 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.07067059648185137, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 86.72402342276058, 'reg_lambda': 1.292894763501487, 'gamma': 2.940032408987272e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:01,456] Trial 24 finished with value: -0.06598298048997973 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.06343848033006584, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 7.192866952667235e-05, 'reg_lambda': 0.2728840817875894, 'gamma': 1.6291738626755557e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:14,215] Trial 25 finished with value: -0.06988949391236603 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.07403403037517094, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 7.921230608437536e-05, 'reg_lambda': 0.001410315704639827, 'gamma': 2.4174526900540484e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:28,011] Trial 26 finished with value: -0.07705056771733297 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.07432212831733756, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 8.489794673909986e-05, 'reg_lambda': 0.260580064870091, 'gamma': 4.812689218762934e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:30,405] Trial 27 finished with value: -0.04946392042022128 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.06367223863959323, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 7.18322074462839e-05, 'reg_lambda': 0.003333900562043924, 'gamma': 0.8883127207274208}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:37,988] Trial 28 finished with value: -0.07017031336306992 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.08383584035069284, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0001287970968756204, 'reg_lambda': 0.004280060727609352, 'gamma': 1.1757202002456338e-05}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:45,675] Trial 29 finished with value: -0.07280990563363776 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.10320319239217085, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 6.636116914236207e-05, 'reg_lambda': 0.005663031871711586, 'gamma': 5.582382037881017e-06}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:52,066] Trial 30 finished with value: -0.07607285711655241 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.13088258480026035, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 9.86510687374169e-05, 'reg_lambda': 0.005173883329056372, 'gamma': 3.261375977460312e-06}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:39:58,598] Trial 31 finished with value: -0.08571576684284196 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.1438919328467656, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 5.040872432423673e-05, 'reg_lambda': 0.003280161073693508, 'gamma': 3.4321570802142423e-06}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:40:00,078] Trial 32 finished with value: -0.04947360180713983 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.16895868630976116, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 5.876761444834146e-05, 'reg_lambda': 0.0032150513124895256, 'gamma': 0.9115163425438241}. Best is trial 18 with value: -0.14006438333083687.
