[I 2026-07-17 11:42:43,519] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:47:05,216] Trial 24 finished with value: -0.1777527955417502 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.27082870434485573, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00016865757847997975, 'reg_lambda': 0.0005734827794491286, 'gamma': 0.6246585642779431}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:11,382] Trial 26 finished with value: -0.19318667613021373 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.343160244745967, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 78.0243474864608, 'reg_lambda': 0.0004947476593355337, 'gamma': 0.69619786019544}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:14,511] Trial 27 finished with value: -0.17382239991858603 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.10976872634367998, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.749155856335576, 'reg_lambda': 0.0014252334815648394, 'gamma': 1.088569351425308}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:17,065] Trial 28 finished with value: -0.20019383020145481 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.12320131226241342, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 72.80486757734246, 'reg_lambda': 6.514541121641324e-05, 'gamma': 2.607713674231494}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:18,734] Trial 29 finished with value: -0.1872162740686374 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.12606092193076776, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 6.623680853967137, 'reg_lambda': 5.075518189467158e-05, 'gamma': 7.278846758282631}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:19,086] Trial 25 finished with value: -0.17529554339050946 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.11424178937456729, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 5.9198279213250256e-05, 'reg_lambda': 0.001390872650441936, 'gamma': 0.7717983412485303}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:20,892] Trial 30 finished with value: -0.18511119272948745 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.11942129691728581, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 10.189654370931128, 'reg_lambda': 5.872317193715035e-05, 'gamma': 4.55846897842185}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:22,302] Trial 31 finished with value: -0.1842570623327815 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.12598102331382913, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 5.733680985323815, 'reg_lambda': 5.2433747206118476e-05, 'gamma': 4.701950538484042}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:24,375] Trial 32 finished with value: -0.18397873793864247 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.07960376272623458, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.560438596688427, 'reg_lambda': 4.446628591098032e-05, 'gamma': 5.311458776804403}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:26,335] Trial 33 finished with value: -0.18951538201686385 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.09895602970063147, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 7.296237362348365, 'reg_lambda': 6.463255326010333e-05, 'gamma': 10.785600867594047}. Best is trial 6 with value: -0.22148992645804708.
