[I 2026-07-17 11:57:42,900] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:00:35,714] Trial 22 finished with value: -0.09136471219817413 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.02416628031089179, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 7.211857348210846e-05, 'reg_lambda': 2.418356920880673, 'gamma': 0.010525906577126818}. Best is trial 19 with value: -0.16783395164908294.
[I 2026-07-17 12:00:54,918] Trial 23 finished with value: -0.18266831248755924 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.49385244419650676, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 5.559236702693515e-05, 'reg_lambda': 2.046371019462917, 'gamma': 0.011618068993378208}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:01:11,991] Trial 24 finished with value: -0.09049070015911725 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.014152033004475933, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 5.72570790201075e-05, 'reg_lambda': 2.1496434642019007, 'gamma': 0.009853890010557325}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:01:35,809] Trial 25 finished with value: -0.0892734276024612 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.008678654761654993, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 5.352893377516197e-05, 'reg_lambda': 1.1897171390898564, 'gamma': 0.006361342385174677}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:01:52,464] Trial 26 finished with value: -0.09862785933821486 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.04712841433508318, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0001379849593213529, 'reg_lambda': 2.718959236806516, 'gamma': 0.014646193041425228}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:02:09,752] Trial 27 finished with value: -0.1028717594246365 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.055329952080522, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 6.122713226242074e-05, 'reg_lambda': 4.481681771030066, 'gamma': 0.014608194554080994}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:02:30,109] Trial 28 finished with value: -0.14946872025995 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.19922029252492277, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.529118149022992e-05, 'reg_lambda': 4.423643945214281, 'gamma': 0.022368230240922285}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:02:53,303] Trial 29 finished with value: -0.15076823525019595 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.21311600795211108, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00037892572539861006, 'reg_lambda': 3.861574801582651, 'gamma': 0.018270192059625694}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:02:56,465] Trial 30 finished with value: -0.059317957248183284 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.21127873150402743, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.000351056293031403, 'reg_lambda': 4.97089023062846, 'gamma': 3.296013240353346}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:02:59,726] Trial 31 finished with value: -0.05938121860953697 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.490603766931005, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00033149269560424236, 'reg_lambda': 4.488730101377075, 'gamma': 3.641924795843852}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:03,012] Trial 32 finished with value: -0.05934981892891216 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.12182575773325832, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.5826816457770147e-05, 'reg_lambda': 8.28937512671159, 'gamma': 2.650703244259219}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:06,177] Trial 33 finished with value: -0.05932307916826606 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.1220525897881779, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0004349098556162127, 'reg_lambda': 8.152151065864437, 'gamma': 1.2392555572596486}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:09,315] Trial 34 finished with value: -0.05935031030128515 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.12754424031814596, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.236871075074918e-05, 'reg_lambda': 6.707719171903305, 'gamma': 2.7479863771733033}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:22,868] Trial 35 finished with value: -0.12824457622279586 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.11766588224761614, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0821976021203374e-05, 'reg_lambda': 12.700608554952296, 'gamma': 0.055147335964664874}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:25,849] Trial 36 finished with value: -0.05932225624555918 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.13498284820706788, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00044564453297612664, 'reg_lambda': 10.556939611173386, 'gamma': 1.777815900712834}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:28,621] Trial 37 finished with value: -0.05934980691198764 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.10572087487804943, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0004434682572938461, 'reg_lambda': 0.13590614042284238, 'gamma': 1.820639372479363}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:03:47,433] Trial 38 finished with value: -0.15350904187834333 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.16911778850756357, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9072782777175554e-05, 'reg_lambda': 11.187989526287751, 'gamma': 0.04319250779489817}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:04:03,895] Trial 39 finished with value: -0.13452428413654338 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.12997250942757443, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.2788257513564841e-05, 'reg_lambda': 0.16752376538283623, 'gamma': 0.04009200311828367}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:04:06,367] Trial 40 finished with value: -0.05719505249229401 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.12007743666198015, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.028988488309225e-06, 'reg_lambda': 0.18650438751191165, 'gamma': 0.3712977819826417}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:04:22,140] Trial 41 finished with value: -0.13056295401307497 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.2671311828110041, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1166172104145643e-05, 'reg_lambda': 0.1569172414546576, 'gamma': 0.04349205490549724}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:04:34,608] Trial 42 finished with value: -0.1279595677370873 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.2512622282009386, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0014830156772369378, 'reg_lambda': 0.19343780600419228, 'gamma': 0.049139370610937996}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:04:47,501] Trial 43 finished with value: -0.13555513283717202 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.2787417151808387, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4910587848592052e-06, 'reg_lambda': 0.1782973552852407, 'gamma': 0.002447644487134268}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:05:01,888] Trial 44 finished with value: -0.14398184560693936 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.3016064260931615, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0018160534805088092, 'reg_lambda': 0.2137531781828986, 'gamma': 0.0034651851094424794}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:05:12,711] Trial 45 finished with value: -0.140402619706332 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.324219944197817, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.383714638224508e-05, 'reg_lambda': 0.4231331485763, 'gamma': 0.002647017488371107}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:05:26,787] Trial 46 finished with value: -0.13647109561131734 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.32278299064908605, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.9612554964359018e-05, 'reg_lambda': 0.38476061113825044, 'gamma': 0.0029226168445002985}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:05:37,715] Trial 47 finished with value: -0.119183468863467 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.21727528747711894, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0021828253871212858, 'reg_lambda': 0.4835835675347098, 'gamma': 0.0030577323362896993}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:05:50,163] Trial 48 finished with value: -0.1466951190578464 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.2866083268815091, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0020638235133594507, 'reg_lambda': 96.51871185350463, 'gamma': 0.0015564279361725466}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:06:01,876] Trial 49 finished with value: -0.13532879578630946 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.26778092130707676, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0012285167429010042, 'reg_lambda': 0.8003058123594786, 'gamma': 0.0036855508261668737}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:06:12,124] Trial 50 finished with value: -0.17896689009502717 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.2981516370820339, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.886734658921151e-06, 'reg_lambda': 0.6447710241771115, 'gamma': 0.003209186196954312}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:06:24,816] Trial 51 finished with value: -0.11503814218520739 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.2596328379815865, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.5308960511432302e-05, 'reg_lambda': 0.8958465278592329, 'gamma': 0.0028404668725331697}. Best is trial 23 with value: -0.18266831248755924.
[I 2026-07-17 12:06:36,617] Trial 52 finished with value: -0.14498188192376524 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.1945751322354069, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 2.359135914548936e-05, 'reg_lambda': 0.600288820360537, 'gamma': 0.0004654014747716987}. Best is trial 23 with value: -0.18266831248755924.
