[I 2026-07-17 15:00:36,259] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:03:12,282] Trial 24 finished with value: -0.06707946235730315 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.052419684207082824, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.05850816047483356, 'reg_lambda': 0.7653065386324251, 'gamma': 0.0017437031150373346}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:19,201] Trial 25 finished with value: -0.06612049019746313 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.04091574913254643, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.07505783888905534, 'reg_lambda': 1.145918491891668, 'gamma': 0.001014635150337831}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:24,101] Trial 26 finished with value: -0.06747668202490108 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.03656645442764384, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03442486600725239, 'reg_lambda': 0.5293914556182328, 'gamma': 1.4835665067832864e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:28,643] Trial 27 finished with value: -0.064961862786528 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.023420879135154806, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.08323557715035085, 'reg_lambda': 1.563376803989124, 'gamma': 7.627720610514502e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:33,710] Trial 28 finished with value: -0.06391289605401601 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.02507094718532893, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.07897803244042666, 'reg_lambda': 6.228398610320201, 'gamma': 1.0660597819742354e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:37,932] Trial 29 finished with value: -0.06498357408813116 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.024035733432346374, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.05018858575118086, 'reg_lambda': 3.097193863931081, 'gamma': 1.2044869640815335e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:43,626] Trial 30 finished with value: -0.09214417022349519 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.12020552658892372, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.06304790232667268, 'reg_lambda': 7.942947824560238, 'gamma': 1.3916483740209346e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:52,828] Trial 31 finished with value: -0.08860112857774288 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.020178361479444334, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.07468199823991548, 'reg_lambda': 9.258114503153108, 'gamma': 1.5292352573455178e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:03,380] Trial 32 finished with value: -0.07965157719282775 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.019381627895704412, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 6.445264642322164e-05, 'reg_lambda': 7.268477971184732, 'gamma': 1.4311628041770991e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:12,087] Trial 33 finished with value: -0.0792527262102216 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.019740018842942905, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.005437930733567855, 'reg_lambda': 8.0629240798252, 'gamma': 1.3226939620679925e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:20,463] Trial 34 finished with value: -0.07731637548039318 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.01905829604619664, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0038044202747492036, 'reg_lambda': 7.146375324115235, 'gamma': 1.2391566353209436e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:33,155] Trial 35 finished with value: -0.10866410742793255 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.13015769165529834, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004584928539903301, 'reg_lambda': 8.920832152436947, 'gamma': 1.581681830344042e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:43,472] Trial 36 finished with value: -0.1391719120841199 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.3941752997869981, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003084529221529651, 'reg_lambda': 54.91383084189236, 'gamma': 1.5323858129982758e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:04:57,530] Trial 37 finished with value: -0.16703067700079588 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.4849427405239578, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0034598018799820635, 'reg_lambda': 95.75807947467236, 'gamma': 2.9680465644566624e-05}. Best is trial 37 with value: -0.16703067700079588.
[I 2026-07-17 15:05:09,929] Trial 38 finished with value: -0.1619057149927277 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.44446491777575897, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003888170344553762, 'reg_lambda': 93.6458414349068, 'gamma': 2.694571686152188e-05}. Best is trial 37 with value: -0.16703067700079588.
[I 2026-07-17 15:05:19,520] Trial 39 finished with value: -0.16910005009006684 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.41684639015653296, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.008303601084298834, 'reg_lambda': 20.31435565031476, 'gamma': 2.4985468368162947e-05}. Best is trial 39 with value: -0.16910005009006684.
[I 2026-07-17 15:05:31,164] Trial 40 finished with value: -0.19936911789848752 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.4928716504055585, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005616692620639311, 'reg_lambda': 43.78890363547471, 'gamma': 0.00026224742464048734}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:05:39,105] Trial 41 finished with value: -0.16951812665793736 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.4609669894072037, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.35989847336929986, 'reg_lambda': 59.19268851430054, 'gamma': 0.0003078415256123447}. Best is trial 40 with value: -0.19936911789848752.
