[I 2026-07-17 12:07:29,063] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:09:47,110] Trial 22 finished with value: -0.059641984348620336 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.014514818643084751, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0004167925856089326, 'reg_lambda': 1.133180505739804e-06, 'gamma': 0.0010520745587739276}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:47,847] Trial 23 finished with value: -0.05829257780865187 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0248939041219403, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 60.7274978707037, 'reg_lambda': 1.49015472846024e-06, 'gamma': 0.0005913684794767542}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:48,766] Trial 24 finished with value: -0.05830534834879093 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.015541321312834021, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 92.8080073177254, 'reg_lambda': 1.1445434698188331e-06, 'gamma': 0.0007839549323135678}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:58,120] Trial 25 finished with value: -0.08121640044757476 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.017084614890673925, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0005124574208596833, 'reg_lambda': 1.5223477514332827e-06, 'gamma': 0.0004339997731723438}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:10:07,762] Trial 26 finished with value: -0.07971305276500346 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.01541686854027421, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006078265077635622, 'reg_lambda': 1.0317167435260416e-06, 'gamma': 0.013703744773441806}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:10:08,555] Trial 27 finished with value: -0.05829912007048178 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.022321364274442115, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 41.41022303994765, 'reg_lambda': 1.3640754355665873e-06, 'gamma': 0.00788992499988312}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:10:44,262] Trial 29 finished with value: -0.05829749964942721 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.001872966903815013, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 52.63010674438682, 'reg_lambda': 1.0209703945930607e-06, 'gamma': 0.015676105556388892}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:10:45,390] Trial 28 finished with value: -0.06354590621367728 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.0016758500422347188, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.14091421728708237, 'reg_lambda': 2.7228932874451833e-06, 'gamma': 0.01310851746830449}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:10:52,556] Trial 30 finished with value: -0.05836371224867918 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.00212747924429533, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 8.332595221380609e-05, 'reg_lambda': 9.375764660143741e-06, 'gamma': 0.008787703122320557}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:11:01,485] Trial 31 finished with value: -0.05787287788370315 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.0017287614570736663, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.5978609943449846e-05, 'reg_lambda': 1.0367145710346515e-05, 'gamma': 0.012774769086386173}. Best is trial 25 with value: -0.08121640044757476.
