[I 2026-07-17 13:58:41,678] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:02:23,797] Trial 29 finished with value: -0.05458321757652814 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.11154274725596039, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.02060676086409777, 'reg_lambda': 1.4644634045073701, 'gamma': 1.256183166372365e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:02:37,747] Trial 30 finished with value: -0.06468237877645473 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.12283553601067995, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.031200504123873974, 'reg_lambda': 3.3192548925226246, 'gamma': 2.586837139123379e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:02:51,759] Trial 31 finished with value: -0.06498546829259733 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.12028495771798005, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.014405814256895796, 'reg_lambda': 2.8459348582256028, 'gamma': 1.8964491123765703e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:03:06,761] Trial 32 finished with value: -0.0692368172717393 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.13597209132443336, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.014074308651130064, 'reg_lambda': 4.717155469413814, 'gamma': 1.8881311889770372e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:03:21,846] Trial 33 finished with value: -0.06603690381706137 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.12808530104382296, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00896300961296384, 'reg_lambda': 3.740303011477053, 'gamma': 3.5188458473875634e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:03:37,062] Trial 34 finished with value: -0.06353633325813786 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.11732638710388561, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.012873512761031724, 'reg_lambda': 2.7450547725324053, 'gamma': 3.0220524981374797e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:03:51,342] Trial 35 finished with value: -0.06899360225439867 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.12440101316147267, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.010755648412308234, 'reg_lambda': 8.224805789267196, 'gamma': 5.868523350286867e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:04:07,664] Trial 36 finished with value: -0.06715463015049457 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.11612098485823472, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.019575862428334333, 'reg_lambda': 7.514636521550723, 'gamma': 0.00010249209631254485}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:04:24,334] Trial 37 finished with value: -0.07097007818970519 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.12606485175482943, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.012383591756653553, 'reg_lambda': 11.226801611341799, 'gamma': 9.66151418783682e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:04:45,580] Trial 38 finished with value: -0.08520038566368168 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.1878062623773729, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00689854977089603, 'reg_lambda': 21.23109017383487, 'gamma': 7.432366863189102e-05}. Best is trial 21 with value: -0.09279946077589037.
