[I 2026-07-17 11:09:35,402] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:13:27,326] Trial 22 finished with value: -0.20044961876601358 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.3033965665096218, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.004986541646674697, 'reg_lambda': 48.322221144859334, 'gamma': 0.0022355695786321758}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:13:28,337] Trial 23 finished with value: -0.1834333999269991 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.23512616312289972, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0016294068844013821, 'reg_lambda': 77.17322312106015, 'gamma': 0.001875201207236781}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:13:29,211] Trial 24 finished with value: -0.19156355565411406 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.4598632168802384, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001034921996461954, 'reg_lambda': 0.5605399623481733, 'gamma': 0.002044083482463948}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:13:35,537] Trial 25 finished with value: -0.21760567580574608 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.42595965489998916, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001721379666405394, 'reg_lambda': 63.7645000362918, 'gamma': 0.0009599806350156799}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:13:54,187] Trial 26 finished with value: -0.2853822728570673 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.4253402540662379, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0790853902156553e-06, 'reg_lambda': 0.8801428399934521, 'gamma': 0.001091074666467517}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:14:00,746] Trial 27 finished with value: -0.2682390690532212 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.49576060967487146, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0065484690532595e-06, 'reg_lambda': 0.3879215373547385, 'gamma': 0.0006746734185230457}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:14:01,029] Trial 28 finished with value: -0.2173181802953585 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.45386666734713466, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0011370312355846195, 'reg_lambda': 73.33423243510379, 'gamma': 0.0006283494933590822}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:14:19,622] Trial 29 finished with value: -0.2106131611668602 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.07800470320451704, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0027181961041209345, 'reg_lambda': 0.00012045229622756095, 'gamma': 0.00045027551623742784}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:14:38,158] Trial 30 finished with value: -0.21041562639737957 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.07305951450608297, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005070498456404579, 'reg_lambda': 0.00010562751063018165, 'gamma': 1.117553908957548e-06}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:14:56,784] Trial 31 finished with value: -0.205657221035626 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.056691964954370275, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003120822592362421, 'reg_lambda': 0.42865103644483205, 'gamma': 0.0002960433315907462}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:15:19,605] Trial 32 finished with value: -0.20336051342536884 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.06821489016970278, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002881174008255625, 'reg_lambda': 0.0001271894306911257, 'gamma': 1.1320898341752601e-06}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:15:41,049] Trial 33 finished with value: -0.20157847923308275 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.0643805983706247, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.23361148380751787, 'reg_lambda': 6.924527738199761e-05, 'gamma': 0.026471609279774613}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:16:13,123] Trial 34 finished with value: -0.27514573852193347 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.09074774710311598, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.3318589992661379, 'reg_lambda': 6.820125623466415e-05, 'gamma': 0.0277446933004112}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:16:43,448] Trial 35 finished with value: -0.2410452858661273 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.06854410036379195, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.13644320825667186, 'reg_lambda': 0.00010982213645379796, 'gamma': 0.02754158103439627}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:17:07,183] Trial 36 finished with value: -0.1959994057350068 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.06193310407827037, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00022926006518288978, 'reg_lambda': 0.00022496155451238537, 'gamma': 1.5750204518898144e-06}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:17:21,409] Trial 37 finished with value: -0.21164312297863935 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.14088715956789, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.000244299939127299, 'reg_lambda': 5.304336393530534e-06, 'gamma': 0.022192602270598747}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:17:49,683] Trial 38 finished with value: -0.21401305599946646 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.14605038626036654, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 6.059084441836385e-06, 'reg_lambda': 0.2134105869424378, 'gamma': 0.01951095015903116}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:18:02,142] Trial 39 finished with value: -0.2063261323898482 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.1371535736748775, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 7.00784257485285e-06, 'reg_lambda': 6.401552924581087e-06, 'gamma': 0.02249954865948374}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:18:14,313] Trial 40 finished with value: -0.21008296677312688 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.13269633200783962, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 7.449205062920999e-06, 'reg_lambda': 0.21076224576401315, 'gamma': 0.013538515747743838}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:18:30,360] Trial 41 finished with value: -0.2193327821648797 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.16945594344399367, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 7.435835240303458e-06, 'reg_lambda': 3.7875079846021624e-06, 'gamma': 0.02120977094103472}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:18:43,045] Trial 42 finished with value: -0.24052568045115474 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.1538295715635996, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.42445033921692304, 'reg_lambda': 3.7619367900045327e-06, 'gamma': 0.011122911904116045}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:18:55,541] Trial 43 finished with value: -0.20696883155687737 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.14481523022756015, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.01197059514652811, 'reg_lambda': 3.8197317242225345e-06, 'gamma': 0.011584109835891209}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:19:07,764] Trial 44 finished with value: -0.2117277291353804 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.16717817056473783, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.01083069015025121, 'reg_lambda': 4.281887039087326e-06, 'gamma': 0.006643774486217047}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:19:15,661] Trial 45 finished with value: -0.1673214498899812 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.026299558645034263, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 6.8594779054111354, 'reg_lambda': 3.3877575668837438e-06, 'gamma': 0.005633990464455375}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:19:34,133] Trial 46 finished with value: -0.1740068637086219 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.023804959068724204, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 5.500433007020147, 'reg_lambda': 2.546974900836557e-06, 'gamma': 0.008026556814711962}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:19:51,989] Trial 47 finished with value: -0.1795692140002272 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.036158398376617495, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 3.4984623723815895, 'reg_lambda': 4.23536309839933e-06, 'gamma': 0.006125042667937337}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:19:56,498] Trial 48 finished with value: -0.16540770032311242 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.0288427170068448, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 12.03034972699304, 'reg_lambda': 4.952516170517119e-06, 'gamma': 0.0001098216182165012}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:20:07,578] Trial 49 finished with value: -0.17250235925420346 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.026661110913756832, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 7.220058749373678, 'reg_lambda': 1.4904352186082036e-06, 'gamma': 9.601751553197258e-05}. Best is trial 21 with value: -0.28636272688092756.
[I 2026-07-17 11:20:15,761] Trial 50 finished with value: -0.18559522527488764 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.2838970188115028, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 9.939930055211923, 'reg_lambda': 0.006592611709202531, 'gamma': 9.23961786933167e-05}. Best is trial 21 with value: -0.28636272688092756.
