[I 2026-07-17 11:44:07,700] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:48:05,570] Trial 28 finished with value: -0.2207075034555367 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.00027104609508241096, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01298604137864164, 'reg_lambda': 1.0583315609239376e-06, 'gamma': 83.53202547462334}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:06,569] Trial 29 finished with value: -0.22034206647205645 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.0003156012965102793, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02083346247382386, 'reg_lambda': 1.8457310153003923e-06, 'gamma': 92.98832968712654}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:07,366] Trial 30 finished with value: -0.21933727026585761 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.000360893021217194, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.011974968511129678, 'reg_lambda': 0.0001001513593363492, 'gamma': 87.99630304952514}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:08,191] Trial 31 finished with value: -0.20541495399108653 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.4002148574090276, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.005117181619155447, 'reg_lambda': 4.996746321482127e-05, 'gamma': 79.35964536825887}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:08,907] Trial 32 finished with value: -0.17116298820877987 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.2929946699266487, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02104455654653574, 'reg_lambda': 5.830499077891431e-05, 'gamma': 3.275771301468609}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:09,967] Trial 33 finished with value: -0.21164411441675926 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.0003478258758181732, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.04108495813437413, 'reg_lambda': 9.256650754194278e-05, 'gamma': 4.378569646714205}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:10,988] Trial 34 finished with value: -0.17401551408418783 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.2720350717753242, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.044103640126575215, 'reg_lambda': 3.5597782005163625e-05, 'gamma': 5.042923286947724}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:12,055] Trial 35 finished with value: -0.21076925686047998 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.00038196852412954624, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.042215399439402654, 'reg_lambda': 5.9521315617917647e-05, 'gamma': 4.267095338933432}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:13,399] Trial 36 finished with value: -0.20431939315589095 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0005461367084388978, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0006659865275166461, 'reg_lambda': 3.8288600154946387e-05, 'gamma': 6.326340934263513}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:14,284] Trial 37 finished with value: -0.20729566004690547 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0006607217305897822, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0007479247595475701, 'reg_lambda': 2.603803282694019e-05, 'gamma': 7.311413199508026}. Best is trial 18 with value: -0.22079791924904862.
