[I 2026-07-17 11:47:39,713] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:51:10,700] Trial 23 finished with value: -1.2128620976962363 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.030568130204947773, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003010388006453295, 'reg_lambda': 0.022950339428498286, 'gamma': 0.00012799387768567513}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:11,752] Trial 24 finished with value: -1.2015958756068568 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.04969099469809425, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00023007288399181462, 'reg_lambda': 0.0232988358841324, 'gamma': 0.00019794170073427313}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:12,573] Trial 25 finished with value: -1.230107498433618 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.05927231201271734, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00016577395541111096, 'reg_lambda': 0.020919125476549106, 'gamma': 0.00013119389977352065}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:26,876] Trial 26 finished with value: -1.4367603941732103 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.10985625026536909, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0001604170589009971, 'reg_lambda': 0.014806770745259216, 'gamma': 3.5176833507027256e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:46,342] Trial 27 finished with value: -1.5046879414936274 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.00013135848183829692, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 3.077225305647931e-05, 'reg_lambda': 0.012009340148466814, 'gamma': 3.868895979677217e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:51,298] Trial 28 finished with value: -1.395047157370518 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.1735438415357007, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.133878552389771e-05, 'reg_lambda': 0.00679447618697422, 'gamma': 1.8853521663650283e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:52:02,412] Trial 29 finished with value: -1.631393464455251 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.20910368040732544, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.9896343929655483e-05, 'reg_lambda': 0.0030993541477404656, 'gamma': 2.355614615752734e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:52:12,395] Trial 30 finished with value: -1.5536159513617227 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.17823957484237526, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.6406277364521325e-05, 'reg_lambda': 0.0015135483018128837, 'gamma': 2.077983511814386e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:52:22,469] Trial 31 finished with value: -1.5722192512197068 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.1701552337962065, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.0121518666265443e-05, 'reg_lambda': 3.58501163172999e-05, 'gamma': 7.465386768420742e-06}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:52:31,856] Trial 32 finished with value: -1.5638871557794014 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.14739624028285625, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.4293064450641468e-05, 'reg_lambda': 3.1559818280732175e-05, 'gamma': 1.6733373806273075e-06}. Best is trial 9 with value: -1.8739445148417475.
