[I 2026-07-17 16:08:51,444] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:11:04,515] Trial 22 finished with value: -0.4775745904168167 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.012205630000965181, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 12.200346688560824, 'reg_lambda': 0.009549865721881344, 'gamma': 0.0021620520175926273}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:08,402] Trial 23 finished with value: -0.476562263848563 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.013515206733667944, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 9.693865560496064, 'reg_lambda': 0.012791927797002842, 'gamma': 0.004127564075263462}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:25,421] Trial 24 finished with value: -0.5817073599064652 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.006094809901664808, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 2.4468590510096893, 'reg_lambda': 0.00936656656046232, 'gamma': 0.0024502120011707803}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:42,276] Trial 25 finished with value: -0.7150294290629131 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.012499996103588153, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.354727117927377, 'reg_lambda': 0.007589792442756332, 'gamma': 0.002561559931524678}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:02,010] Trial 26 finished with value: -1.0146825808950792 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.01627941293887811, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.63893010741891, 'reg_lambda': 0.007648535992021479, 'gamma': 0.003754153841460581}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:18,284] Trial 27 finished with value: -0.978793855922615 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.02122383504447791, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.02995910868166, 'reg_lambda': 0.009903004852727264, 'gamma': 0.004756823400290693}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:21,475] Trial 28 finished with value: -0.8805787005012871 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.1915974605954383, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6927267534209076, 'reg_lambda': 0.08461730068029429, 'gamma': 3.049473643673039e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:24,748] Trial 29 finished with value: -0.916074319987492 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.18764361666601476, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.220587046940617, 'reg_lambda': 0.14195409764439398, 'gamma': 3.7164213272361514e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:27,426] Trial 30 finished with value: -0.9462237598002904 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.2570823677995255, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.5455074232624042, 'reg_lambda': 0.14735419439070316, 'gamma': 1.7044144264219526e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:30,354] Trial 31 finished with value: -0.8818608034580617 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.1836025850497055, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.105085083589248, 'reg_lambda': 0.16069639364291716, 'gamma': 2.3153380064524398e-05}. Best is trial 11 with value: -1.2716253959070092.
