[I 2026-07-17 11:46:45,729] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:57:02,360] Trial 22 finished with value: -1.8887426569419334 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.3891889966554621, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4232374761717344e-06, 'reg_lambda': 85.19025093907132, 'gamma': 4.262224163714241e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:57:26,241] Trial 23 finished with value: -1.2924101665514052 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.33390216365083836, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6256985234053497e-06, 'reg_lambda': 99.74862165125583, 'gamma': 3.173775105386514e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:57:40,098] Trial 24 finished with value: -1.059269430461742 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.49362143071116715, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3378593876124585e-06, 'reg_lambda': 0.10823830408534069, 'gamma': 1.8379045977660732e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:57:40,455] Trial 25 finished with value: -0.7471234764567887 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.482763234686208, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 3.422669166442488e-05, 'reg_lambda': 81.19941377643246, 'gamma': 0.0014335295884587533}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:57:45,410] Trial 26 finished with value: -0.7430668213125432 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.458998851899447, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.476379466494034e-05, 'reg_lambda': 88.86626845920499, 'gamma': 0.002228700505417855}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:57:50,430] Trial 27 finished with value: -0.7134393156828005 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.3198390942502482, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.970850276157918e-05, 'reg_lambda': 0.0685389645558017, 'gamma': 0.0038144844659532373}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:58:09,562] Trial 28 finished with value: -0.9713930587516123 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.40682786878156607, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.971856325611243e-05, 'reg_lambda': 6.331716048629921e-05, 'gamma': 0.0016837146531707592}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:58:36,458] Trial 29 finished with value: -0.9824439755196117 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.1475387328982365, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 5.022863214318658e-05, 'reg_lambda': 97.65727830447588, 'gamma': 1.042290844543684e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:59:06,364] Trial 30 finished with value: -1.1025657149566328 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.44621521540026765, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 5.053384390965916e-05, 'reg_lambda': 0.16172896359408112, 'gamma': 1.0091390001312219e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 11:59:35,139] Trial 31 finished with value: -0.839508773394119 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.10181222537902851, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 6.443896698833048e-05, 'reg_lambda': 0.051218759569147974, 'gamma': 1.9144733143990604e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:00:13,388] Trial 32 finished with value: -0.9887637284211722 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.11370531101366571, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 5.11299635714904e-05, 'reg_lambda': 98.14471001792447, 'gamma': 1.4747378491617789e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:00:16,028] Trial 33 finished with value: -0.6840233752650605 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.12256605323981308, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 85.96626079293569, 'reg_lambda': 0.21366725566449712, 'gamma': 1.3367998360076353e-05}. Best is trial 22 with value: -1.8887426569419334.
