[I 2026-07-17 11:29:43,064] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:32:41,187] Trial 22 finished with value: -0.387543282006183 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00014642192926129426, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 2.2006131117954355e-06, 'reg_lambda': 0.00014660385103963197, 'gamma': 0.061614163760281386}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:42,021] Trial 23 finished with value: -0.38771887692523027 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00013966501856890704, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.232399098397144e-06, 'reg_lambda': 0.0001839270340970825, 'gamma': 0.04187332323438198}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:42,062] Trial 24 finished with value: -0.38914463243405645 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0001113933993630905, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.138422069980986e-06, 'reg_lambda': 0.0009051246088627159, 'gamma': 92.14895048962597}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:42,647] Trial 25 finished with value: -0.387945918508048 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00012065720084822753, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.2720986697701876e-06, 'reg_lambda': 0.0010777545456998785, 'gamma': 57.410149034392205}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:43,012] Trial 26 finished with value: -0.3885870982237936 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00011757907301499975, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.558023551680426e-06, 'reg_lambda': 0.0006204513416281646, 'gamma': 85.11750335346268}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:43,189] Trial 27 finished with value: -0.38852907870085374 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00020619951401402048, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.554084879382783e-06, 'reg_lambda': 0.0019628470565330575, 'gamma': 80.25472855022579}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:43,608] Trial 28 finished with value: -0.38667911283555434 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0002503148878197899, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.29355467772482e-06, 'reg_lambda': 0.0009809303955217196, 'gamma': 32.07687991738913}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:44,708] Trial 29 finished with value: -0.3781515082087412 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00021241717211186107, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 9.637346398303185e-06, 'reg_lambda': 0.002637853211284603, 'gamma': 74.50352053564472}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:45,919] Trial 30 finished with value: -0.370475145704505 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0003307828438573626, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3831859483068367e-05, 'reg_lambda': 0.003518143020073045, 'gamma': 70.39652473971043}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:46,940] Trial 31 finished with value: -0.378856437539415 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.0002898722856536518, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.5010329892251796e-05, 'reg_lambda': 0.0045011112470473786, 'gamma': 89.6933339333761}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:48,198] Trial 32 finished with value: -0.3698600746602861 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0002922545721539696, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0672809717329857e-05, 'reg_lambda': 0.008325761941241067, 'gamma': 42.52260387955433}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:49,306] Trial 33 finished with value: -0.3761830136774878 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00031021033124459756, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.523100178946261e-05, 'reg_lambda': 0.0051532213847991365, 'gamma': 86.94040729130124}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:51,769] Trial 34 finished with value: -0.35830283257457507 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00030071053622407034, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.7694872867525035e-05, 'reg_lambda': 0.006165680697532836, 'gamma': 3.474217809422052}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:54,108] Trial 35 finished with value: -0.3549532684656157 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0003404410446384872, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.8084239592203236e-05, 'reg_lambda': 0.009226548877093297, 'gamma': 4.669338055545439}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:56,269] Trial 36 finished with value: -0.30966926578270615 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0008931376779394263, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.6130397415254635e-05, 'reg_lambda': 0.010493221465530968, 'gamma': 5.241612007682341}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:58,209] Trial 37 finished with value: -0.3025234187321058 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0010787457899671417, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.885818661698156e-05, 'reg_lambda': 0.008898943042781939, 'gamma': 4.594448579066904}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:00,297] Trial 38 finished with value: -0.305330504196416 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.0010669158038138767, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.8849768569488327e-05, 'reg_lambda': 0.007302736102589924, 'gamma': 4.930932403338808}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:03,157] Trial 39 finished with value: -0.28280035507287193 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.001060105453080241, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.7353108064915622e-05, 'reg_lambda': 0.0163306725118998, 'gamma': 4.563200378962642}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:07,865] Trial 40 finished with value: -0.2268227410849674 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.0009797104972294824, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.831999487489166e-05, 'reg_lambda': 6.371143351151206e-05, 'gamma': 7.006837848207219}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:10,444] Trial 41 finished with value: -0.28540546952352297 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0008630114988720697, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0005640173508983911, 'reg_lambda': 4.5922250242896505e-05, 'gamma': 5.419021729787089}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:12,829] Trial 42 finished with value: -0.27647131147183984 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0010464356641241258, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0005142829056199431, 'reg_lambda': 3.415792146168277e-05, 'gamma': 8.065335184345814}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:15,259] Trial 43 finished with value: -0.27484319293258197 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0010870357723539838, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001168369742811467, 'reg_lambda': 3.3341658427275706e-05, 'gamma': 9.53272838590434}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:18,581] Trial 44 finished with value: -0.2542507441097268 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0010272838387885511, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0004084588599625568, 'reg_lambda': 2.2049436795751117e-05, 'gamma': 1.5512296091324846}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:21,401] Trial 45 finished with value: -0.20622513750126892 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.002162846499365387, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0009351794673274948, 'reg_lambda': 1.5772103016469898e-05, 'gamma': 1.2700124240913855}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:24,601] Trial 46 finished with value: -0.29577682907610064 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0006799053764351433, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001094069214081693, 'reg_lambda': 4.3409748056167646e-05, 'gamma': 1.161808662302296}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:27,663] Trial 47 finished with value: -0.3092455923905827 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.0005692001429952552, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0005901460864264079, 'reg_lambda': 3.0811867681008234e-05, 'gamma': 1.1429839486095519}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:30,466] Trial 48 finished with value: -0.31343315790895454 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.0006295752926779287, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.4818986970545016e-06, 'reg_lambda': 1.5795193252865445e-05, 'gamma': 19.34097073055291}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:31,774] Trial 49 finished with value: -0.38002833763621824 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.00017161730848313245, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.3024804949082815e-06, 'reg_lambda': 2.516614836358835e-05, 'gamma': 1.0455751995571296}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:32,599] Trial 50 finished with value: -0.36629894967490173 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.0005351209990458653, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.305244962688136e-06, 'reg_lambda': 0.0005235545146960697, 'gamma': 21.242705258802854}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:33,651] Trial 51 finished with value: -0.3554128889469926 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0006355518138568125, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 3.99937075955861e-06, 'reg_lambda': 9.024720712665739e-06, 'gamma': 1.3177288294534744}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:34,476] Trial 52 finished with value: -0.36759048214723966 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0005455060640304097, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.83407792378681e-06, 'reg_lambda': 0.0008023139029607705, 'gamma': 26.70777139344227}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:33:35,360] Trial 53 finished with value: -0.36265543718747584 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0005532477979271337, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.523723813323992e-06, 'reg_lambda': 0.0007973182621319197, 'gamma': 21.402418618957302}. Best is trial 17 with value: -0.3892622019666537.
