YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70,F160,F250,F350,F500,F870,F1100
564.0,2.090779128,835.0772672,10700.98798,12.81436868,21.8,3732.5,38.5,0.05,0.2068,0.0768,0.2811,,25.579,15.269,5.709,2.062,,
566.0,0.350149254,109.0423231,4594.913929,42.13881177,24.3,204.1,54.76,0.23,1.3037,0.3606,3.4058,25.7773,30.834,21.862,4.972,1.77,,
567.0,0.891094225,2450.685712,33165.11373,13.53299347,20.7,90.9,45.1,0.81,0.6372,0.203,1.0219,50.6761,75.198,62.988,19.68,6.409,1.49,0.74
568.0,0.550771084,442.0918769,10849.41083,24.54107709,21.9,145.4,53.26,0.38,0.4258,0.0813,1.5038,22.0938,32.358,21.683,4.809,,,
569.0,0.265668449,19.55707055,19.94433927,1.01980198,14.8,14.3,22.94,0.08,,0.3621,1.8242,0.6022,8.377,13.686,4.952,1.846,,
570.0,0.232421053,24.19625485,81.96715789,3.387596899,13.7,57.3,55.97,0.12,0.6311,0.227,0.5244,4.9922,7.339,9.875,5.223,2.317,,
574.0,1.297334526,300.7882967,7916.158753,26.31804109,27.0,104.9,37.44,0.05,0.2027,0.0362,0.0879,3.4734,32.557,13.208,4.735,1.796,,
577.0,0.187,144.3165079,1016.08337,7.040659341,17.2,70.8,50.22,1.11,2.0463,0.4801,6.3658,73.2255,110.698,157.418,51.478,21.888,2.131,1.35
579.0,0.590608333,765.8060314,915.9607517,1.19607409,12.6,26.0,41.75,0.58,0.1727,0.0485,0.259,2.4559,27.288,55.292,31.138,13.148,1.26,1.224
580.0,0.133471503,14.5425649,58.26115063,4.00625,16.1,44.9,42.69,0.21,0.1345,0.0359,0.1472,3.5278,10.785,13.139,4.512,1.513,,
581.0,0.580730897,730.9073575,393.8781305,0.538889267,11.4,15.3,39.51,0.58,0.3101,0.0658,0.2229,4.3682,12.331,38.568,22.64,11.662,1.006,0.542
582.0,0.1092,26.4992,340.51472,12.85,18.4,108.5,56.63,0.52,1.9848,0.6099,3.3413,23.6722,38.777,28.658,11.992,5.342,1.14,
583.0,2.512473721,1898.344215,6372.154618,3.35669083,15.5,41.6,39.49,0.08,0.1669,0.0407,0.0804,3.8759,9.023,8.614,3.918,2.141,,
584.0,1.19009299,2513.664426,21915.04578,8.718365728,17.5,82.4,48.92,0.48,0.6577,0.1647,1.6447,32.6722,53.119,58.881,20.239,7.843,1.14,
586.0,0.110957447,41.58290516,343.0903746,8.250755287,18.0,74.3,44.88,0.89,0.1621,0.0424,0.6352,13.0851,69.864,66.45,28.875,10.976,1.76,0.751
587.0,1.2,7504.3,21056.3,2.805897952,14.9,39.5,42.92,1.38,0.841,0.2141,1.4644,32.5184,63.08,85.225,48.833,18.612,2.39,1.082
588.0,0.1986,37.25074,396.61082,10.64705882,17.9,93.5,49.01,0.23,,,0.5522,11.8968,15.495,13.137,4.896,2.251,,
591.0,0.1386,8.25552,49.53312,6.0,16.4,66.7,43.73,0.12,0.5845,0.1482,0.2109,7.018,14.675,13.109,5.932,2.677,,
592.0,0.348960396,251.8267841,712.9637199,2.831167154,12.6,61.4,48.05,0.55,1.0783,0.2432,0.6843,19.1009,10.189,10.695,10.049,4.167,,
594.0,0.525691057,759.7933241,13816.27542,18.18425482,22.1,107.4,45.72,0.74,0.8694,0.1836,1.1699,29.4015,80.372,63.69,19.758,6.125,0.98,0.626
595.0,0.217562396,125.6059918,412.9269641,3.287478233,15.3,42.9,44.15,0.71,0.2776,0.0911,0.2755,7.4825,15.176,18.304,8.133,3.558,0.81,
597.0,0.448052885,292.2466762,415.9887851,1.423416651,13.6,25.0,49.61,0.39,,,1.0884,,21.259,36.988,23.136,5.404,,
598.0,0.518087318,517.5708849,46700.26602,90.22970068,28.1,341.4,53.74,0.51,0.474,0.1883,3.8232,94.3288,75.283,52.495,11.457,3.398,0.76,0.843
599.0,0.223561104,35.58975762,320.6013974,9.008248969,17.4,85.3,46.29,0.19,0.2331,0.0816,0.3504,8.1201,13.367,11.778,4.328,1.673,,
600.0,0.152753623,27.45137576,495.9817685,18.06764706,19.7,131.9,48.42,0.31,1.2513,0.4322,1.9259,46.6131,46.645,41.44,14.061,5.524,0.79,
601.0,0.335533165,10.13002071,851.2223333,84.02967359,24.9,388.3,61.62,0.02,0.7015,0.5825,6.0201,17.9618,13.936,4.312,2.916,2.108,,
605.0,1.175247934,2957.389934,8421.553348,2.847630355,14.8,40.0,42.78,0.57,0.779,0.1397,0.3424,15.6919,31.429,31.241,17.493,8.626,1.5,0.735
606.0,0.21493568,12.44171299,212.3471297,17.06735478,22.5,94.9,38.86,0.07,0.342,0.0855,0.2632,8.1141,81.196,42.415,13.142,6.391,,
607.0,0.430927835,261.5705707,779.6280157,2.980564723,15.4,37.9,40.07,0.38,0.3202,0.0716,0.0888,7.705,32.403,43.834,17.96,7.099,1.04,
608.0,0.241666667,26.04666821,284.8955448,10.9378882,19.6,80.9,45.37,0.12,1.4428,0.5447,1.3524,35.2956,91.035,57.121,9.479,9.429,0.964,
611.0,1.430286678,2870.183806,52752.36633,18.37943835,18.8,1317.4,56.43,0.37,7.9065,1.0034,,123.9592,107.821,112.757,35.039,12.875,1.939,
612.0,0.084796748,3.375127239,18.63657215,5.52173913,16.7,57.9,51.96,0.11,0.0805,0.0079,0.1105,1.6029,4.752,3.878,1.04,,,
613.0,0.163139357,15.65799995,101.5190962,6.483528966,15.9,77.2,59.81,0.15,0.0635,0.0269,0.0951,1.5631,3.671,3.517,1.164,,,
614.0,0.362197309,1854.64394,2662.524187,1.435598569,15.2,20.5,35.59,3.69,1.0291,0.1189,1.3828,19.4434,107.757,162.867,100.269,51.375,5.116,
616.0,0.405239852,1130.49956,18026.19762,15.94533802,25.5,74.0,35.13,1.87,28.3547,,,1308.337,1642.056,792.487,374.352,136.765,16.34,8.78
618.0,0.432095808,648.1695866,555.0090717,0.856271388,12.0,21.6,42.81,0.94,0.7209,0.221,0.6617,7.3351,20.317,44.079,34.068,12.924,2.085,
622.0,0.353915911,36.94374763,508.6398228,13.76795413,19.9,98.9,44.67,0.08,0.535,0.1619,0.3133,7.4268,16.377,13.476,4.43,0.944,,
623.0,1.274869888,2268.870884,7035.788615,3.101008817,15.1,41.3,40.9,0.37,0.5164,0.1279,0.2575,11.1811,22.207,26.459,11.698,5.747,0.73,
626.0,0.166614987,224.470104,4545.573825,20.25024155,24.5,101.4,44.27,2.14,0.2934,0.0699,0.5113,11.1407,171.674,123.808,32.484,10.109,2.51,
628.0,0.660033058,5386.007181,290387.782,53.9152237,29.0,207.1,50.23,3.3,,0.0126,,10.584,670.655,548.332,144.44,45.642,7.12,9.933
631.0,0.42138585,194.0817856,2437.10663,12.55711154,19.3,95.2,57.81,0.29,0.6116,0.1497,2.3194,31.0454,77.651,50.965,10.326,6.19,0.642,0.66
633.0,0.136956522,24.4173913,66.77353497,2.734671126,15.3,35.4,39.99,0.35,0.1445,0.021,0.0888,1.9686,17.414,10.95,6.67,4.358,,0.991
634.0,0.34114744,45.85790353,1350.916954,29.45875955,22.9,158.5,57.66,0.1,0.4509,0.1518,1.1586,24.1058,38.417,21.525,7.333,2.177,,
635.0,0.369557522,113.7842901,171.0452659,1.503241491,13.5,26.9,41.09,0.22,0.0612,0.014,0.0744,1.8118,5.969,9.127,4.307,2.217,,
637.0,0.204400284,24.05515894,206.7100325,8.593168433,15.5,107.5,69.68,0.15,0.1854,0.1098,1.211,,22.32,24.863,10.05,,,
640.0,0.191489362,117.8983703,155.8397465,1.321814255,11.2,40.4,50.59,0.89,0.1462,0.0076,,3.3713,9.249,52.608,23.622,11.402,1.28,1.147
641.0,0.227368421,450.6382271,9021.290859,20.01892053,21.5,129.3,58.37,2.37,6.222,,,197.8247,296.993,299.319,92.611,31.592,5.58,5.761
643.0,0.644025735,3538.658004,21198.76649,5.990623131,19.8,45.6,42.9,2.29,0.3571,0.1645,2.2421,8.4663,121.939,167.812,66.921,20.951,4.18,3.725
646.0,0.34266055,390.1350694,13169.40692,33.75601926,25.5,153.0,48.44,0.89,0.249,0.025,0.3384,6.9608,238.05,179.692,60.929,19.714,1.98,
647.0,1.310697306,1859.480166,40679.69635,21.87691866,17.5,206.0,59.68,0.29,1.9766,0.9829,5.9561,82.5445,48.834,51.959,17.879,8.329,1.03,
648.0,0.557512116,1111.245319,14573.97265,13.11499127,19.2,103.0,53.85,0.94,0.5644,0.1335,1.5477,16.3086,41.371,35.586,12.914,5.356,1.02,2.49
649.0,0.601202887,3164.851348,17474.48179,5.521422611,19.4,43.7,37.33,2.32,,0.0536,0.4749,7.7928,89.672,108.149,33.262,12.091,1.63,1.6
651.0,0.796494024,9997.866948,42196.86243,4.220586516,21.6,28.3,25.31,4.18,,0.0919,0.8695,13.7261,366.086,433.835,154.983,56.331,8.35,10.649
652.0,0.139285714,17.79336735,447.8188776,25.16774194,19.8,181.5,67.48,0.25,1.1519,0.3175,4.625,33.1109,39.169,39.629,9.921,2.95,,0.525
653.0,1.462759366,14276.58975,132975.5753,9.314239435,14.7,137.9,51.78,1.79,1.0322,,3.0454,85.3494,93.388,206.448,76.24,30.926,4.3,3.184
656.0,0.295862069,1082.725327,194.7619501,0.179881218,10.8,6.4,24.6,3.22,0.3562,0.1623,0.4108,2.7431,7.161,28.982,20.25,8.762,2.44,
657.0,0.94905569,2105.756896,7270.368289,3.452615211,15.3,44.7,42.3,0.63,0.8247,0.2239,0.7651,25.0701,40.409,45.798,23.35,10.157,1.25,1.341
658.0,0.214562212,191.1012678,14532.16843,76.04433292,29.0,276.6,51.38,1.06,2.8927,0.9273,,320.5723,304.073,198.077,52.35,15.618,2.84,2.408
659.0,0.527107718,159.6461129,531.653498,3.330200081,14.6,48.2,45.72,0.15,0.3552,0.0456,0.1067,9.8885,15.679,22.172,9.301,3.609,,
661.0,0.347575758,70.64995409,872.6903581,12.35231317,18.9,97.9,59.13,0.16,,,,,24.98,49.147,7.698,,0.55,
663.0,0.283075117,529.068166,3556.805625,6.722773838,18.8,56.3,41.03,1.73,1.0121,0.2314,1.8134,63.7477,157.377,110.897,53.955,24.577,4.17,
665.0,0.533810888,88.61047939,3152.67467,35.57902736,30.8,114.1,42.55,0.08,3.1351,0.5432,4.3014,,211.853,68.643,35.957,8.322,,
666.0,0.49522673,335.9918347,6792.82295,20.21722628,20.5,136.7,48.25,0.37,3.7165,0.8653,7.2331,151.6217,146.119,106.52,39.765,13.678,1.518,3.206
668.0,0.49982906,326.4397399,580.052071,1.776903974,14.1,28.2,38.89,0.35,0.618,0.1715,0.3069,4.7968,20.914,28.028,15.805,9.291,0.747,0.269
670.0,0.151598985,9.787564597,144.5576862,14.76952563,19.0,116.7,49.66,0.11,0.1693,0.0873,0.9912,9.2246,17.455,13.947,5.154,1.998,0.473,
671.0,0.27411215,802.6483618,55185.11775,68.75379104,33.0,211.9,49.26,2.94,6.8877,,,1045.3354,1147.77,850.36,223.816,66.034,10.27,16.145
674.0,0.125807175,11.68621406,397.115341,33.98152208,20.4,230.0,53.44,0.19,0.9139,0.2646,3.109,35.5532,29.472,25.852,7.411,2.402,,0.256
675.0,0.260284593,202.2712573,1778.672728,8.79350211,17.8,80.7,46.08,0.79,0.7326,0.1859,1.195,,43.343,41.727,15.635,6.766,0.957,0.241
676.0,0.449012132,186.6994392,2240.65577,12.001406,19.3,91.0,42.49,0.25,1.2904,0.3408,0.5371,26.2985,72.989,49.486,21.935,7.918,0.95,
677.0,0.874014502,2061.998743,6656.306745,3.228084773,16.2,36.6,38.05,0.72,0.1579,0.0796,0.2801,4.8498,20.432,22.07,8.988,3.678,0.6,0.236
678.0,1.924292893,3689.20011,2039.301032,0.552775933,12.7,11.6,22.81,0.26,0.2391,0.0972,0.3651,6.4989,11.241,23.056,11.134,5.349,,
679.0,0.295540541,58.3492878,675.390011,11.57494867,18.8,92.9,50.66,0.18,,,0.0906,2.463,29.365,40.145,8.884,,0.35,1.136
680.0,0.174299517,86.35655234,711.1338639,8.234857051,17.1,83.2,45.32,0.75,,0.4073,2.7399,,25.006,33.633,10.5,3.935,0.89,0.986
681.0,0.344197531,267.5867093,711.0366103,2.657219456,14.4,40.2,43.36,0.6,0.2728,0.072,0.4334,11.6878,19.04,28.395,11.825,5.896,1.13,0.444
683.0,0.989977925,631.0454728,4658.564385,7.382295865,17.7,68.1,43.39,0.17,0.3435,0.0746,0.2394,6.939,14.835,17.733,5.427,1.922,,
685.0,0.639650565,2164.959582,13529.84676,6.249468524,17.8,58.7,42.02,1.42,1.0472,0.2673,1.3498,34.5695,82.082,97.234,36.567,12.534,2.19,1.374
686.0,0.077419355,145.3485952,1166.722164,8.027061856,27.6,36.8,28.14,7.25,0.397,0.0736,1.941,125.071,607.607,515.168,174.693,67.625,11.46,9.331
687.0,2.011428571,6035.475909,99812.31407,16.53760459,16.4,183.0,78.96,0.4,2.8047,,,153.8332,71.697,197.02,43.915,4.355,2.44,2.186
688.0,0.279679648,134.9076915,1068.913511,7.923295542,16.4,86.9,51.93,0.46,0.6375,0.2081,1.407,26.7612,34.504,28.794,16.067,,,
689.0,0.641097852,321.653124,2181.089356,6.780874157,15.8,80.4,48.99,0.21,2.2202,0.5757,0.9454,30.2936,45.946,87.118,19.733,13.211,1.34,0.668
690.0,0.316453354,129.4769366,5902.090224,45.58410463,23.8,231.7,66.2,0.34,,1.328,,,165.055,132.535,32.899,12.68,2.08,
691.0,0.818742038,21603.2509,1137339.437,52.64667998,28.2,239.3,74.76,8.54,14.4774,,,3289.123,2340.7,606.585,604.528,225.536,27.63,18.698
693.0,0.558797468,508.7522823,2725.481602,5.35718796,18.8,43.3,39.31,0.43,0.7344,0.1085,1.258,21.0191,186.446,466.356,110.066,44.878,4.18,
694.0,0.813021277,5695.110253,89335.06857,15.68627553,22.6,91.7,44.61,2.31,0.7064,0.1089,1.4094,40.6813,284.382,301.638,110.027,40.677,5.18,4.116
697.0,1.755063291,1645.37445,92707.682,56.34442785,22.7,308.4,52.1,0.14,,0.8202,,,241.981,222.622,45.185,24.239,1.97,2.108
699.0,0.936057692,5954.807923,41190.5281,6.917188368,18.7,58.5,43.65,1.82,0.5744,0.202,2.3253,70.6561,169.281,238.179,75.371,28.456,3.85,3.37
701.0,0.86231746,4318.083769,4783.531223,1.107790279,13.6,19.7,35.81,1.53,0.1164,0.0232,0.1377,5.5821,23.21,43.778,20.955,8.721,1.71,2.64
702.0,0.260025063,211.385387,8436.592013,39.91095189,24.5,194.0,49.41,0.82,1.7916,0.6275,6.5048,132.3603,170.301,118.675,35.408,12.2,2.04,2.442
703.0,1.887363897,2928.798745,41904.12986,14.30761671,20.1,99.9,49.25,0.22,3.1971,1.6974,9.6832,141.7892,86.172,104.483,35.111,12.619,1.25,0.883
704.0,0.337126437,104.5547588,924.9349309,8.846416382,16.9,90.0,50.38,0.24,0.5949,0.1698,0.7686,11.924,19.907,19.773,6.441,3.422,,0.978
705.0,0.151442308,46.12957655,26.47120007,0.573844419,11.9,14.5,39.03,0.54,0.9075,0.3498,0.7301,5.2679,4.669,17.736,9.354,4.22,0.75,0.301
707.0,0.254601227,60.36204599,489.326689,8.10652921,17.1,81.2,48.31,0.26,1.0833,0.4389,1.0724,12.1097,19.234,18.128,6.896,3.383,0.52,
708.0,0.289099678,181.7175846,3498.83738,19.25425868,19.5,145.3,58.22,0.58,5.6949,1.8387,,108.9854,101.396,79.184,30.443,10.513,2.22,
709.0,0.325031001,37.05219933,825.0389759,22.26693667,22.8,121.4,42.67,0.09,1.2695,0.7029,2.4448,20.9668,30.216,11.267,6.462,2.101,,
710.0,0.545329087,591.8183654,5256.959347,8.882724252,17.0,90.0,47.7,0.54,0.6379,0.2145,0.7064,17.6879,20.802,24.225,8.289,3.244,,0.3
711.0,0.166892308,696.9788649,13407.75827,19.23696534,27.6,87.1,42.35,6.64,,0.0696,1.5123,100.0331,694.651,611.83,200.619,66.072,12.92,8.376
714.0,0.636706587,673.9224093,17852.10044,26.48984541,22.5,149.3,47.09,0.44,0.1827,0.0699,0.8524,27.5343,33.571,23.444,6.809,2.162,0.47,
716.0,1.496097366,8610.944751,565035.0583,65.6182422,27.3,263.5,49.86,1.02,,0.8432,,1499.6643,1365.811,1528.867,244.811,129.918,10.65,10.031
718.0,0.559520548,802.9233635,1475.470261,1.837622778,14.2,29.0,38.34,0.69,,0.0281,0.0546,1.1317,6.471,12.951,4.51,2.044,,0.394
720.0,0.647428058,2219.211208,5480.800614,2.469706621,15.2,33.1,39.82,1.42,0.3978,0.1138,0.5075,14.0738,30.654,41.125,18.889,7.541,1.61,1.065
721.0,0.756861598,623.6146621,4711.783622,7.555601093,16.8,77.9,48.51,0.29,0.362,0.0437,,,22.408,21.578,8.902,3.485,0.45,0.575
722.0,1.129483066,325.2386463,6883.02879,21.1630102,22.0,123.6,48.25,0.07,0.3162,0.0885,0.5524,18.7086,35.792,79.219,6.513,,1.727,
723.0,0.79810585,6401.489895,72129.68727,11.26764057,21.5,73.8,42.75,2.71,0.2737,0.1004,2.7901,72.3224,181.727,209.562,65.049,24.346,2.83,1.632
724.0,0.097704918,4.773125504,16.70593926,3.5,15.5,43.2,40.33,0.14,0.1083,0.0389,0.0525,1.486,4.517,4.085,2.346,0.94,,
725.0,0.17027027,19.91964938,178.4879474,8.96039604,16.7,95.4,50.85,0.19,0.6577,0.1741,1.1048,24.2886,26.837,29.676,6.744,1.214,,
726.0,0.101851852,14.14609053,354.0809328,25.03030303,21.8,150.3,51.19,0.34,0.7936,0.584,6.5118,62.9652,62.86,51.399,14.382,5.121,0.97,0.426
727.0,1.267335554,1758.392793,4620.819457,2.62786533,15.1,35.0,41.05,0.29,0.1819,0.0591,0.1799,5.1112,12.608,19.389,7.38,3.063,,
728.0,0.871532847,429.4007281,968.5829859,2.255662188,14.5,33.0,39.81,0.15,0.0933,0.027,0.065,2.6005,6.011,8.224,3.776,1.558,,
729.0,0.087852495,9.419069174,111.6089704,11.8492569,19.1,93.0,50.52,0.33,0.396,0.0687,0.5336,15.3223,24.066,21.441,6.771,2.574,,1.196
730.0,0.398645161,78.58835796,467.4672341,5.948301329,13.6,101.8,85.34,0.14,1.8056,0.5816,4.3878,10.0558,6.748,11.192,5.762,1.891,,
732.0,1.259203481,1223.215546,5355.906198,4.378546541,15.4,55.8,43.88,0.2,0.5877,0.1547,0.1555,7.2323,11.283,8.927,6.371,2.351,,
733.0,0.294377163,119.4266562,1778.355241,14.89077312,19.3,114.6,53.49,0.37,3.5421,0.5596,1.3098,40.789,41.999,28.881,11.914,5.003,,
736.0,0.322959184,1020.543331,6595.403243,6.46263911,20.3,47.3,39.92,2.66,,0.2623,2.2439,38.2886,273.694,354.069,115.892,45.096,5.8,5.182
737.0,0.694032396,1972.041196,88063.37178,44.65594935,28.1,171.3,56.25,1.1,5.3595,1.2735,,259.1789,304.755,193.034,49.939,14.914,1.76,0.901
738.0,0.397983871,12.48542574,719.4029583,57.61941748,27.1,225.4,48.32,0.02,0.3322,0.0815,0.2727,7.387,18.837,19.808,0.963,,1.313,
740.0,0.615320122,816.4838812,36502.24515,44.7066329,22.6,250.4,56.54,0.57,0.452,0.1645,2.0953,71.1323,69.68,67.701,15.397,4.61,0.86,0.831
741.0,0.240961098,130.7794459,8813.91341,67.3952497,29.7,233.3,52.09,0.62,0.2749,0.0907,0.4932,17.6517,30.749,19.646,3.277,,0.39,
742.0,0.139751553,107.5479341,490.7796767,4.563357546,16.3,52.1,47.08,1.47,0.7256,0.0847,,33.5259,106.395,138.058,52.232,21.968,4.82,4.82
744.0,1.17815407,3384.471296,172766.3004,51.04676191,17.1,511.3,60.49,0.64,,,,,80.487,37.351,26.242,12.497,1.66,
