YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70,F160,F250,F350,F500,F870,F1100
745.0,1.068877005,959.7784533,10715.60995,11.16467026,19.9,80.5,42.06,0.22,0.8762,0.2263,1.4266,44.7458,67.89,34.817,16.336,6.978,0.95,0.505
746.0,1.637016317,921.6311844,14358.45271,15.57939114,20.2,108.6,46.53,0.09,,0.2754,0.467,18.5707,51.567,42.613,13.699,5.578,,0.217
747.0,0.868856031,2014.32417,5868.743422,2.913504941,16.6,31.3,32.49,0.71,0.1709,0.0203,0.1339,3.8589,42.16,34.676,17.409,8.261,1.31,0.997
748.0,0.667584216,899.4066794,4145.268625,4.608892418,15.5,57.7,44.5,0.53,0.6408,0.0613,0.217,13.7109,22.926,21.474,12.31,4.839,0.856,1.854
750.0,0.727396409,138.6570012,335.1454157,2.417082534,15.4,30.8,34.38,0.07,0.0694,0.0225,0.0392,1.0311,5.025,5.644,2.333,1.189,,
752.0,0.708666027,1671.116969,16529.05699,9.891023367,20.0,71.1,44.67,0.89,1.1614,0.1792,1.8247,30.3753,113.061,82.512,33.492,12.712,1.97,1.922
753.0,0.16392233,279.7354899,26548.91328,94.90720427,37.2,242.4,51.14,2.85,1.8779,0.8472,,378.9799,559.955,287.831,73.261,23.41,4.7,2.932
754.0,0.340615385,474.5660592,6410.575811,13.5082897,20.9,89.4,42.08,1.07,0.1126,0.0244,0.1058,22.2071,49.631,46.634,13.245,4.552,0.57,0.364
755.0,0.675959596,541.4247526,286.6507499,0.529437837,10.2,21.0,51.39,0.32,2.3747,0.7953,1.4646,,4.036,27.952,19.342,6.801,,
756.0,0.418378378,485.8777619,21540.17739,44.33250311,22.9,243.5,56.98,0.74,16.1802,2.2238,,657.2856,405.086,307.678,117.187,45.102,4.86,6.488
757.0,0.539217119,612.8591601,3621.517038,5.909215811,16.1,68.4,45.72,0.56,0.9063,0.2857,0.5705,16.6166,23.349,27.057,11.615,4.37,0.97,0.548
758.0,0.679494655,518.6335403,5411.05977,10.43330088,17.7,96.6,47.31,0.3,0.4785,0.2229,1.0245,27.7516,26.951,30.157,10.879,3.829,0.38,0.519
759.0,1.141270183,7487.42544,3126.729969,0.417597476,11.3,12.7,41.84,1.53,0.1875,0.0432,0.1861,4.7041,9.099,64.803,41.66,20.178,2.53,1.852
760.0,1.458729097,773.631181,4684.800332,6.055599163,16.1,68.8,44.96,0.1,0.0845,0.0525,0.1231,5.4099,8.863,8.535,3.583,1.749,,
761.0,0.583042254,86.2781956,2277.275934,26.39457071,23.2,138.4,46.89,0.07,0.7337,0.2607,0.4903,12.0993,18.715,14.074,3.179,1.676,,
762.0,0.796608863,499.0980699,10669.58933,21.37774112,18.6,176.8,50.54,0.21,0.5432,0.1329,0.8035,31.2426,33.137,22.617,10.059,,,
763.0,0.292092609,115.3765989,3239.041036,28.07363943,19.7,205.5,54.84,0.36,0.8112,0.3116,2.7442,54.5752,35.773,26.304,9.081,3.537,0.54,
765.0,0.477767936,148.1600819,1070.84421,7.227616213,15.1,96.2,49.52,0.17,0.5947,0.1406,0.5117,14.1636,12.139,18.063,6.757,2.254,,
766.0,0.913156342,1723.856103,2845.183721,1.650476346,14.2,26.0,37.79,0.55,0.6988,0.1677,0.3318,11.8223,25.623,41.05,18.543,8.188,0.938,0.738
767.0,1.262316096,4478.446085,201410.8217,44.973372,24.1,224.5,55.47,0.75,3.9996,1.1424,,352.4918,325.207,239.984,74.661,25.306,3.73,3.294
768.0,0.354525862,267.7936422,519.2734189,1.93908046,13.3,36.2,47.62,0.56,0.2629,0.055,0.2735,5.2747,8.896,17.427,6.401,2.606,,
770.0,0.595555556,269.7679012,495.091358,1.835249323,15.1,24.2,35.23,0.2,0.4696,0.1705,0.2493,2.9279,19.302,33.605,11.71,4.899,,0.369
773.0,0.239067055,613.4123299,4925.130393,8.029069767,19.1,66.8,44.49,2.75,,0.2099,1.1134,13.1073,222.85,251.446,88.809,38.781,5.58,6.449
774.0,0.408981233,98.29438147,202.8663873,2.063865546,14.2,31.6,40.42,0.15,0.2802,0.0344,,,10.291,14.505,6.999,2.643,,0.09
775.0,0.694222222,794.2451761,3286.798045,4.138266298,16.1,47.4,43.55,0.44,0.2948,0.0573,0.35,12.3651,23.121,30.509,8.091,,1.197,1.201
776.0,0.305938567,89.10465585,1408.98342,15.81268012,18.8,126.5,55.3,0.26,3.0129,1.1649,3.1132,43.3807,46.441,31.846,14.28,5.487,0.57,
777.0,0.408399326,74.20581439,627.6341105,8.458017955,16.5,91.5,49.12,0.12,0.4187,0.1194,0.3494,10.2288,11.844,12.862,4.112,2.209,,0.397
778.0,0.433933649,89.12791501,5798.335766,65.05633803,27.6,255.0,50.91,0.13,0.1578,0.0347,0.2906,7.5,10.872,4.531,1.458,0.254,0.2,
779.0,0.155579399,30.1189007,85.09320488,2.825242718,14.2,44.3,44.41,0.33,0.3182,0.0481,0.2852,8.2075,15.718,21.621,10.642,4.661,0.7,0.497
781.0,1.183565891,1456.542978,9410.729247,6.461003477,16.7,67.7,43.87,0.28,0.5902,0.1479,0.3048,7.3519,41.368,37.189,17.393,7.923,0.86,1.507
782.0,0.410474227,1337.310522,11980.77785,8.958860081,17.8,84.8,49.83,2.11,1.3739,0.5305,7.6667,,183.469,245.063,91.35,32.624,8.114,2.982
783.0,0.480869565,388.2175996,1572.709849,4.051103944,15.4,52.1,44.92,0.45,1.5836,0.6247,1.3304,29.8165,31.67,34.897,6.61,,,
784.0,0.738227848,1765.766255,16001.4572,9.062047229,17.2,90.4,48.05,0.87,0.7378,0.1927,0.7295,32.7114,36.894,45.136,14.54,5.703,0.57,0.984
786.0,0.884800759,1431.791396,7018.773218,4.90209205,16.1,56.6,43.63,0.49,0.6604,0.1344,0.5482,15.8072,37.542,48.823,18.53,9.037,0.93,1.266
788.0,1.476923077,444.5187815,7517.561838,16.91168551,20.2,116.7,51.14,0.05,1.6839,0.5154,1.957,26.3779,33.521,27.321,7.478,,,
789.0,0.460017969,271.9695672,1471.158132,5.409274821,16.5,58.6,43.44,0.34,0.1276,0.0303,0.1178,2.8765,7.165,8.291,2.634,,,
790.0,0.937520216,309.8776585,7725.145271,24.92966194,23.5,127.5,44.56,0.09,0.8689,0.2541,0.4709,19.7929,44.909,23.834,6.751,,,
791.0,1.332878788,562.2511077,4229.186395,7.521881838,19.0,58.8,45.05,0.08,0.3405,0.039,0.1389,6.2739,22.795,54.406,24.223,,0.52,
792.0,0.346389414,599.1874786,1933.842406,3.227441286,14.9,45.9,49.42,1.35,0.2658,0.1006,0.7715,18.5609,30.599,38.46,19.143,8.387,,3.517
793.0,1.058366972,6107.053621,14625.08131,2.394785149,15.5,31.0,38.76,1.46,0.6131,0.0604,1.0199,24.8115,92.344,147.545,64.244,29.681,3.68,2.781
795.0,0.753509061,1045.093482,2384.111358,2.281242205,14.7,32.7,38.89,0.49,0.3787,0.1488,0.2961,12.1697,30.391,37.851,20.346,15.647,1.07,1.008
796.0,1.086435331,1466.032605,33263.29457,22.68932797,20.4,154.4,48.0,0.33,1.8965,0.737,3.4857,85.7902,122.124,72.519,32.057,11.937,1.66,0.889
798.0,1.047436159,2974.556791,969.2949233,0.325861966,10.8,10.9,36.72,0.72,0.5581,0.1259,1.2316,14.7112,2.856,65.475,32.653,19.853,1.35,2.586
799.0,0.353076923,182.6699167,47274.36384,258.7966574,13.5,4646.4,162.66,0.39,2.601,,,,15.529,7.294,6.201,2.726,0.61,1.594
800.0,0.719639315,34.55572564,376.156754,10.88551165,21.9,63.1,34.46,0.02,0.1167,0.0497,0.1761,,18.801,9.149,4.94,,,
804.0,0.567607973,1969.118249,2311.115827,1.173680569,13.1,23.3,40.97,1.6,0.4266,0.1461,0.4553,17.6864,22.393,51.84,21.687,10.784,1.69,2.32
805.0,0.311343284,91.24714859,84.07596347,0.921409214,12.7,19.3,37.22,0.26,,0.0406,0.0781,0.596,6.028,8.914,6.442,2.449,,
806.0,0.363686724,193.8560647,2339.942522,12.07051492,18.1,106.5,47.47,0.39,2.1453,0.5511,1.61,33.6853,36.433,30.277,10.332,4.353,,0.296
809.0,0.574986021,391.5689798,6225.190076,15.89806751,18.3,137.1,49.64,0.32,3.6204,0.9562,2.6943,72.6242,68.358,73.026,31.887,10.726,0.99,1.241
810.0,0.705865633,1382.522532,672.1529983,0.486178693,13.3,9.0,19.94,0.73,5.2585,1.0893,,146.4731,36.216,136.01,39.234,22.555,1.75,
811.0,0.422181485,1293.351822,695.2438794,0.537552016,12.2,13.0,31.74,1.93,,0.1327,1.3738,,19.132,74.018,31.03,15.976,2.08,2.003
812.0,0.603831776,158.1122019,1084.218622,6.857273559,20.6,45.6,27.92,0.11,0.1694,0.0587,0.095,5.129,20.773,12.426,4.549,2.907,,
818.0,0.561276151,258.2588167,2777.132053,10.75329039,17.8,96.6,46.05,0.22,0.706,0.1731,0.3366,12.6068,17.226,17.981,5.956,2.003,,
820.0,0.373416592,210.9532317,1717.935226,8.143678161,16.7,85.7,47.53,0.4,0.3293,0.0296,0.105,2.7905,28.302,29.319,11.656,4.795,0.79,
822.0,0.658896797,47.14780081,1224.435924,25.97015986,21.9,155.8,48.12,0.03,1.0531,0.3353,0.5105,10.3343,25.488,14.432,4.956,,,
823.0,0.510566038,130.3776077,1303.175169,9.99539102,19.0,78.1,42.79,0.13,0.7688,0.2662,0.6993,10.6996,48.625,37.306,15.152,5.29,,
825.0,0.608821954,757.6715414,1819.780457,2.401806531,11.0,76.4,51.03,0.55,0.7798,0.2247,0.361,16.9274,5.278,15.304,10.691,7.034,,0.324
826.0,1.362707366,1260.001656,20326.58766,16.13219124,18.1,140.6,48.63,0.18,0.6444,0.2221,0.578,21.3121,26.686,17.014,6.337,3.748,,
829.0,0.658044807,461.8911652,4997.298882,10.81921296,17.9,96.8,49.82,0.28,0.6831,0.1515,0.5771,25.3252,40.25,42.403,15.048,3.101,,0.67
830.0,0.406153846,201.3383891,639.2704263,3.175104505,17.1,31.7,32.16,0.33,0.5367,0.0797,0.6861,14.5291,52.092,66.955,20.106,8.746,0.93,0.833
831.0,0.13,13.3,156.7,11.78195489,20.1,82.8,42.59,0.21,0.1322,0.0261,,9.3828,34.008,24.827,9.319,3.398,,
833.0,0.533484202,437.7847575,1464.499535,3.345250172,13.7,56.8,51.09,0.41,1.9548,0.5808,3.0767,32.862,33.351,88.224,24.532,13.222,1.07,2.55
834.0,0.707844588,4990.59221,43513.16446,8.719038268,20.4,63.1,43.4,2.66,3.5717,1.1291,,174.3007,252.581,263.994,99.258,36.872,5.93,10.721
835.0,0.919244533,1263.995836,33301.49862,26.34620913,21.6,161.3,47.12,0.4,0.3818,0.1749,0.9239,,53.47,37.811,12.887,4.27,,0.444
836.0,0.273562005,230.9762867,2913.421822,12.61351052,17.3,123.9,78.98,0.82,1.035,,1.0132,15.5203,32.573,26.402,11.181,6.756,,
837.0,0.262093023,439.5713118,5148.529614,11.71261517,20.3,83.4,48.84,1.71,1.6774,0.3419,2.1379,55.9895,105.484,95.112,33.315,14.826,1.64,
840.0,0.310395604,848.7791914,23459.02418,27.63854771,24.7,136.8,47.35,2.27,1.9072,0.7711,,256.8797,416.47,376.158,111.278,37.91,4.85,2.894
841.0,0.872014519,6083.078185,5488.713822,0.902292171,12.4,21.1,42.02,2.15,0.7982,0.178,0.7449,62.8475,39.944,219.66,86.396,68.898,7.73,8.149
842.0,0.721113043,880.2210504,5937.597992,6.745575999,16.2,75.9,49.85,0.45,1.1452,0.4649,2.2503,29.8622,64.751,72.492,28.105,,3.172,
844.0,0.604655172,1109.65515,3620.604923,3.262819916,14.6,48.1,47.98,0.8,1.0948,0.3139,1.6885,36.0284,57.628,63.38,37.35,,,
845.0,0.769827916,220.54149,1015.010864,4.602357878,15.5,57.5,46.69,0.1,,0.0677,0.2399,8.8748,18.995,58.46,8.687,,,
847.0,0.294021352,80.1107398,1500.1367,18.72578763,19.6,138.4,53.52,0.25,0.3524,0.0965,0.7235,19.9938,23.631,19.189,6.455,2.314,0.781,0.318
848.0,0.521663202,1552.442128,8057.256253,5.190052568,20.1,37.6,30.95,1.5,3.2253,0.5904,7.7765,140.0297,335.784,306.23,119.866,48.451,6.77,3.84
850.0,0.646819788,200.1373397,10031.28647,50.12201365,25.3,224.1,53.44,0.13,2.4176,1.5303,13.0908,97.0762,148.072,130.892,19.168,,2.39,
852.0,0.71086915,1150.257929,2379.623705,2.068774006,14.4,31.3,38.45,0.6,0.2195,0.0413,0.0892,8.3369,21.33,28.465,11.966,6.275,,
853.0,0.54,1382.9,16041.0,11.5995372,21.5,72.9,41.46,1.27,1.3708,0.2252,3.26,77.5827,207.165,261.584,89.27,31.215,3.82,2.704
855.0,0.458952703,386.26615,8231.932645,21.31155589,19.8,155.4,77.96,0.49,0.3852,0.0731,1.897,26.9968,46.685,38.925,21.068,9.136,0.6,
856.0,0.509241147,2295.128134,87960.2124,38.32475019,23.8,203.4,76.12,2.32,4.3963,,,370.5586,477.363,428.302,126.194,43.796,6.23,9.518
857.0,0.3152657,334.7879227,2339.251581,6.987263944,17.0,72.0,53.26,0.93,0.5099,0.1149,2.1152,26.9487,38.882,42.483,16.281,6.867,1.17,2.125
858.0,1.835963115,1705.289384,20856.61311,12.23054181,15.0,165.3,51.53,0.13,0.0838,0.0624,0.333,,13.469,14.658,5.85,,,
859.0,1.440193966,2102.838383,9796.174523,4.658548466,16.5,50.0,43.13,0.27,0.1437,0.0441,0.3759,13.521,28.78,27.739,10.011,6.989,0.64,2.202
860.0,1.369117433,3789.757659,618.5129952,0.163206477,11.0,5.2,16.75,0.54,0.1841,0.0546,0.0933,5.0013,2.207,11.498,6.817,3.874,0.44,0.425
861.0,0.697488076,334.5671864,7905.139545,23.62795835,21.8,140.1,45.42,0.18,0.3602,0.0559,0.246,30.7541,44.799,21.726,10.326,3.857,,
863.0,0.624742268,1375.797641,4607.724519,3.34912954,15.8,40.5,42.36,0.94,0.8366,0.3726,1.5937,25.7966,44.673,57.898,23.46,10.385,1.42,0.86
864.0,0.517284523,3453.773085,23883.58732,6.915216124,16.3,82.9,55.83,3.46,1.0475,0.2482,4.4504,77.1898,58.048,84.53,41.67,,3.809,
865.0,1.45318097,14485.76067,56344.49091,3.88964668,15.1,53.7,63.02,1.82,2.3743,0.3595,,84.1042,129.706,295.153,165.448,69.974,4.913,9.256
867.0,0.38251928,219.1484328,1828.222653,8.342394372,17.4,79.8,46.56,0.4,7.824,2.3361,5.5078,135.8528,63.566,40.46,23.392,10.164,,1.554
868.0,0.5435209,1966.576007,60300.12725,30.66249515,24.5,152.0,49.4,1.74,1.2234,0.5685,,164.4397,186.766,162.773,45.006,13.352,3.16,3.683
