YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70
591.0,0.1386,8.25552,49.53312,6.0,16.4,66.7,43.73,0.12,0.5845,0.1482,0.2109,7.018
592.0,0.348960396,251.8267841,712.9637199,2.831167154,12.6,61.4,48.05,0.55,1.0783,0.2432,0.6843,19.1009
594.0,0.525691057,759.7933241,13816.27542,18.18425482,22.1,107.4,45.72,0.74,0.8694,0.1836,1.1699,29.4015
595.0,0.217562396,125.6059918,412.9269641,3.287478233,15.3,42.9,44.15,0.71,0.2776,0.0911,0.2755,7.4825
597.0,0.448052885,292.2466762,415.9887851,1.423416651,13.6,25.0,49.61,0.39,,,1.0884,
598.0,0.518087318,517.5708849,46700.26602,90.22970068,28.1,341.4,53.74,0.51,0.474,0.1883,3.8232,94.3288
599.0,0.223561104,35.58975762,320.6013974,9.008248969,17.4,85.3,46.29,0.19,0.2331,0.0816,0.3504,8.1201
600.0,0.152753623,27.45137576,495.9817685,18.06764706,19.7,131.9,48.42,0.31,1.2513,0.4322,1.9259,46.6131
601.0,0.335533165,10.13002071,851.2223333,84.02967359,24.9,388.3,61.62,0.02,0.7015,0.5825,6.0201,17.9618
605.0,1.175247934,2957.389934,8421.553348,2.847630355,14.8,40.0,42.78,0.57,0.779,0.1397,0.3424,15.6919
606.0,0.21493568,12.44171299,212.3471297,17.06735478,22.5,94.9,38.86,0.07,0.342,0.0855,0.2632,8.1141
607.0,0.430927835,261.5705707,779.6280157,2.980564723,15.4,37.9,40.07,0.38,0.3202,0.0716,0.0888,7.705
608.0,0.241666667,26.04666821,284.8955448,10.9378882,19.6,80.9,45.37,0.12,1.4428,0.5447,1.3524,35.2956
611.0,1.430286678,2870.183806,52752.36633,18.37943835,18.8,1317.4,56.43,0.37,7.9065,1.0034,,123.9592
612.0,0.084796748,3.375127239,18.63657215,5.52173913,16.7,57.9,51.96,0.11,0.0805,0.0079,0.1105,1.6029
613.0,0.163139357,15.65799995,101.5190962,6.483528966,15.9,77.2,59.81,0.15,0.0635,0.0269,0.0951,1.5631
614.0,0.362197309,1854.64394,2662.524187,1.435598569,15.2,20.5,35.59,3.69,1.0291,0.1189,1.3828,19.4434
616.0,0.405239852,1130.49956,18026.19762,15.94533802,25.5,74.0,35.13,1.87,28.3547,,,1308.337
618.0,0.432095808,648.1695866,555.0090717,0.856271388,12.0,21.6,42.81,0.94,0.7209,0.221,0.6617,7.3351
622.0,0.353915911,36.94374763,508.6398228,13.76795413,19.9,98.9,44.67,0.08,0.535,0.1619,0.3133,7.4268
623.0,1.274869888,2268.870884,7035.788615,3.101008817,15.1,41.3,40.9,0.37,0.5164,0.1279,0.2575,11.1811
626.0,0.166614987,224.470104,4545.573825,20.25024155,24.5,101.4,44.27,2.14,0.2934,0.0699,0.5113,11.1407
628.0,0.660033058,5386.007181,290387.782,53.9152237,29.0,207.1,50.23,3.3,,0.0126,,10.584
631.0,0.42138585,194.0817856,2437.10663,12.55711154,19.3,95.2,57.81,0.29,0.6116,0.1497,2.3194,31.0454
633.0,0.136956522,24.4173913,66.77353497,2.734671126,15.3,35.4,39.99,0.35,0.1445,0.021,0.0888,1.9686
634.0,0.34114744,45.85790353,1350.916954,29.45875955,22.9,158.5,57.66,0.1,0.4509,0.1518,1.1586,24.1058
635.0,0.369557522,113.7842901,171.0452659,1.503241491,13.5,26.9,41.09,0.22,0.0612,0.014,0.0744,1.8118
637.0,0.204400284,24.05515894,206.7100325,8.593168433,15.5,107.5,69.68,0.15,0.1854,0.1098,1.211,
640.0,0.191489362,117.8983703,155.8397465,1.321814255,11.2,40.4,50.59,0.89,0.1462,0.0076,,3.3713
641.0,0.227368421,450.6382271,9021.290859,20.01892053,21.5,129.3,58.37,2.37,6.222,,,197.8247
643.0,0.644025735,3538.658004,21198.76649,5.990623131,19.8,45.6,42.9,2.29,0.3571,0.1645,2.2421,8.4663
646.0,0.34266055,390.1350694,13169.40692,33.75601926,25.5,153.0,48.44,0.89,0.249,0.025,0.3384,6.9608
647.0,1.310697306,1859.480166,40679.69635,21.87691866,17.5,206.0,59.68,0.29,1.9766,0.9829,5.9561,82.5445
648.0,0.557512116,1111.245319,14573.97265,13.11499127,19.2,103.0,53.85,0.94,0.5644,0.1335,1.5477,16.3086
649.0,0.601202887,3164.851348,17474.48179,5.521422611,19.4,43.7,37.33,2.32,,0.0536,0.4749,7.7928
651.0,0.796494024,9997.866948,42196.86243,4.220586516,21.6,28.3,25.31,4.18,,0.0919,0.8695,13.7261
652.0,0.139285714,17.79336735,447.8188776,25.16774194,19.8,181.5,67.48,0.25,1.1519,0.3175,4.625,33.1109
653.0,1.462759366,14276.58975,132975.5753,9.314239435,14.7,137.9,51.78,1.79,1.0322,,3.0454,85.3494
656.0,0.295862069,1082.725327,194.7619501,0.179881218,10.8,6.4,24.6,3.22,0.3562,0.1623,0.4108,2.7431
657.0,0.94905569,2105.756896,7270.368289,3.452615211,15.3,44.7,42.3,0.63,0.8247,0.2239,0.7651,25.0701
658.0,0.214562212,191.1012678,14532.16843,76.04433292,29.0,276.6,51.38,1.06,2.8927,0.9273,,320.5723
659.0,0.527107718,159.6461129,531.653498,3.330200081,14.6,48.2,45.72,0.15,0.3552,0.0456,0.1067,9.8885
661.0,0.347575758,70.64995409,872.6903581,12.35231317,18.9,97.9,59.13,0.16,,,,
663.0,0.283075117,529.068166,3556.805625,6.722773838,18.8,56.3,41.03,1.73,1.0121,0.2314,1.8134,63.7477
665.0,0.533810888,88.61047939,3152.67467,35.57902736,30.8,114.1,42.55,0.08,3.1351,0.5432,4.3014,
666.0,0.49522673,335.9918347,6792.82295,20.21722628,20.5,136.7,48.25,0.37,3.7165,0.8653,7.2331,151.6217
668.0,0.49982906,326.4397399,580.052071,1.776903974,14.1,28.2,38.89,0.35,0.618,0.1715,0.3069,4.7968
670.0,0.151598985,9.787564597,144.5576862,14.76952563,19.0,116.7,49.66,0.11,0.1693,0.0873,0.9912,9.2246
671.0,0.27411215,802.6483618,55185.11775,68.75379104,33.0,211.9,49.26,2.94,6.8877,,,1045.3354
674.0,0.125807175,11.68621406,397.115341,33.98152208,20.4,230.0,53.44,0.19,0.9139,0.2646,3.109,35.5532
675.0,0.260284593,202.2712573,1778.672728,8.79350211,17.8,80.7,46.08,0.79,0.7326,0.1859,1.195,
676.0,0.449012132,186.6994392,2240.65577,12.001406,19.3,91.0,42.49,0.25,1.2904,0.3408,0.5371,26.2985
677.0,0.874014502,2061.998743,6656.306745,3.228084773,16.2,36.6,38.05,0.72,0.1579,0.0796,0.2801,4.8498
678.0,1.924292893,3689.20011,2039.301032,0.552775933,12.7,11.6,22.81,0.26,0.2391,0.0972,0.3651,6.4989
679.0,0.295540541,58.3492878,675.390011,11.57494867,18.8,92.9,50.66,0.18,,,0.0906,2.463
680.0,0.174299517,86.35655234,711.1338639,8.234857051,17.1,83.2,45.32,0.75,,0.4073,2.7399,
681.0,0.344197531,267.5867093,711.0366103,2.657219456,14.4,40.2,43.36,0.6,0.2728,0.072,0.4334,11.6878
683.0,0.989977925,631.0454728,4658.564385,7.382295865,17.7,68.1,43.39,0.17,0.3435,0.0746,0.2394,6.939
685.0,0.639650565,2164.959582,13529.84676,6.249468524,17.8,58.7,42.02,1.42,1.0472,0.2673,1.3498,34.5695
686.0,0.077419355,145.3485952,1166.722164,8.027061856,27.6,36.8,28.14,7.25,0.397,0.0736,1.941,125.071
687.0,2.011428571,6035.475909,99812.31407,16.53760459,16.4,183.0,78.96,0.4,2.8047,,,153.8332
688.0,0.279679648,134.9076915,1068.913511,7.923295542,16.4,86.9,51.93,0.46,0.6375,0.2081,1.407,26.7612
689.0,0.641097852,321.653124,2181.089356,6.780874157,15.8,80.4,48.99,0.21,2.2202,0.5757,0.9454,30.2936
690.0,0.316453354,129.4769366,5902.090224,45.58410463,23.8,231.7,66.2,0.34,,1.328,,
