YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,F160,e_F160,F250,e_F250,F350,e_F350,F500,e_F500,F870,e_F870,F1100,e_F1100,DIST,N8,N12,N24,N70,f_MULTI,f_CEXT
3197,0.3925,11.41465995,27.91175973,2.445255474,15.7,14.8,35.58,0.02,,,0.0435,0.1534,0.051,0.1984,0.322,0.1125,2.572,0.049377918,2.787,0.064585578,1.17,0.07692308,0.511,0.113502935,,,,,3.14,6,6,6,4,0,0
3198,0.350561798,31.13303876,576.2343138,18.50877193,20.1,56.5,49.84,0.07,1.5622,0.4462,0.6261,0.5517,1.4096,0.2512,,,23.866,0.038255258,19.041,0.036657739,5.665,0.04960282,2.403,0.04078235,,,,,3.12,6,6,6,4,0,0
3203,0.271768116,20.55615627,117.6389154,5.722807018,15.8,34.2,52.48,0.07,0.4262,0.0969,0.1749,0.1947,0.4788,0.0394,5.3361,0.061,5.491,0.032780916,6.931,0.052806232,2.541,0.04407714,1.055,0.07203791,,,,,2.93,6,6,6,4,0,0
3208,0.476,31.36,237.552,7.575,19.3,57.9,37.9,0.04,0.3035,0.6582,,,0.1822,0.5432,,,26.551,0.065948554,16.185,0.05060241,7.833,0.09574875,2.771,0.073619634,,,,,2.8,6,6,6,4,0,0
3213,0.114009662,6.463628089,93.07101683,14.39919122,20.3,53.4,47.76,0.13,2.1976,0.3199,0.7892,0.4246,3.5769,0.1331,78.8414,0.2407,91.883,0.040845423,34.068,0.073294587,20.722,0.04275649,8.291,0.028223373,,,,,0.8,6,6,6,4,1,0
3217,0.146483791,20.96983041,41.67365875,1.987315011,13.6,18.5,47.07,0.25,,,0.0033,0.2782,0.0092,0.3178,0.0721,0.6666,2.785,0.031597845,4.349,0.1227868428365146,2.782,0.0744069,0.905,0.043093923,,,,,2.67,6,6,6,4,0,0
3218,0.173117207,21.45750089,40.6983178,1.896694215,14.6,14.4,36.11,0.19,,,0.0361,0.2627,0.0648,0.2352,0.8425,0.1394,4.424,0.029611211,5.851,0.041360451,2.893,0.06982372,1.116,0.031362005,,,,,2.67,6,6,6,4,1,0
3221,0.1216,2.42592,0.2888,0.119047619,10.4,4.6,16.06,0.04,,,0.0214,0.2124,0.0229,0.2419,,,0.99,0.1989898958591499,1.244,0.1069131843338442,0.941,0.098831035,0.718,0.057103068,,,,,0.76,6,6,6,4,1,0
3225,0.4537,28.3187325,25.57821,0.903225806,14.5,4.7,22.49,0.04,,,,,0.0878,0.7174,1.3603,0.9521,5.705,0.1149868568132887,3.019,0.1026830084081436,1.85,0.09567568,0.955,0.09947644,,,,,3.49,6,6,6,4,0,0
3228,0.0567,0.13122,1.70586,13,21.6,100.5,43.73,0.01,,,0.0192,0.2176,0.0307,0.1316,0.5303,0.2888,1.616,0.035272277,1.159,0.033649699,0.325,0.040000003,0.193,0.08290156,,,,,0.81,6,6,6,4,0,0
3239,0.0237,0.12482,0.37446,3,15.8,45.4,42.2,0.03,,,0.0057,0.3182,0.0079,0.2812,0.153,0.3188,0.317,0.085173504,0.376,0.055851063,0.147,0.07482993,,,,,,,0.79,6,6,6,4,0,0
3244,0.139377163,2.869984794,2.005531543,0.698795181,12.7,6.6,33.38,0.04,,,0.0307,0.3223,0.043,0.3143,0.3546,0.4382,2.522,0.076526568,5.626,0.038748666,2.565,0.035867445,1.394,0.035150643,,,,,0.76,6,6,6,4,1,0
3246,0.438153409,194.7121715,341.9252349,1.756054756,12.7,18.2,46.61,0.27,1.0767,0.512,0.4624,0.5808,0.5993,0.5569,15.4658,0.6187,11.491,0.150726655,23.316,0.063046836,8.08,0.27091584,6.255,0.06330935,,,,,2.91,6,6,6,4,0,0
