[I 2026-07-17 11:47:12,344] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:50:51,688] Trial 25 finished with value: -1.65401331816527 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0001102676887342859, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.07739796994938343, 'reg_lambda': 93.36903288338453, 'gamma': 1.5338799983866311}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:53,190] Trial 26 finished with value: -1.6329924495482124 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.0001114773272446368, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.05676272551359222, 'reg_lambda': 49.57856566358091, 'gamma': 3.730191202851892}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:54,503] Trial 27 finished with value: -1.3663865725291888 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.06254604668714842, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001598478091471532, 'reg_lambda': 0.007183646481682355, 'gamma': 6.440180079129537}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:56,402] Trial 28 finished with value: -1.6234202047757516 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.00013290502837738215, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 7.026113070511371e-05, 'reg_lambda': 0.008039629291016112, 'gamma': 4.761465436302152}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:58,386] Trial 29 finished with value: -1.6262353520427146 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.00011536655138414416, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00012956760928939213, 'reg_lambda': 2.946647082758615, 'gamma': 5.039404811760907}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:00,317] Trial 30 finished with value: -1.6282898117779334 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.00010696930767553995, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 4.622400108219011e-05, 'reg_lambda': 2.0390119670560782, 'gamma': 4.578027543339623}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:02,165] Trial 31 finished with value: -1.5591251028479445 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.00042546512248601464, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010750847185777695, 'reg_lambda': 0.0077095308660919595, 'gamma': 7.393651126384718}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:03,818] Trial 32 finished with value: -1.5191541813787384 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0006790420844762189, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001331519167610238, 'reg_lambda': 0.004400962143146213, 'gamma': 5.654850838941042}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:14,339] Trial 33 finished with value: -1.622499331985794 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.00010150014790647292, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0051694594596071956, 'reg_lambda': 5.456793867592477, 'gamma': 0.3158080724337046}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:16,312] Trial 34 finished with value: -1.6306588481373354 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.00010115933120568652, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.006041427069558339, 'reg_lambda': 4.132622586772252, 'gamma': 8.956385111827789}. Best is trial 18 with value: -1.6547131891890032.
