[I 2026-07-17 12:55:37,955] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:57:19,525] Trial 22 finished with value: -0.1341356744568601 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.49302209632319777, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.7137365469109636e-06, 'reg_lambda': 6.816060075782402e-05, 'gamma': 4.200717545231137e-06}. Best is trial 18 with value: -0.150255473673176.
[I 2026-07-17 12:57:27,629] Trial 23 finished with value: -0.13536683577241018 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.4226192785449342, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.5806638947245478e-06, 'reg_lambda': 5.8656799420940485e-05, 'gamma': 1.8648821010915015e-06}. Best is trial 18 with value: -0.150255473673176.
[I 2026-07-17 12:57:35,918] Trial 24 finished with value: -0.13593092001602458 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.4622067212752567, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.7957467113864524e-06, 'reg_lambda': 6.127720698358971e-05, 'gamma': 4.9078812237249844e-05}. Best is trial 18 with value: -0.150255473673176.
[I 2026-07-17 12:57:39,119] Trial 25 finished with value: -0.09201050024726506 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.3396499416423991, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.8053183655194556e-06, 'reg_lambda': 4.110605258016054e-05, 'gamma': 8.86605207145617e-05}. Best is trial 18 with value: -0.150255473673176.
[I 2026-07-17 12:57:43,895] Trial 26 finished with value: -0.09863227662196933 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.38370601368790225, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3850775338227125e-06, 'reg_lambda': 3.321672728587435e-05, 'gamma': 0.00020060160644623068}. Best is trial 18 with value: -0.150255473673176.
[I 2026-07-17 12:57:54,183] Trial 27 finished with value: -0.1744350182298891 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.3696665593627512, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 4.176194833818354e-05, 'reg_lambda': 5.217407562684486e-05, 'gamma': 7.794696782988536e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:03,897] Trial 28 finished with value: -0.1539307896178588 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.4463675057393429, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.819070350426449e-05, 'reg_lambda': 5.536339158832222e-05, 'gamma': 9.551027625811701e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:13,427] Trial 29 finished with value: -0.1325627510671536 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.17724847308648045, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.892780145453022e-05, 'reg_lambda': 3.311474631395236e-05, 'gamma': 4.2433271001875514e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:23,235] Trial 30 finished with value: -0.11750762060316482 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.15194466852960828, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 3.2509854589135036e-05, 'reg_lambda': 1.3997740287554647e-05, 'gamma': 6.416812572628302e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:32,027] Trial 31 finished with value: -0.12916822123474928 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.1783518690433169, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 4.560302025874958e-05, 'reg_lambda': 2.36979775215949e-05, 'gamma': 4.79568513285204e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:44,552] Trial 32 finished with value: -0.1336946092028062 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.17087768183225316, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.4203633109133306e-05, 'reg_lambda': 3.131494221785178e-05, 'gamma': 5.099617189749899e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:58:57,480] Trial 33 finished with value: -0.12591928675054662 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.15380010788928664, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 4.4640563738901724e-05, 'reg_lambda': 0.0022204909036185865, 'gamma': 4.9217577769993876e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:59:10,277] Trial 34 finished with value: -0.12143346608947655 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.14275492614260282, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.903799178690015e-05, 'reg_lambda': 0.00585258375797137, 'gamma': 2.787233581048357e-05}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:59:20,045] Trial 35 finished with value: -0.1275625385308703 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.14732897019025695, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.630332397315843e-05, 'reg_lambda': 0.001706402934446932, 'gamma': 0.0024870129617306823}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:59:30,141] Trial 36 finished with value: -0.1229513948963744 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.13431685571447938, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.326114947401423e-05, 'reg_lambda': 0.0036135460190906328, 'gamma': 0.002132510487181079}. Best is trial 27 with value: -0.1744350182298891.
