[I 2026-07-17 15:49:23,814] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:50:19,917] Trial 22 finished with value: -0.3214798718135757 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.4764711770566533, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 3.864253131772391e-05, 'reg_lambda': 1.260487282002639e-06, 'gamma': 0.0005217872140572789}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:22,451] Trial 23 finished with value: -0.3093626895558208 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.48132096384724254, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004592945041054845, 'reg_lambda': 5.8541883176376384e-06, 'gamma': 0.003060643213381627}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:27,405] Trial 24 finished with value: -0.42031048234475116 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.21560045354277427, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 8.50900627784922e-05, 'reg_lambda': 1.6148241957286772e-05, 'gamma': 1.6230870556517416e-05}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:32,508] Trial 25 finished with value: -0.43831928596068137 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.23300305916494135, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 7.963951072178317e-05, 'reg_lambda': 2.5384954939843715e-05, 'gamma': 9.164038711292947e-06}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:37,496] Trial 26 finished with value: -0.40911712193087363 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.18709015007526786, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 5.886621290327507e-05, 'reg_lambda': 1.195608581973661e-05, 'gamma': 4.014647324011774e-05}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:43,269] Trial 27 finished with value: -0.4408860577651533 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.18183109199796363, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0007019580851488264, 'reg_lambda': 1.4525293074396512e-05, 'gamma': 3.3264004502860506e-05}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:52,705] Trial 28 finished with value: -0.5266907191157403 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.17771543120267289, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.11655268145751566, 'reg_lambda': 95.18462053488432, 'gamma': 7.425340677717371e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:50:58,341] Trial 29 finished with value: -0.4382397989370602 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.1601140851452653, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02035888626007259, 'reg_lambda': 0.20799180446266138, 'gamma': 3.1672900789639566e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:01,330] Trial 30 finished with value: -0.3820126151822787 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.15775002145070205, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02142886318101475, 'reg_lambda': 0.7825589003754362, 'gamma': 5.383872308825036e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:04,675] Trial 31 finished with value: -0.4017359990600879 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.16953857137429118, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.051965169219847666, 'reg_lambda': 0.8860784002118796, 'gamma': 3.0435229073464745e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:11,180] Trial 32 finished with value: -0.40206241356371697 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.15148243238232836, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.038669751297022846, 'reg_lambda': 0.7976442457613374, 'gamma': 5.471358129652164e-05}. Best is trial 28 with value: -0.5266907191157403.
