[I 2026-07-17 11:41:05,626] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:44:05,350] Trial 19 finished with value: -0.13263996389134347 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.0001126361483476848, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.16705595649186294, 'reg_lambda': 0.05857224323602632, 'gamma': 16.11995199252173}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:09,620] Trial 23 finished with value: -0.12815751144554532 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.00010536468186497315, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.8233633369330716, 'reg_lambda': 0.04179411158671923, 'gamma': 0.0005851181501886472}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:10,643] Trial 24 finished with value: -0.13605677896732682 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.000103730062438547, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004941461650079349, 'reg_lambda': 1.0524734975674235e-06, 'gamma': 62.46946490532733}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:14,388] Trial 25 finished with value: -0.1271529456747116 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.0001304300891788447, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0036290035884971846, 'reg_lambda': 0.04643588840970923, 'gamma': 18.309767176365945}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:17,888] Trial 26 finished with value: -0.13145487734448658 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.0001082944288148187, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002906766536546909, 'reg_lambda': 0.06419846543612594, 'gamma': 71.42367767199883}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:19,047] Trial 27 finished with value: -0.13445982140782076 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00013394148314527934, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004748298977073987, 'reg_lambda': 1.1612012454147007e-06, 'gamma': 2.0553090908530933}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:20,251] Trial 28 finished with value: -0.13505095131641393 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00011246009937151733, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00452842089311438, 'reg_lambda': 0.4603901637043422, 'gamma': 3.244536797176353}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:20,609] Trial 29 finished with value: -0.1357743182147366 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0003604823669807326, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.655094522454547, 'reg_lambda': 0.4512471421480321, 'gamma': 1.4807908319525316}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:21,500] Trial 30 finished with value: -0.13407807074323472 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.000314228237833332, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.0214612127041587, 'reg_lambda': 0.6370670175223375, 'gamma': 74.64311428208947}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:21,757] Trial 31 finished with value: -0.13705073754311287 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0003688169444249985, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.4520061109451188, 'reg_lambda': 0.44468684401070835, 'gamma': 73.71500101137966}. Best is trial 21 with value: -0.13733284703106718.
