[I 2026-07-17 11:44:56,468] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:48:07,944] Trial 27 finished with value: -0.7043936768154767 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.0009370413770488783, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.438101373456027, 'reg_lambda': 0.5230462550826074, 'gamma': 0.00012137049315985497}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:09,713] Trial 28 finished with value: -0.7425805247879952 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.000701345786077297, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.983059440148988, 'reg_lambda': 0.8469646893571287, 'gamma': 0.00027316316758970154}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:11,927] Trial 29 finished with value: -0.7327716290738344 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.0007190079037706549, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.55983558605736, 'reg_lambda': 0.2581442089324685, 'gamma': 0.00012418444923826405}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:13,723] Trial 30 finished with value: -0.730465699754249 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.0007480749224539967, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.96125109251904, 'reg_lambda': 0.18524415638003355, 'gamma': 0.11712389119584116}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:16,559] Trial 31 finished with value: -0.7465280452498818 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.0004599431004491412, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 5.244349223215838, 'reg_lambda': 1.0629848606521493, 'gamma': 6.594509617023582e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:18,911] Trial 32 finished with value: -0.7454144023583669 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0004531630164636685, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 7.323802101534556, 'reg_lambda': 0.1706360604507931, 'gamma': 0.12325631271670023}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:21,778] Trial 33 finished with value: -0.740106635607131 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.00046834249615428206, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 4.565932319912028, 'reg_lambda': 0.33199629786665286, 'gamma': 0.07260988530234325}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:24,021] Trial 34 finished with value: -0.6767410198526637 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0018254816840941428, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.4642932339257, 'reg_lambda': 0.35053257057859993, 'gamma': 0.07322609864674404}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:26,968] Trial 35 finished with value: -0.6629059022458146 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0021566787125278267, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04253124347644901, 'reg_lambda': 0.2473014755879355, 'gamma': 0.0625641741358495}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:29,561] Trial 36 finished with value: -0.659263060257203 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0026767997435604785, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.07966830587923528, 'reg_lambda': 0.45099800643347804, 'gamma': 2.4118047601797905e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:35,593] Trial 37 finished with value: -0.6515637468179487 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.0033334184520130913, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.03865689264660333, 'reg_lambda': 0.1435729224135228, 'gamma': 0.0827799403881251}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:38,774] Trial 38 finished with value: -0.7780081604722456 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00033146650644563113, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.633230847146311, 'reg_lambda': 14.386219440769846, 'gamma': 1.4081044381992675e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:40,002] Trial 39 finished with value: -0.7858994983027725 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00025594169691654605, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.373287551849378, 'reg_lambda': 16.32014352211942, 'gamma': 1.2622794821567905e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:41,942] Trial 40 finished with value: -0.721273683276286 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.002346190774338737, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0516335664843994, 'reg_lambda': 0.001345548598498128, 'gamma': 1.3465981747962403e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:44,858] Trial 41 finished with value: -0.7184325285796851 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0019848870276413834, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.023918354734950117, 'reg_lambda': 0.0009063833543196151, 'gamma': 1.2079410223207565e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:47,156] Trial 42 finished with value: -0.7790296758647604 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00025422641254392955, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03741812844018405, 'reg_lambda': 0.0013166935474529043, 'gamma': 1.5000232026539716e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:50,154] Trial 43 finished with value: -0.7793687845749853 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00024408030551191037, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00014506824127271352, 'reg_lambda': 13.292188867570257, 'gamma': 6.361473139733928e-06}. Best is trial 11 with value: -0.8640370946162611.
