[I 2026-07-17 11:13:43,492] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:15:34,859] Trial 22 finished with value: -0.20245488666711528 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00013824355203511824, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.7627982580880426e-06, 'reg_lambda': 0.12629315908300068, 'gamma': 1.0758508327335308e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:58,034] Trial 23 finished with value: -0.18964754296503383 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00010781661774840213, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.185508953284828e-06, 'reg_lambda': 39.959374808932296, 'gamma': 1.4464896978225863e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:16:16,660] Trial 24 finished with value: -0.19091181403746865 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00010084491611383604, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1744948808891214e-06, 'reg_lambda': 95.14708601003484, 'gamma': 3.0758634143113648e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:16:39,589] Trial 25 finished with value: -0.19443014619996662 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.00010074426507949734, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.577477386993521e-06, 'reg_lambda': 37.44404387599382, 'gamma': 6.399580846803929e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:17:08,866] Trial 26 finished with value: -0.1912338727707377 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.00011569382188809985, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 2.240370984167446e-06, 'reg_lambda': 9.257063313749008e-06, 'gamma': 2.7034606566529845e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:17:32,736] Trial 27 finished with value: -0.166755026966177 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.002284817552621322, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0426474011896272, 'reg_lambda': 0.011761273566086304, 'gamma': 1.0712246472679902e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:17:56,257] Trial 28 finished with value: -0.1916836843487736 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.00011322604870228426, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0192149623675314e-06, 'reg_lambda': 1.2895994927693396e-05, 'gamma': 1.7246129152790177e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:18:17,416] Trial 29 finished with value: -0.16612866432908938 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.0025625721636415, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.04796092844384201, 'reg_lambda': 8.690744299659318e-06, 'gamma': 1.2992308871816628e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:18:34,633] Trial 30 finished with value: -0.1653992180026182 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.0029988855972762907, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.027534746461960816, 'reg_lambda': 1.1062060714021443e-05, 'gamma': 0.007083609938556308}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:18:53,457] Trial 31 finished with value: -0.16397467223448156 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.002437992207570437, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.03856946961637583, 'reg_lambda': 8.939985302974215e-06, 'gamma': 0.0024112809757521926}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:19:13,553] Trial 32 finished with value: -0.16334615107244185 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.0016567827534667943, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.05675063692336923, 'reg_lambda': 1.011051498416305e-05, 'gamma': 0.0025075717362749114}. Best is trial 18 with value: -0.20378686841739882.
