[I 2026-07-17 11:29:48,288] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:33:02,953] Trial 22 finished with value: -0.3319147000938649 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00012084400233367371, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.008474478180527106, 'reg_lambda': 0.0004932917138649982, 'gamma': 0.0940245433032289}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:33:06,877] Trial 23 finished with value: -0.3278083056993285 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0001918960554922166, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.007871088895355692, 'reg_lambda': 0.00033188242208668074, 'gamma': 0.09877038130917257}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:33:08,409] Trial 24 finished with value: -0.33226515772917853 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00010483654499054473, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.010082356960044234, 'reg_lambda': 0.0004949495697046817, 'gamma': 1.0416270659206832e-06}. Best is trial 24 with value: -0.33226515772917853.
[I 2026-07-17 11:33:35,484] Trial 25 finished with value: -0.3145504413523407 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.00010180656200862774, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.008825076615364809, 'reg_lambda': 0.0001237677400287124, 'gamma': 2.73039365484615e-06}. Best is trial 24 with value: -0.33226515772917853.
[I 2026-07-17 11:34:05,883] Trial 26 finished with value: -0.308587361678569 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.00017370094822715754, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.009533575827381648, 'reg_lambda': 6.034231747066009e-05, 'gamma': 0.05667285821083636}. Best is trial 24 with value: -0.33226515772917853.
[I 2026-07-17 11:34:07,187] Trial 27 finished with value: -0.3323364943821495 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00010330755533911626, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.006646855107791064, 'reg_lambda': 0.0006677176852023667, 'gamma': 0.05919708552364094}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:08,765] Trial 28 finished with value: -0.3314282610744883 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00011268687394605868, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00581156812102179, 'reg_lambda': 0.00029890961786623846, 'gamma': 0.13259427174026311}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:18,897] Trial 29 finished with value: -0.31537915304678044 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.00011995363645735356, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.004594444074198151, 'reg_lambda': 0.000674479659447798, 'gamma': 0.08389964069257953}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:21,279] Trial 30 finished with value: -0.3306372803975412 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00018009601065051994, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.012365102108452552, 'reg_lambda': 0.0002716188783659375, 'gamma': 0.22536852837069182}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:22,217] Trial 31 finished with value: -0.331838843711999 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0001916632508661936, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.8632275836813051, 'reg_lambda': 0.0015284752820444837, 'gamma': 0.2918277848530063}. Best is trial 27 with value: -0.3323364943821495.
