[I 2026-07-17 14:06:46,786] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:10:21,448] Trial 27 finished with value: -0.12427789087603601 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.4611905910923077, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00023582247565599366, 'reg_lambda': 0.0036112988522551447, 'gamma': 0.0015447608421763515}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:26,877] Trial 28 finished with value: -0.12426979454373557 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.4789276352931324, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00016776327745977412, 'reg_lambda': 9.508018351574645e-06, 'gamma': 0.0025670194727592127}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:32,674] Trial 29 finished with value: -0.1312007246949975 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.46259330891772493, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00016468901365311104, 'reg_lambda': 0.003359759927555248, 'gamma': 0.0031817375984257196}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:37,034] Trial 30 finished with value: -0.07705212957549565 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0671194020865735, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0001528844859519082, 'reg_lambda': 87.19032146626475, 'gamma': 0.00179464314731029}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:42,858] Trial 31 finished with value: -0.07878222366330048 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.06426666407310593, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00012353244990589662, 'reg_lambda': 0.004319937041647904, 'gamma': 0.0011921382461587329}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:47,016] Trial 33 finished with value: -0.05541463947376197 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.10665689943947103, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 5.446528100143569e-05, 'reg_lambda': 0.00508105969779465, 'gamma': 89.5514333520944}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:47,850] Trial 32 finished with value: -0.08021736278635579 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.07637828441689737, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 8.089996158580467e-05, 'reg_lambda': 0.003973849896465764, 'gamma': 0.0008395627742154414}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:48,852] Trial 34 finished with value: -0.06481455952617696 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.06982083973711917, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.013091787887398143, 'reg_lambda': 0.2818167537285966, 'gamma': 0.0006331430199877084}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:11:06,026] Trial 35 finished with value: -0.09924482295285336 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.06958136857892849, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02052453758355588, 'reg_lambda': 0.18527030950362489, 'gamma': 0.0006429735124914866}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:11:23,638] Trial 36 finished with value: -0.10643643835912617 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.07346377177585767, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.020326869283760665, 'reg_lambda': 0.4215098913223959, 'gamma': 0.000502234135026665}. Best is trial 15 with value: -0.15885259407044372.
