[I 2026-07-17 15:31:05,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:33:48,285] Trial 22 finished with value: -0.09408098315411906 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.3459073697391667, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0002584051308271175, 'reg_lambda': 0.009008547007308585, 'gamma': 1.3319595886873724e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:51,584] Trial 23 finished with value: -0.1068672785190306 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.3891841597446587, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.30240178093464287, 'reg_lambda': 0.007761820374324927, 'gamma': 1.855902768826367e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:55,048] Trial 24 finished with value: -0.10241938138528582 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.2929763231606141, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4781971727914002, 'reg_lambda': 0.00994961914421133, 'gamma': 2.4402196017891965e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:57,705] Trial 25 finished with value: -0.09416624869667443 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.49204799371679986, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00035097953613853007, 'reg_lambda': 0.012363301442075071, 'gamma': 8.556627106191591e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:00,128] Trial 26 finished with value: -0.09081946131169186 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.463019244169887, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.000509478343450524, 'reg_lambda': 0.009078661853034143, 'gamma': 1.2126163031949501e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:02,492] Trial 27 finished with value: -0.07656921061842228 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.2541435407739851, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0003015518241407914, 'reg_lambda': 0.007593167441602652, 'gamma': 1.2413404948572628e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:05,175] Trial 28 finished with value: -0.07734052313762242 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.21890556288499252, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00023245252337638242, 'reg_lambda': 0.005043135641298969, 'gamma': 1.0844395088085128e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:07,451] Trial 29 finished with value: -0.06547912517148949 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.17365055217379993, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006210998919367257, 'reg_lambda': 0.030556636551414995, 'gamma': 1.1823874058045607e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:09,307] Trial 30 finished with value: -0.06422587697686703 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.15415756124018726, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00045357250885711423, 'reg_lambda': 0.0006716824943799775, 'gamma': 1.2041080098416053e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:11,784] Trial 31 finished with value: -0.09122691253257205 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.18431599639656418, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.707256552932168, 'reg_lambda': 0.045143296882767046, 'gamma': 1.0882169649728094e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:13,498] Trial 32 finished with value: -0.069821928423062 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.1582826557411641, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00044218138814530137, 'reg_lambda': 0.049268352250798904, 'gamma': 1.5071017780147218e-05}. Best is trial 18 with value: -0.11063055815318368.
