[I 2026-07-17 16:05:21,664] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:07:42,928] Trial 22 finished with value: -1.39343861234346 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.2158433879153253, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003272972096354669, 'reg_lambda': 0.06349697829262826, 'gamma': 3.1527782706332485e-06}. Best is trial 21 with value: -2.404692095773838.
[I 2026-07-17 16:07:51,554] Trial 23 finished with value: -1.7209513021206366 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.32596721999629746, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002565763823585442, 'reg_lambda': 0.08300594966236281, 'gamma': 1.0903515272216863e-06}. Best is trial 21 with value: -2.404692095773838.
[I 2026-07-17 16:08:15,484] Trial 24 finished with value: -2.4474020048905976 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.36231469927671445, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00020761849007798155, 'reg_lambda': 0.06854099681547889, 'gamma': 0.009592267688200356}. Best is trial 24 with value: -2.4474020048905976.
[I 2026-07-17 16:08:24,232] Trial 25 finished with value: -0.5409935510316475 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.00011643352275676951, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00015757463601803585, 'reg_lambda': 0.31744662460299516, 'gamma': 0.00529483159213512}. Best is trial 24 with value: -2.4474020048905976.
[I 2026-07-17 16:08:39,372] Trial 26 finished with value: -0.5251773524104405 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.00013247100010417822, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 6.409370727122758e-05, 'reg_lambda': 0.42480545406580505, 'gamma': 0.0025030672173933554}. Best is trial 24 with value: -2.4474020048905976.
[I 2026-07-17 16:08:59,429] Trial 27 finished with value: -6.323983575603991 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.3071534636317467, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 3.7885197290090746e-05, 'reg_lambda': 85.60616553217187, 'gamma': 0.0034175546634386583}. Best is trial 27 with value: -6.323983575603991.
[I 2026-07-17 16:09:09,064] Trial 28 finished with value: -2.6367207253583684 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.42931011993557466, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 5.134776939108957e-05, 'reg_lambda': 1.087347536187443, 'gamma': 0.002802022942411099}. Best is trial 27 with value: -6.323983575603991.
[I 2026-07-17 16:09:10,412] Trial 29 finished with value: -0.5450529846593284 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.45224498067548763, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.9302347295898984e-05, 'reg_lambda': 71.63711544086574, 'gamma': 79.21738284916462}. Best is trial 27 with value: -6.323983575603991.
[I 2026-07-17 16:09:17,229] Trial 30 finished with value: -1.5985434146984654 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.40267642932156417, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 5.133874718883706e-05, 'reg_lambda': 2.487351079816996e-05, 'gamma': 5.001698912890906e-05}. Best is trial 27 with value: -6.323983575603991.
[I 2026-07-17 16:09:29,522] Trial 31 finished with value: -9.605384815412577 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.48937081382575115, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.051274756013648e-05, 'reg_lambda': 91.66052091399904, 'gamma': 4.54228386663448e-05}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:09:50,148] Trial 32 finished with value: -1.4931577818031752 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.1865985966667328, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.850168734999391e-05, 'reg_lambda': 0.9536435013477269, 'gamma': 4.203946774333188e-05}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:10:06,416] Trial 33 finished with value: -1.4942259267405122 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.21374379293988388, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.3229285363108358e-05, 'reg_lambda': 1.965296899387965e-05, 'gamma': 4.394924080094066e-05}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:10:20,481] Trial 34 finished with value: -1.6579955756451783 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.20143837106558626, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.550353081605383e-05, 'reg_lambda': 73.1874290242112, 'gamma': 8.396981418704683e-05}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:10:32,217] Trial 35 finished with value: -1.5908702203525171 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.1830755127653709, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.5215969159848862e-05, 'reg_lambda': 90.78868941208185, 'gamma': 3.9901378269796586e-05}. Best is trial 31 with value: -9.605384815412577.
