[I 2026-07-17 11:25:57,026] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:32:16,925] Trial 27 finished with value: -0.292387101066882 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.4851739760808308, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0006626418287347974, 'reg_lambda': 0.0009405794618194639, 'gamma': 0.0028046553890460984}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:18,463] Trial 28 finished with value: -0.24176322977576908 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.0001745204548377365, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.19627249871281874, 'reg_lambda': 0.00021261504296971224, 'gamma': 0.002759437165482083}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:18,819] Trial 29 finished with value: -0.24325978734125878 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00010131576024980059, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 80.72543508668859, 'reg_lambda': 0.006338427470994592, 'gamma': 0.0008922917536701087}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:23,506] Trial 30 finished with value: -0.2320603570183819 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.00013038203274352107, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 60.88913248294145, 'reg_lambda': 0.013713438283897914, 'gamma': 0.843826372237284}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:23,980] Trial 31 finished with value: -0.24279601612678703 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.0001252101271773296, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 79.91482067762449, 'reg_lambda': 0.01425562803296166, 'gamma': 1.374319046749937}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:24,824] Trial 32 finished with value: -0.24129144530959795 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.000190907959764868, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 11.215825571888667, 'reg_lambda': 0.024747597463143325, 'gamma': 0.8473285628966007}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:28,125] Trial 33 finished with value: -0.23467573637793018 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.00020844748634203856, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 13.88461916525568, 'reg_lambda': 0.02838152491382513, 'gamma': 0.4144582181994154}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:31,286] Trial 34 finished with value: -0.23821385161532938 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.00011627422259224877, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 13.243826391736434, 'reg_lambda': 0.018447784980339606, 'gamma': 0.5426153192065676}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:37,219] Trial 35 finished with value: -0.19370745419582475 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.022926543572389775, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 5.677698481259517e-05, 'reg_lambda': 0.009735552102190317, 'gamma': 1.2287394755334164}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:41,897] Trial 36 finished with value: -0.1960117527156165 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.03498353694137275, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 7.252499509075407, 'reg_lambda': 0.005050659710157733, 'gamma': 0.9815228237526505}. Best is trial 27 with value: -0.292387101066882.
