YB,F8,F12,F24,F70
302.0,1.2065,0.3878,2.0342,61.9238
303.0,0.9659,0.2845,0.6594,26.8965
304.0,0.2572,0.0847,0.1445,8.9861
305.0,0.9886,1.4411,,76.9257
306.0,0.3744,0.0769,0.2094,27.1219
307.0,2.0291,0.536,1.4465,53.7412
308.0,1.8081,1.1086,,317.1499
309.0,0.6777,0.5903,9.724,22.149
310.0,4.7035,1.4056,,406.6396
311.0,1.3839,0.6995,4.6747,77.1909
312.0,0.3948,0.1133,0.2347,10.6565
313.0,0.0942,0.02,0.1026,2.844
314.0,0.0931,0.0218,0.0562,0.9076
315.0,0.3097,,0.1477,4.3583
316.0,0.1173,0.0151,0.0682,2.0145
317.0,0.1768,0.0279,0.1358,6.4755
318.0,0.1733,0.0357,0.2473,5.5545
319.0,0.091,0.0281,0.0861,3.2352
320.0,0.2239,0.0844,0.3692,19.3206
321.0,1.1821,0.355,0.6473,20.6463
322.0,0.7224,0.1662,1.153,16.9352
323.0,0.4458,0.0753,0.7186,18.2431
324.0,0.595,0.1421,3.3187,44.4606
325.0,0.3292,0.0455,0.1543,6.72
326.0,0.6725,0.2004,1.2332,29.4589
327.0,0.6162,0.1006,0.2619,14.3326
328.0,0.6299,0.2102,0.3208,4.1155
329.0,,0.1969,4.0268,27.9957
330.0,0.2056,0.0672,0.5613,24.1186
331.0,1.4062,0.4619,2.9188,0.456
332.0,,,0.9405,
333.0,8.3515,1.4407,,1393.2658
334.0,7.5192,,,430.8955
335.0,,,,1.7797
336.0,1.1999,0.3589,2.3396,43.3979
337.0,0.3028,0.0971,0.2434,3.1727
338.0,1.464,0.4753,3.7605,66.2092
339.0,0.1883,0.0297,0.2697,3.9987
340.0,0.6058,0.1577,0.6155,18.6837
341.0,1.0903,0.2671,0.4591,20.3222
342.0,0.3634,0.1002,0.1434,7.696
343.0,0.5011,0.1672,1.3894,32.4493
344.0,1.8592,1.09,,106.8283
345.0,0.4982,0.0317,,20.9997
346.0,0.4235,0.1237,0.4743,9.0769
347.0,0.7432,0.082,1.216,45.4124
348.0,,0.0438,1.3924,6.2244
349.0,8.9418,,,1.548
350.0,0.1443,0.0302,0.0476,2.8828
351.0,0.7688,0.2093,5.3532,639.2063
352.0,,0.0364,0.7021,148.9725
353.0,,0.025,0.4957,58.1463
354.0,0.2937,0.0261,0.5678,18.1908
355.0,1.046,0.2961,0.5735,13.6781
356.0,0.1734,0.0613,0.2469,
357.0,1.8468,0.4874,1.9246,50.763
358.0,0.1246,0.058,0.1406,1.3749
359.0,,0.2688,,
360.0,0.5118,0.1691,0.4663,20.1612
361.0,2.4281,0.5894,6.426,93.0344
362.0,0.7281,0.2191,2.5612,20.0586
363.0,0.8038,0.3395,2.802,53.0327
364.0,0.3102,0.16,0.6995,7.0339
365.0,0.8156,0.2274,0.4967,13.9699
366.0,0.3489,0.1571,0.4172,13.8033
367.0,0.5523,0.1692,0.4302,20.4384
368.0,,0.0518,0.4951,0.7911
369.0,1.1188,0.5136,2.799,
370.0,1.2089,0.7388,4.5102,92.2231
371.0,5.0956,1.0971,6.8262,212.8214
372.0,0.7683,0.3094,2.412,36.6631
373.0,,1.3155,,
374.0,,,0.5832,34.6075
375.0,19.3317,,,504.7944
376.0,1.1889,0.4353,0.9894,11.6999
377.0,2.9348,0.7231,3.7216,53.8088
378.0,6.1023,1.9158,,
379.0,2.7791,0.6384,,37.5786
380.0,,,,752.2407
381.0,23.1948,,,2067.9965
382.0,,,,1383.0616
383.0,8.462,0.8824,,12.5419
384.0,0.6477,0.1287,0.6268,19.0467
385.0,1.4748,0.3753,4.1094,61.1754
386.0,8.5787,1.7436,,246.248
387.0,2.4789,0.6855,3.4019,51.7836
388.0,,0.0249,0.3913,
389.0,0.5457,0.1421,2.1354,17.6845
390.0,,0.3823,,261.4397
391.0,,0.1075,0.4634,21.2879
392.0,2.9435,0.7031,5.5432,106.0424
393.0,2.5529,0.7557,5.1737,55.6336
394.0,0.4835,0.1101,0.4192,8.6057
395.0,0.1155,0.0183,0.0856,3.7316
396.0,1.0794,0.2822,4.8127,186.4975
397.0,3.4249,1.1114,1.852,61.2823
398.0,0.1701,0.0851,0.158,4.4354
399.0,2.6152,0.826,8.4985,114.4286
400.0,,,,
401.0,2.4534,0.9429,,
402.0,2.2767,0.6758,5.146,60.5592
403.0,0.0726,0.0345,0.1007,1.0433
404.0,0.3954,0.0875,0.3186,4.8966
405.0,1.2267,0.3759,2.2105,72.4764
406.0,0.2905,0.0759,0.5392,15.6477
407.0,0.148,0.0382,0.118,7.3717
408.0,6.2005,,,385.3856
409.0,,0.1794,0.8746,
410.0,0.7444,0.2343,0.5154,
411.0,0.2529,0.1188,0.4604,7.0831
412.0,0.1385,0.0176,0.3445,9.6914
413.0,,0.0554,0.4543,18.3525
414.0,0.2506,0.0703,0.2892,11.0186
415.0,,0.0504,0.1056,1.6629
416.0,0.3289,0.0684,0.1596,11.0423
417.0,1.4069,0.7858,5.3362,96.0451
418.0,0.9063,0.2791,2.1557,31.8266
419.0,0.3051,0.1003,0.2947,6.2847
420.0,2.3111,0.5744,4.4983,33.7377
421.0,0.1358,,0.0245,0.6839
422.0,0.2119,0.1022,1.4828,2.4461
423.0,,0.1052,0.1887,2.7306
424.0,0.8144,0.19,0.4433,13.7658
425.0,0.628,0.1384,0.5332,6.4622
426.0,0.2029,0.068,0.165,4.9499
427.0,0.7786,0.3445,0.6255,9.0657
428.0,1.0618,0.1978,0.3583,1.6972
429.0,,0.1519,0.5599,
430.0,1.5332,0.5243,0.9684,17.2273
431.0,7.7667,,,
432.0,0.2485,0.5434,,0.2501
433.0,,0.1888,0.6975,5.5909
434.0,0.6022,0.3068,4.7904,16.5337
435.0,0.4302,0.106,0.5904,4.2759
436.0,1.9852,0.6277,1.8377,21.5092
437.0,0.081,0.0223,0.1028,1.426
438.0,0.0413,0.0188,0.0473,0.975
439.0,13.5563,,,13.6908
440.0,1.5159,0.4145,2.5274,36.3558
441.0,0.3396,0.1183,0.3085,6.4668
442.0,4.2881,0.6388,,35.8575
443.0,3.0475,1.5267,,316.7681
444.0,0.5725,0.0591,1.9683,51.8143
445.0,1.4394,0.5309,2.7586,31.5665
446.0,1.3225,0.9022,6.3002,93.8224
447.0,1.1612,0.4879,2.7646,66.6538
448.0,1.4835,0.5518,1.3849,13.7302
449.0,6.2954,0.9741,,4.1047
450.0,,0.1412,2.2879,5.3412
451.0,0.6326,0.2223,1.1657,30.3776
452.0,,0.7099,,373.4011
453.0,0.1289,0.0659,0.1733,1.7305
454.0,1.4972,1.2576,12.1894,93.5185
455.0,0.3777,0.1253,0.8852,16.541
456.0,0.2873,0.0909,0.1809,5.5448
457.0,0.4173,0.1405,0.5065,14.4554
458.0,0.5014,0.327,3.0256,48.7683
459.0,0.6362,0.161,0.4616,8.214
460.0,0.5737,0.1621,2.826,17.1845
461.0,0.4552,0.211,1.0592,6.3117
462.0,0.4921,,4.2005,49.0667
