YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
131.0,0.5906,0.3077,0.3809,0.2205,2.1484,0.0513,13.6113,0.1113,5,5,5,5,0000,0,0000,0000,0
132.0,5.213,0.3605,,,,,291.0277,0.1715,5,0,0,5,0110,0,0000,0000,0
133.0,0.2847,0.4518,0.0862,0.5652,0.2545,0.4387,,0.1412,5,5,5,5,0000,1,0000,0001,0
134.0,0.1638,0.4259,0.0361,0.6904,0.0671,0.4695,4.5331,0.1133,5,5,5,5,0000,1,0000,0000,0
135.0,0.6409,0.1407,0.1751,0.2992,0.5571,0.1816,19.5953,0.1417,5,5,5,5,0000,0,0000,0000,0
136.0,1.2882,0.4783,0.2766,0.6222,0.9774,0.4453,37.0758,0.2599,5,5,5,5,0000,0,0000,0000,0
137.0,0.3986,0.1926,0.1338,0.4256,0.4946,0.2151,10.5631,0.2077,5,5,5,5,0000,0,0000,0000,0
138.0,1.3015,0.419,0.3835,0.5855,2.8757,0.4464,91.3937,0.2836,5,5,5,5,0000,1,0000,0000,0
139.0,8.9179,0.2807,1.2557,0.8284,,,250.6726,1.1428,5,5,0,5,0010,0,0000,0000,0
140.0,0.7726,0.6221,0.2344,0.6456,0.3126,0.7313,17.547,0.5663,5,5,5,5,0000,1,0000,0000,0
141.0,1.5835,0.0845,0.2855,0.291,4.1558,0.2191,41.0281,0.2132,5,5,5,5,0000,0,0000,0000,0
142.0,2.625,0.5432,0.4957,0.349,1.6694,0.6758,31.9145,0.4373,5,5,5,5,0000,1,0000,0000,0
143.0,0.2398,0.2385,0.0874,0.3931,0.4508,0.2399,13.5273,0.4115,5,5,5,5,0000,0,0000,0000,0
144.0,0.3052,0.1729,0.098,0.2508,0.1915,0.1744,5.0632,0.17,5,5,5,5,0000,1,0000,0000,0
145.0,,1.2862,,,,,2991.5947,1.6196,5,0,0,5,0110,0,1000,1000,0
146.0,0.2112,0.7951,0.1709,0.3089,0.2852,0.2891,3.6402,0.2269,5,5,5,5,0000,0,0000,0000,0
147.0,0.913,0.0667,0.1859,0.4423,1.1367,0.3537,40.0036,0.1538,5,5,5,5,0000,1,0000,0000,0
148.0,14.6898,0.2672,,,,,671.0813,0.1148,5,0,0,5,0110,0,0000,0000,0
149.0,2.1702,0.3217,0.7254,0.3143,3.8396,0.2302,43.5081,0.3179,5,5,5,5,0000,1,0000,0000,0
150.0,0.2902,0.5478,0.0951,0.5802,0.1138,0.5116,7.3701,0.1283,5,5,5,5,0000,1,0000,0000,0
151.0,0.2956,0.3927,0.0358,0.4996,0.2567,0.3419,10.0784,0.1161,5,5,5,5,0000,0,0000,0000,0
152.0,2.1434,0.532,0.4163,0.5881,0.7968,0.8952,33.8106,0.3658,5,5,5,5,0000,0,0000,0000,0
153.0,1.5237,0.3468,0.5761,0.1285,3.0418,0.0766,49.3617,0.1134,5,5,5,5,0000,1,0000,0000,0
154.0,0.7247,0.6429,0.4109,0.4136,4.4425,0.4027,77.0167,0.2868,5,5,5,5,0000,0,0000,0000,0
155.0,0.3519,0.53,0.0591,0.2437,0.138,0.2889,7.4248,0.3072,5,5,5,5,0000,0,0000,0000,0
156.0,2.0689,0.1412,0.4863,0.5955,3.4217,0.2616,27.3116,0.6384,5,5,5,5,0000,0,0000,0000,0
157.0,1.3006,0.0436,0.4988,0.4157,2.8446,0.285,20.0749,0.1392,5,5,5,5,0000,1,0000,0000,0
158.0,0.3659,0.1538,0.0868,0.4909,0.4281,0.2668,16.6459,0.1171,5,5,5,5,0000,0,0000,0000,0
