[I 2026-07-14 16:55:56,109] A new study created in RDB with name: my-study
[I 2026-07-14 16:59:47,554] Trial 22 finished with value: -0.776708709976645 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.024908775526647945, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0012947315065585988, 'reg_lambda': 0.0004685315579999384, 'gamma': 84.33704653714226}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 16:59:51,640] Trial 23 finished with value: -0.7835168724188464 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.026148578335490127, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001298971599208288, 'reg_lambda': 0.00040157701898116714, 'gamma': 89.19805380675247}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 16:59:55,656] Trial 24 finished with value: -0.791049075318615 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.016317319895080326, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0011804236967945846, 'reg_lambda': 0.0005503471696964894, 'gamma': 99.32762965588026}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 16:59:56,878] Trial 25 finished with value: -0.7385166484043593 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.015948855259742805, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 1.147039202377813, 'reg_lambda': 0.00026485833214501384, 'gamma': 57.557853921617316}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 16:59:58,140] Trial 26 finished with value: -0.7716594186627365 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.022490633839442668, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.1600024915666578, 'reg_lambda': 0.0001363091825922812, 'gamma': 93.14934547502742}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 16:59:59,489] Trial 27 finished with value: -0.6778450330001703 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.0067219800966320025, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.5695220814625447, 'reg_lambda': 3.7684832889373003e-05, 'gamma': 10.032460064119489}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:01,170] Trial 28 finished with value: -0.6790061623261847 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.007688339534553388, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006263763677983701, 'reg_lambda': 0.00011734106424080518, 'gamma': 10.951999015147523}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:05,191] Trial 29 finished with value: -0.6696800874822075 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.039731513749887565, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006945462254930644, 'reg_lambda': 5.5735823589787556e-05, 'gamma': 9.114805282137889}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:09,368] Trial 30 finished with value: -0.6570201940875344 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.006939047329612254, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0003937621204025662, 'reg_lambda': 5.6915544685232213e-05, 'gamma': 5.134402784817803}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:13,455] Trial 31 finished with value: -0.6657063216457518 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.06118984668069859, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00031338731163563715, 'reg_lambda': 1.7799412466506212e-05, 'gamma': 8.273347311478256}. Best is trial 21 with value: -0.7913973345232271.
