[I 2026-07-14 18:23:30,307] A new study created in RDB with name: my-study
[I 2026-07-14 18:25:07,078] Trial 22 finished with value: -0.10078851095524895 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.20610628733326902, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0030239352347689124, 'reg_lambda': 0.07225580369096411, 'gamma': 0.00017422213271838397}. Best is trial 21 with value: -0.12165317358154566.
[I 2026-07-14 18:25:12,615] Trial 23 finished with value: -0.12217781265120557 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.4989670307937707, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0037078857276648613, 'reg_lambda': 0.044169087873517004, 'gamma': 0.00010343924154505212}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:12,988] Trial 24 finished with value: -0.08306153581438162 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.3145491786778735, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0011123403756792452, 'reg_lambda': 0.11484187555320906, 'gamma': 1.1024110838657605e-06}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:13,203] Trial 25 finished with value: -0.07639702459835769 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.25993443279722267, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0016454162349625455, 'reg_lambda': 0.1716546300774185, 'gamma': 8.450311928987517e-05}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:14,177] Trial 26 finished with value: -0.07996106512029517 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.26661083839919647, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00045657483179424954, 'reg_lambda': 0.4116069003750989, 'gamma': 1.046156313732744e-06}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:19,418] Trial 27 finished with value: -0.108345666872987 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.3879975210166136, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.012965630736613509, 'reg_lambda': 0.3037566692810213, 'gamma': 4.939645411213734e-05}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:23,976] Trial 28 finished with value: -0.10948065022766956 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.4371049671276567, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.014773427611908755, 'reg_lambda': 0.39070698493967837, 'gamma': 9.76909398869658e-05}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:30,566] Trial 29 finished with value: -0.09802051080659333 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.16327307522648085, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.021164768424472822, 'reg_lambda': 0.3813963691701514, 'gamma': 0.00013042522494917928}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:37,652] Trial 30 finished with value: -0.0962440773422287 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.14351746972893026, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.013858853476880333, 'reg_lambda': 0.939484332870867, 'gamma': 1.1180628759322e-06}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:43,869] Trial 31 finished with value: -0.09733404324421967 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.12098379658261739, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10976029644279296, 'reg_lambda': 0.7500408931250586, 'gamma': 1.8909824478390737e-06}. Best is trial 23 with value: -0.12217781265120557.
