[I 2026-07-14 19:20:07,931] A new study created in RDB with name: my-study
[I 2026-07-14 19:22:42,396] Trial 22 finished with value: -0.06536058299995837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.49382074978308954, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 94.10625587329189, 'reg_lambda': 2.008509688381987e-06, 'gamma': 1.4803605799631958}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:44,298] Trial 23 finished with value: -0.06536058299995837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.4896344455369704, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.15522733368881553, 'reg_lambda': 4.596753851217413e-06, 'gamma': 1.0309346943869147}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:46,117] Trial 24 finished with value: -0.06536058299995837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.4946298727818383, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 93.0865473297678, 'reg_lambda': 1.630043428709445e-06, 'gamma': 0.9076544990324114}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:47,978] Trial 25 finished with value: -0.0647964971961766 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.4829761302774534, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.09914524259761597, 'reg_lambda': 0.0032013911762715204, 'gamma': 0.35066630240277585}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:59,759] Trial 26 finished with value: -0.16603508094570338 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.36263610875421903, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.019709450282607e-06, 'reg_lambda': 4.701643232359283e-06, 'gamma': 0.0031563868688846215}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:23:12,104] Trial 27 finished with value: -0.15490193937655766 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.24480171809764364, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.8986467701701604e-06, 'reg_lambda': 0.0019892626594700457, 'gamma': 0.0032645960700115467}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:23:25,910] Trial 28 finished with value: -0.15654668642938635 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.2625099075905834, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.058109166794351e-06, 'reg_lambda': 9.969035489347112e-06, 'gamma': 0.0021094358031639032}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:23:40,795] Trial 29 finished with value: -0.1926571392901012 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.48177950874923164, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.172695484381441e-06, 'reg_lambda': 1.3705735113756697e-05, 'gamma': 0.0030087161051303994}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:23:54,661] Trial 30 finished with value: -0.14093102258294662 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.17177843421528174, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6001514240424043e-06, 'reg_lambda': 1.5011348341300646e-05, 'gamma': 0.0025890997602200866}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:24:09,391] Trial 31 finished with value: -0.1503295039184376 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.1883181046432991, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0008436089603891067, 'reg_lambda': 1.6358475053290333e-05, 'gamma': 3.5256678718237993e-05}. Best is trial 18 with value: -0.19887959702092034.
