[I 2026-07-14 21:25:48,924] A new study created in RDB with name: my-study
[I 2026-07-14 21:27:59,081] Trial 22 finished with value: -0.2458209838090409 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.0022670848706042744, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.7217334461073547, 'reg_lambda': 0.01587219626216333, 'gamma': 3.345512307585912e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:04,559] Trial 23 finished with value: -0.2534291093118146 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.0034586069548851878, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.5321468552878598, 'reg_lambda': 0.007242707757626266, 'gamma': 3.587989906884915e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:09,566] Trial 25 finished with value: -0.23854003432512674 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.004617638360320095, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 9.03659494472303e-05, 'reg_lambda': 0.026435691285774023, 'gamma': 4.672460539012181e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:10,035] Trial 24 finished with value: -0.2440654026190625 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.0027057823790809224, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.5674738750457743e-06, 'reg_lambda': 0.015047419018791218, 'gamma': 2.647777763943339e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:12,373] Trial 26 finished with value: -0.24120169603955272 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.004971247344944192, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00010671235850279213, 'reg_lambda': 0.0731037568950508, 'gamma': 2.3911264085937033e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:14,476] Trial 27 finished with value: -0.27930096494474976 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.10161935970353139, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00012755749285299972, 'reg_lambda': 0.04235226079207724, 'gamma': 0.027724083288920728}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:37,426] Trial 28 finished with value: -0.32009444092840994 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.006538411924496642, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.210895781479596, 'reg_lambda': 0.029005545640284812, 'gamma': 0.013131254788915345}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:37,924] Trial 29 finished with value: -0.24348752067435198 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.0923115096814318, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 73.45188005652646, 'reg_lambda': 0.19304058436650737, 'gamma': 0.013451260304868517}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:43,537] Trial 30 finished with value: -0.27413264521187314 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.006174967656138161, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 8.319928359646996e-05, 'reg_lambda': 0.03936305731699009, 'gamma': 0.010978656358894445}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:49,336] Trial 31 finished with value: -0.2618193423578281 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.0054164252967519935, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 9.440285713141024e-05, 'reg_lambda': 0.049273778041115414, 'gamma': 0.015829372496040925}. Best is trial 16 with value: -0.4137711199084063.
