[I 2026-07-14 18:31:07,096] A new study created in RDB with name: my-study
[I 2026-07-14 18:34:40,525] Trial 22 finished with value: -0.20019024800679236 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.32069882961910207, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3784624795927727e-06, 'reg_lambda': 0.5533548071789585, 'gamma': 2.479094918076044e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:35:16,282] Trial 23 finished with value: -0.2071589832182846 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.3785976184671364, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.252371622556695e-06, 'reg_lambda': 0.6193172971483055, 'gamma': 5.829824394254381e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:35:53,607] Trial 24 finished with value: -0.24393953849386446 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.4376825648424334, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.52944770416537e-06, 'reg_lambda': 1.253315303270388, 'gamma': 1.0592140882605095e-05}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:36:19,453] Trial 25 finished with value: -0.12045707222594987 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.058418912199092815, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.6920978068070752e-06, 'reg_lambda': 0.5172016714203729, 'gamma': 6.1578319789038234e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:36:34,821] Trial 26 finished with value: -0.27811133071608823 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.4912511387138839, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 9.10687703072543e-06, 'reg_lambda': 66.09040840161366, 'gamma': 8.773011177779944e-06}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:36:46,122] Trial 27 finished with value: -0.13181263729510245 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.09641036707429218, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3293077736183924e-05, 'reg_lambda': 67.19387911898478, 'gamma': 9.390143319869502e-06}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:36:58,248] Trial 28 finished with value: -0.12525164170844405 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.08207816436283286, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1882476558327557e-05, 'reg_lambda': 68.58332400095814, 'gamma': 6.821886765099422e-06}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:37:10,123] Trial 29 finished with value: -0.13522186408500236 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.09738649935553462, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4079263598693919e-05, 'reg_lambda': 64.68589546975697, 'gamma': 9.485202172680635e-06}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:37:27,278] Trial 30 finished with value: -0.17239751327222794 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.095315567323315, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1460635566699603e-05, 'reg_lambda': 72.52834687907495, 'gamma': 9.570972200798334e-06}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:37:43,929] Trial 31 finished with value: -0.18269605359723962 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.09622583847725505, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1969462233002423e-05, 'reg_lambda': 71.77408516728569, 'gamma': 1.6211984308474688e-05}. Best is trial 26 with value: -0.27811133071608823.
