[I 2026-07-14 16:42:25,616] A new study created in RDB with name: my-study
[I 2026-07-14 16:48:35,653] Trial 25 finished with value: -0.18688066043415427 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.029253241078259107, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0671704130222839, 'reg_lambda': 2.7353389420751286, 'gamma': 0.0007278284272724837}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:01,065] Trial 26 finished with value: -0.18615267169594124 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.02480777231979376, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.2726114543518143, 'reg_lambda': 1.2708903023463067, 'gamma': 0.0009039475040705615}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:17,918] Trial 27 finished with value: -0.17780656049079566 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.020268742836209493, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6462239212759124, 'reg_lambda': 92.42326041428252, 'gamma': 0.003251548816798771}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:23,453] Trial 28 finished with value: -0.2279692649814242 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.2852058376982817, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00012057440953534745, 'reg_lambda': 96.05793162720319, 'gamma': 0.0026540461768191866}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:30,102] Trial 29 finished with value: -0.1778280452378621 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.0171775640810277, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00014054176187885476, 'reg_lambda': 35.27450663648669, 'gamma': 0.008715468994568853}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:31,146] Trial 30 finished with value: -0.17712409321008185 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.24914255283365655, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00013162401325086452, 'reg_lambda': 32.32053906122452, 'gamma': 0.36741692720516567}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:33,341] Trial 31 finished with value: -0.1708691888481438 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.025950188551229818, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 9.116574660642473e-05, 'reg_lambda': 64.59828350897757, 'gamma': 0.43242155613749095}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:35,483] Trial 32 finished with value: -0.17655153663137566 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.23805661457712118, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00011254724447988613, 'reg_lambda': 73.84628274884759, 'gamma': 0.347896552604721}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:40,530] Trial 33 finished with value: -0.21719304095877814 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.2796902990469729, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 9.504380967086882e-05, 'reg_lambda': 74.25896077667785, 'gamma': 0.03615493084797853}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:43,316] Trial 34 finished with value: -0.18056199012847182 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.26592513994724726, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0005409131451254781, 'reg_lambda': 39.018137029857144, 'gamma': 0.38661117470614814}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:44,896] Trial 35 finished with value: -0.1785342996920933 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.2621936362146373, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0001259672575539692, 'reg_lambda': 98.14085238604017, 'gamma': 0.3166507602205636}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:49,326] Trial 36 finished with value: -0.2048442899831772 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.2516152970738162, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002574221753231616, 'reg_lambda': 91.31981090211372, 'gamma': 0.02912967082616614}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:49:53,492] Trial 37 finished with value: -0.20665831365810491 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.2696338317918598, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0010739399224049357, 'reg_lambda': 0.3524983492013473, 'gamma': 0.026326111741633886}. Best is trial 8 with value: -0.23910411933643497.
