[I 2026-07-14 20:00:18,939] A new study created in RDB with name: my-study
[I 2026-07-14 20:02:26,130] Trial 22 finished with value: -0.09566999082781426 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.16192638819616276, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1597891243771188e-05, 'reg_lambda': 0.4533797051287898, 'gamma': 2.0063082848853965e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:31,782] Trial 23 finished with value: -0.0982524101489599 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.17238799462809912, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 3.0697497971425327e-05, 'reg_lambda': 0.39023068254295645, 'gamma': 1.8736147980556052e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:37,460] Trial 24 finished with value: -0.09391831881528018 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.1517547762692358, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 2.919938232376809e-05, 'reg_lambda': 0.26292450562377023, 'gamma': 1.3012748430899706e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:45,011] Trial 25 finished with value: -0.10866468865585018 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.17543994128759732, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.831979809525296e-05, 'reg_lambda': 0.18163065393802227, 'gamma': 1.2732258544902145e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:47,253] Trial 26 finished with value: -0.05539277007435109 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.16070579582259098, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 6.464148062917245e-05, 'reg_lambda': 0.16657512285876638, 'gamma': 1.5521421689740835}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:59,186] Trial 27 finished with value: -0.12661564536885056 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.15151985211184005, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.713513880076268e-05, 'reg_lambda': 0.4231012114113766, 'gamma': 2.2107932830284166e-06}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:07,677] Trial 28 finished with value: -0.1164060681662899 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.16784663665356508, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 7.0116966684316e-05, 'reg_lambda': 0.20081701309594382, 'gamma': 1.119251287728877e-06}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:17,726] Trial 29 finished with value: -0.12048284664631102 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.18507431979475455, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 5.445147169457196e-05, 'reg_lambda': 0.21676077837460242, 'gamma': 4.3957313222576725e-06}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:28,105] Trial 30 finished with value: -0.11102122874787021 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.13137365219910913, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 7.092697605103987e-05, 'reg_lambda': 0.11452536734175102, 'gamma': 0.0011548434813704888}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:31,563] Trial 31 finished with value: -0.071684895391474 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.11304605913679124, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.811714492288176e-05, 'reg_lambda': 0.2279753945037403, 'gamma': 7.5535003934907334e-06}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:35,020] Trial 32 finished with value: -0.07014113678518077 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.09560941210551223, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.392519718737277e-05, 'reg_lambda': 0.09205131929306715, 'gamma': 8.710260358221005e-06}. Best is trial 27 with value: -0.12661564536885056.
[I 2026-07-14 20:03:45,847] Trial 33 finished with value: -0.1964220490593926 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.41665963843752335, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00015542330009030663, 'reg_lambda': 13.643780244446873, 'gamma': 1.0764943682878323e-05}. Best is trial 33 with value: -0.1964220490593926.
[I 2026-07-14 20:03:53,709] Trial 34 finished with value: -0.1714047944946559 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.40625814688220446, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005452934033425913, 'reg_lambda': 16.78382000659246, 'gamma': 1.2283894228870142e-05}. Best is trial 33 with value: -0.1964220490593926.
[I 2026-07-14 20:04:03,878] Trial 35 finished with value: -0.18242135592406736 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.4622894325400584, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00019535322405706462, 'reg_lambda': 0.043721779183842395, 'gamma': 8.920129781547989e-06}. Best is trial 33 with value: -0.1964220490593926.
[I 2026-07-14 20:04:14,127] Trial 36 finished with value: -0.16117885292511394 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.3668521885101159, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0003528614523045263, 'reg_lambda': 18.152126376402972, 'gamma': 1.1983280371667587e-05}. Best is trial 33 with value: -0.1964220490593926.
[I 2026-07-14 20:04:30,247] Trial 37 finished with value: -0.17279817990036864 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.4301529942544484, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00022651205595814676, 'reg_lambda': 0.02390131516708529, 'gamma': 8.091457047628308e-06}. Best is trial 33 with value: -0.1964220490593926.
[I 2026-07-14 20:04:42,776] Trial 38 finished with value: -0.2106275776719057 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.49580129503448095, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0002988278417263221, 'reg_lambda': 13.80094267083102, 'gamma': 1.0232686560198497e-05}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:04:58,637] Trial 39 finished with value: -0.19382601039429798 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.46108965008486247, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0004676442800124225, 'reg_lambda': 12.017199081319403, 'gamma': 9.472077710417293e-06}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:04,240] Trial 40 finished with value: -0.16302527580635526 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.4567304878721259, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006364525805327598, 'reg_lambda': 7.816650869910007, 'gamma': 6.213250315690815e-06}. Best is trial 38 with value: -0.2106275776719057.
