[I 2026-07-14 16:32:32,219] A new study created in RDB with name: my-study
[I 2026-07-14 16:36:38,273] Trial 22 finished with value: -0.3660795414462208 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.00013141282433388983, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 33.610590960848704, 'reg_lambda': 31.081178215719607, 'gamma': 0.0003135856731490178}. Best is trial 18 with value: -0.3837304472527355.
[I 2026-07-14 16:36:41,710] Trial 23 finished with value: -0.36754466362660737 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.00010491015812313648, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 51.19649067959751, 'reg_lambda': 90.68272598105068, 'gamma': 0.0016200845002252776}. Best is trial 18 with value: -0.3837304472527355.
[I 2026-07-14 16:36:43,292] Trial 24 finished with value: -0.38403448824899705 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.000118085371773619, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 49.40212308557113, 'reg_lambda': 92.38061090884904, 'gamma': 36.2936202538781}. Best is trial 24 with value: -0.38403448824899705.
[I 2026-07-14 16:36:44,776] Trial 25 finished with value: -0.34240285975259604 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.001861192622183743, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 67.44403288873104, 'reg_lambda': 50.769275406450156, 'gamma': 28.617072843708346}. Best is trial 24 with value: -0.38403448824899705.
[I 2026-07-14 16:36:47,549] Trial 26 finished with value: -0.3561139968660509 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.002101225299633415, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 97.38650427816201, 'reg_lambda': 1.530330067892153e-05, 'gamma': 38.332183994668306}. Best is trial 24 with value: -0.38403448824899705.
[I 2026-07-14 16:36:50,355] Trial 27 finished with value: -0.3687537867168362 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.00026660480861878183, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 52.25458618487333, 'reg_lambda': 2.5540085196468654e-05, 'gamma': 53.42308074021562}. Best is trial 24 with value: -0.38403448824899705.
[I 2026-07-14 16:36:53,044] Trial 28 finished with value: -0.39097598845468934 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.0015129865935509961, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 59.531546863818335, 'reg_lambda': 2.465492168953533e-05, 'gamma': 94.27707200772566}. Best is trial 28 with value: -0.39097598845468934.
[I 2026-07-14 16:36:55,822] Trial 29 finished with value: -0.391109281598897 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.0016271150835652723, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 99.48810070624039, 'reg_lambda': 3.297770680973047e-05, 'gamma': 97.09952024560187}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:36:58,411] Trial 30 finished with value: -0.3911086168861397 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.0014462807201287183, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 98.98233389550694, 'reg_lambda': 3.2765362501300254e-05, 'gamma': 96.96977196186154}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:01,599] Trial 31 finished with value: -0.28339936076517713 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.001523622663990602, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 11.850192372570797, 'reg_lambda': 2.8282957418558836e-05, 'gamma': 58.96192260268165}. Best is trial 29 with value: -0.391109281598897.
