[I 2026-07-14 16:32:32,199] A new study created in RDB with name: my-study
[I 2026-07-14 16:34:27,615] Trial 23 finished with value: -0.38590941064454143 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00019355320329574974, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.771450147173208, 'reg_lambda': 0.003592139076227164, 'gamma': 0.0004502981112980761}. Best is trial 21 with value: -0.3868398804153802.
[I 2026-07-14 16:34:28,823] Trial 24 finished with value: -0.38803344028462017 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00011525307404732311, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.36987378361769363, 'reg_lambda': 0.00423991743454755, 'gamma': 0.0005427647804738669}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:29,518] Trial 25 finished with value: -0.3863630879769851 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.0001790326469807283, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.1397816623294957, 'reg_lambda': 0.010029392788037161, 'gamma': 91.52990731507415}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:35,287] Trial 26 finished with value: -0.36180414486811885 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.00010782041508539518, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.07652730774228585, 'reg_lambda': 90.6391748473915, 'gamma': 68.24675842175121}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:37,145] Trial 27 finished with value: -0.3871631922284405 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00014605882005929243, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.14446217005298367, 'reg_lambda': 0.01062678895919145, 'gamma': 0.00011548342855684132}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:38,384] Trial 28 finished with value: -0.3879106822555936 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00011886177528028702, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.1749111580938072, 'reg_lambda': 0.007140812413847978, 'gamma': 0.00016099831910382125}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:41,209] Trial 29 finished with value: -0.38671917207108036 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00010855829449001262, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.106802584670987, 'reg_lambda': 6.41913013495615e-05, 'gamma': 0.00010823627802010723}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:34:51,222] Trial 30 finished with value: -0.3756664430775467 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.00011133952435036323, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.08731464164829651, 'reg_lambda': 5.427203787243427e-05, 'gamma': 0.00012029623093342852}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:03,634] Trial 31 finished with value: -0.19767805836855998 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.4194976687046364, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0640949865440199, 'reg_lambda': 0.010017809920367186, 'gamma': 8.87541880661886e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:10,937] Trial 32 finished with value: -0.24348761290884474 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.0014409331578387249, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.046138099354994716, 'reg_lambda': 0.00807295737428678, 'gamma': 6.963652389909177e-05}. Best is trial 24 with value: -0.38803344028462017.
