[I 2026-07-14 19:34:49,623] A new study created in RDB with name: my-study
[I 2026-07-14 19:36:51,189] Trial 22 finished with value: -0.03253897183072162 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.4302446596128046, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.195601295185964e-05, 'reg_lambda': 1.8547276359018023e-06, 'gamma': 81.76852981067749}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:36:54,355] Trial 23 finished with value: -0.03257713811603935 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.3797014457482368, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 5.155750686695311e-05, 'reg_lambda': 2.2049090298057247e-06, 'gamma': 71.0613535227852}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:37:09,600] Trial 24 finished with value: -0.04487820515249025 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.1123076794301246, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0935171512640056e-06, 'reg_lambda': 1.6756121126612892e-06, 'gamma': 3.56966480677576e-05}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:37:24,509] Trial 25 finished with value: -0.0479310950079718 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.1413478544607047, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.030492060256131378, 'reg_lambda': 0.0006108789395678236, 'gamma': 3.60285155388772e-05}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:37:38,100] Trial 26 finished with value: -0.06031121178896463 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.3905816853049567, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 3.2591943637987946e-05, 'reg_lambda': 1.6004158854849925e-06, 'gamma': 0.007471353277523528}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:37:40,989] Trial 27 finished with value: -0.03257480221321405 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.12468990070730476, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00019596363424815525, 'reg_lambda': 2.1759651659867885e-06, 'gamma': 7.676026211192822}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:37:54,056] Trial 28 finished with value: -0.04882249315800163 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.17431110051691845, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.7268071847828428e-06, 'reg_lambda': 1.6073754865029562e-06, 'gamma': 0.003645210340150678}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:10,013] Trial 29 finished with value: -0.047121390731232816 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.1334276515062756, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0089928479527905e-06, 'reg_lambda': 6.393432825419204e-06, 'gamma': 0.011416459432335884}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:16,064] Trial 30 finished with value: -0.038746364285209015 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.11692307794730744, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5725427184144311e-06, 'reg_lambda': 8.755815422165659e-06, 'gamma': 0.004515344685454027}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:24,599] Trial 31 finished with value: -0.04073636610491313 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.12352947684710418, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0329264518344014e-06, 'reg_lambda': 1.104580903422443e-05, 'gamma': 0.00326813825321136}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:29,426] Trial 32 finished with value: -0.0394106137297113 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.14910006398063458, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.000538414259963902, 'reg_lambda': 0.0003226493676209084, 'gamma': 0.003349973983573843}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:33,948] Trial 33 finished with value: -0.034989726268642544 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.07672490264981159, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 8.684155552485637e-06, 'reg_lambda': 1.3591050249533054e-05, 'gamma': 0.004672257560092168}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:45,637] Trial 34 finished with value: -0.03911054765767073 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.08402720952352197, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.000493164366331554, 'reg_lambda': 1.3577672450504214e-05, 'gamma': 0.0026370200863911953}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:38:57,857] Trial 35 finished with value: -0.03762996079115124 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.06979110582676185, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007188433008665699, 'reg_lambda': 2.2087309737777978e-05, 'gamma': 0.0021868448108628867}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:39:06,439] Trial 36 finished with value: -0.03383352280508767 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.04580396817426568, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007327921275738826, 'reg_lambda': 1.5735940830966578e-05, 'gamma': 0.0012368717550939213}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:39:14,345] Trial 37 finished with value: -0.03431055557276675 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.04885027194447402, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0005348395457003932, 'reg_lambda': 0.0001242223537682924, 'gamma': 0.001874867685432666}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:39:23,572] Trial 38 finished with value: -0.044777504442182474 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.21389528497101543, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 8.807124459283656e-06, 'reg_lambda': 0.00011924469155756277, 'gamma': 0.0001502411229191433}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:39:38,953] Trial 39 finished with value: -0.04165998538277292 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.23617923294976154, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 8.138543919078745e-06, 'reg_lambda': 0.00012487680420395102, 'gamma': 0.00011825806991930383}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:39:59,967] Trial 40 finished with value: -0.04179786190322974 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.05832470082057473, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 9.088287858791647e-06, 'reg_lambda': 3.814518991370135e-05, 'gamma': 0.00018764460125461835}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:18,789] Trial 41 finished with value: -0.052476707327858745 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.22280286784390568, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 9.454410510633239e-06, 'reg_lambda': 0.03472362535715144, 'gamma': 0.0011111829900633029}. Best is trial 18 with value: -0.06266766096047331.
