[I 2026-07-14 16:32:32,272] A new study created in RDB with name: my-study
[I 2026-07-14 16:39:01,392] Trial 22 finished with value: -0.4132355454485615 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.45825294608263745, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.3499176085110489, 'reg_lambda': 1.0923025875824523e-06, 'gamma': 1.4374185045206542e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:08,911] Trial 23 finished with value: -0.23966742319779347 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.00016781922735094283, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.25394185284410686, 'reg_lambda': 1.0837809252438174e-06, 'gamma': 2.254086996054096e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:14,287] Trial 24 finished with value: -0.2803194896145495 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.4833943105233135, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.17183598867718697, 'reg_lambda': 1.045070094374527e-06, 'gamma': 2.1763454708933563e-05}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:19,021] Trial 25 finished with value: -0.20345504314377233 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.47441091920787004, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 95.9025920402723, 'reg_lambda': 4.5701537700778725e-06, 'gamma': 1.735646063111044e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:40:03,843] Trial 26 finished with value: -0.3268616789836951 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.4440791581354091, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.08043134302116108, 'reg_lambda': 1.1384300297826675e-05, 'gamma': 1.7563675710580942e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:40:35,355] Trial 27 finished with value: -0.24319222086582598 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0932035733837757, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.15954877702677905, 'reg_lambda': 1.2110121538064478e-05, 'gamma': 1.359879783854912e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:40:46,714] Trial 28 finished with value: -0.28630255049149883 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.4586188126627645, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.11517355274187945, 'reg_lambda': 1.8332496654760334e-05, 'gamma': 2.1566240856653125e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:41:28,220] Trial 29 finished with value: -0.32165208681454793 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.3910484464634067, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.10836849878723445, 'reg_lambda': 1.9216042606838197e-05, 'gamma': 1.6663670945482784e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:42:06,665] Trial 30 finished with value: -0.2364962060774736 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.08062706409862049, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.085649864220163, 'reg_lambda': 2.3927645024007862e-05, 'gamma': 1.1980730589417896e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:42:38,480] Trial 31 finished with value: -0.227550397829251 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.08253161718512965, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.06627904342519964, 'reg_lambda': 1.7861839891163014e-05, 'gamma': 6.577351932141025e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:42:47,510] Trial 32 finished with value: -0.18854513632435863 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.09800010222102971, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 23.559221456909466, 'reg_lambda': 1.765906145286372e-05, 'gamma': 5.141875158617581e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:43:35,859] Trial 33 finished with value: -0.24570319823903664 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.08566159084656755, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.041489275870257566, 'reg_lambda': 4.396064753977845e-05, 'gamma': 8.782336432468266e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:44:30,670] Trial 34 finished with value: -0.24619523284305692 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.08715782569554331, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.03909094537874712, 'reg_lambda': 3.163567487331811e-05, 'gamma': 4.4425883686772306e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:45:22,964] Trial 35 finished with value: -0.2522251495135144 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.10147813433466972, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.03875183597106751, 'reg_lambda': 4.4993728684043844e-05, 'gamma': 7.865234280848085e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:46:16,529] Trial 36 finished with value: -0.24475729687820275 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.08916421547285802, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.027040515341438722, 'reg_lambda': 4.344182979609276e-05, 'gamma': 7.966350293349004e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:47:09,036] Trial 37 finished with value: -0.24076705542086363 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.08264455398804663, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.020080702357290727, 'reg_lambda': 6.151736760964617e-05, 'gamma': 8.375056636273374e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:48:06,144] Trial 38 finished with value: -0.26787077691292777 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.14849955274738527, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.02169424734219066, 'reg_lambda': 6.666048060720744e-05, 'gamma': 1.1762957967316255e-05}. Best is trial 21 with value: -0.49801046385794334.
