[I 2026-07-14 20:53:22,327] A new study created in RDB with name: my-study
[I 2026-07-14 20:55:12,372] Trial 22 finished with value: -0.05250369026165624 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00880711826584614, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4194180030035526e-05, 'reg_lambda': 0.0011689632976511766, 'gamma': 0.011906527670474263}. Best is trial 19 with value: -0.12695368866118845.
[I 2026-07-14 20:55:20,345] Trial 23 finished with value: -0.14902554234632484 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.4859762141281817, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.051829004944399e-06, 'reg_lambda': 0.001903907733199596, 'gamma': 0.005204241487281263}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:32,022] Trial 24 finished with value: -0.06259988284602651 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.008184292804254763, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3256284064922492e-06, 'reg_lambda': 0.0005106459466127514, 'gamma': 0.00020086440572584204}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:42,288] Trial 25 finished with value: -0.12837680668272933 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.24188807782393199, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.300656134811442e-05, 'reg_lambda': 0.0002292767904128881, 'gamma': 0.00031185690314191147}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:43,065] Trial 26 finished with value: -0.05152917642153311 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.42575945937623844, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.2961321939499425e-06, 'reg_lambda': 0.002851322998463074, 'gamma': 0.4953618888405031}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:43,808] Trial 27 finished with value: -0.0514779561074766 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.4326350259078553, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 7.965806577712e-06, 'reg_lambda': 0.0002286159538038564, 'gamma': 0.5815390922031161}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:44,644] Trial 28 finished with value: -0.051708850507060734 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.47018128118643493, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0430595443495201e-06, 'reg_lambda': 0.00034255443182950056, 'gamma': 0.5130397268185929}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:45,344] Trial 29 finished with value: -0.05180049489844686 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.4906137258422428, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5996529988531764e-05, 'reg_lambda': 0.01456103136388445, 'gamma': 0.3677803546165128}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:46,272] Trial 30 finished with value: -0.051765926613135484 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.45821545653015594, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.448136350732774e-06, 'reg_lambda': 0.012786556063120395, 'gamma': 0.4261428885839947}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:47,245] Trial 31 finished with value: -0.05182507566457792 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.4721804100377581, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.0151305091412302e-05, 'reg_lambda': 0.015736615162897483, 'gamma': 1.000388881957108}. Best is trial 23 with value: -0.14902554234632484.
