[I 2026-07-14 20:18:22,564] A new study created in RDB with name: my-study
[I 2026-07-14 20:21:33,862] Trial 22 finished with value: -0.034087477958310554 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.45489275890345515, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00011844722771948525, 'reg_lambda': 1.1462930772209172, 'gamma': 0.000296455371217121}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:36,852] Trial 23 finished with value: -0.03316444014979554 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.4955718098812423, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00013612321045809625, 'reg_lambda': 0.5701010419165042, 'gamma': 0.00011596724205484968}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:40,341] Trial 24 finished with value: -0.03489591195841541 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.49820683696635154, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.373019746818561e-05, 'reg_lambda': 0.17364185795745274, 'gamma': 0.0003414499010487069}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:45,395] Trial 25 finished with value: -0.031640699382317845 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.1300421024465691, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.188500441197703e-05, 'reg_lambda': 0.05464120145054014, 'gamma': 0.00026993626038426577}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:49,371] Trial 26 finished with value: -0.02653054979638084 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.058836372914831264, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.9338902883090262e-05, 'reg_lambda': 0.04618197408500888, 'gamma': 0.00012753109513665326}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:59,883] Trial 27 finished with value: -0.03137486121927545 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.043484445101494365, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.418743916427494e-05, 'reg_lambda': 0.030595142526994152, 'gamma': 0.00011911822059170275}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:22:15,825] Trial 28 finished with value: -0.030562603549059434 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.04022416832062664, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.3593526376309886e-05, 'reg_lambda': 0.037645148692980454, 'gamma': 0.00020732611211963712}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:22:32,834] Trial 29 finished with value: -0.03353035030296812 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.04863385373817546, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.3219008645297195e-05, 'reg_lambda': 0.06064185994677359, 'gamma': 0.0002185953138404799}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:22:47,841] Trial 30 finished with value: -0.031217427223475976 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.04129659367568725, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3936506564714551e-05, 'reg_lambda': 0.05082149981376963, 'gamma': 1.1786444874116944e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:23:00,829] Trial 31 finished with value: -0.029777791791863153 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.041877643564264634, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4665418402604127e-05, 'reg_lambda': 0.05042280364145436, 'gamma': 1.0636300728003997e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:23:13,572] Trial 32 finished with value: -0.0302130808067471 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.04246105184772553, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2054168047064344e-05, 'reg_lambda': 0.03149172667607605, 'gamma': 1.6466142989842015e-06}. Best is trial 19 with value: -0.07056030445224931.
