[I 2026-07-14 16:51:51,793] A new study created in RDB with name: my-study
[I 2026-07-14 16:55:34,467] Trial 22 finished with value: -0.7565903151061991 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.3292502129504049, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3581588228682565e-06, 'reg_lambda': 0.0020261100565004903, 'gamma': 85.24098583103317}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:37,840] Trial 23 finished with value: -0.7468554775216963 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.408252331502056, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0008025564733329509, 'reg_lambda': 0.001658263219130915, 'gamma': 64.09790588221786}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:42,617] Trial 24 finished with value: -0.6824674151980714 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.37221634063199194, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 2.740054405196905e-06, 'reg_lambda': 0.0017495373135742892, 'gamma': 0.6882060788876998}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:54,017] Trial 25 finished with value: -0.6579057809308301 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0005795052651653415, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00042794002977007836, 'reg_lambda': 0.0020771971813153263, 'gamma': 0.24381856550759332}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:56:06,747] Trial 26 finished with value: -0.8580347835975417 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.4781995277671248, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.5451800140979928e-06, 'reg_lambda': 5.731533366060335e-05, 'gamma': 1.2380838064422191e-06}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:56:19,870] Trial 27 finished with value: -0.6759258938784423 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.046633138129868815, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.1666205195807107e-06, 'reg_lambda': 5.085442442009943e-05, 'gamma': 2.2582863344821074e-05}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:56:36,280] Trial 28 finished with value: -0.6901468921375509 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.050683925836201536, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005572599016272152, 'reg_lambda': 0.002705865059880076, 'gamma': 0.004044154742541877}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:56:53,493] Trial 29 finished with value: -0.7102021375827409 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.059280980391321514, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002728617025261046, 'reg_lambda': 5.5256066244770636e-05, 'gamma': 1.3306072352662096e-06}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:57:07,043] Trial 30 finished with value: -0.6975035997387488 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.06601457439506281, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005223698670309043, 'reg_lambda': 3.327542208677152e-05, 'gamma': 1.8124774579883946e-06}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:57:20,673] Trial 31 finished with value: -0.6997006061064596 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.06276084009199917, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.070129770329466e-05, 'reg_lambda': 3.267984591417476e-05, 'gamma': 2.226852856604759e-05}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:57:54,214] Trial 32 finished with value: -0.7994709233579829 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.07609904103450263, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003566529537875507, 'reg_lambda': 5.9635923857674384e-05, 'gamma': 1.516255754541502e-06}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:58:22,384] Trial 33 finished with value: -0.7830007973797048 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.05916075817443239, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00021002605766375846, 'reg_lambda': 3.42260573272398e-05, 'gamma': 2.1497835194115896e-06}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:58:51,845] Trial 34 finished with value: -0.7594261151821633 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.05723500598263758, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3878470005947758e-05, 'reg_lambda': 0.01959508833372287, 'gamma': 3.0724184254857905e-05}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:59:19,155] Trial 35 finished with value: -0.9271404572234163 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.16298145168257136, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 2.066850962245949e-05, 'reg_lambda': 0.02191110472212274, 'gamma': 0.005123708094555451}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 17:00:08,655] Trial 36 finished with value: -0.9874850505248748 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.14024201674054873, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 9.89767438611985e-06, 'reg_lambda': 0.00019118119066076128, 'gamma': 1.1260937226902304e-06}. Best is trial 36 with value: -0.9874850505248748.
[I 2026-07-14 17:00:53,125] Trial 37 finished with value: -1.0642848732789432 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.17747663516342937, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0499815401925257e-05, 'reg_lambda': 0.00020259446554740415, 'gamma': 3.345597157312167e-05}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:01:10,785] Trial 38 finished with value: -0.8143535878003881 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.1736205634663521, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1313896108026802e-05, 'reg_lambda': 0.00016606785431147133, 'gamma': 4.8223233853091374e-05}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:01:28,778] Trial 39 finished with value: -0.814771121516535 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.151647947650475, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 9.228283830963543e-06, 'reg_lambda': 0.00024413803949992717, 'gamma': 6.461739195728509e-05}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:01:47,004] Trial 40 finished with value: -0.8434636824126839 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.18864240130455745, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 3.833312516817886e-05, 'reg_lambda': 0.011153731184026022, 'gamma': 0.0008043300479189561}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:02:05,011] Trial 41 finished with value: -0.8364593395058874 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.17706225205937764, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 3.01805328216895e-05, 'reg_lambda': 0.00975741072342117, 'gamma': 0.001408518788746407}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:03:02,406] Trial 42 finished with value: -0.8072007051888823 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.17680333658466163, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 4.716509589129256e-05, 'reg_lambda': 0.00022377841900447733, 'gamma': 0.001208620566468368}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:03:02,452] Trial 43 finished with value: -0.843473092708556 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.18858582376375246, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 5.1578807620990876e-05, 'reg_lambda': 0.012542883767771941, 'gamma': 0.0016467968196216746}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:03:32,480] Trial 44 finished with value: -0.9809586714569701 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.1704781199796016, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 3.3559862807548635e-05, 'reg_lambda': 0.00018524228190708322, 'gamma': 0.0015221340458277065}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:04:06,376] Trial 45 finished with value: -0.8089856400468666 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.02905464614846597, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 9.002732888700598e-05, 'reg_lambda': 0.0001368023570511851, 'gamma': 0.0007646408489701052}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:04:56,241] Trial 46 finished with value: -0.7986515931441278 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.02725832778518697, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 6.405821331954637e-05, 'reg_lambda': 0.0002399781591798061, 'gamma': 0.0007282604995781581}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:05:44,997] Trial 47 finished with value: -0.7898832598888011 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.030806579106593245, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 6.59012715650931e-05, 'reg_lambda': 1.1065467019592898e-06, 'gamma': 0.0014613672753548104}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:06:28,307] Trial 48 finished with value: -0.7830331106430733 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.027620355578052896, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 6.380643669660477e-05, 'reg_lambda': 5.471723439887373e-06, 'gamma': 0.002309196828081541}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:07:13,049] Trial 49 finished with value: -0.7845018965495144 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.027131795506673655, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00010967108802688223, 'reg_lambda': 8.908186278365857e-06, 'gamma': 0.008236751039820883}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:08:02,353] Trial 50 finished with value: -0.8110988435700922 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.03334524064211767, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 3.83260436196186e-06, 'reg_lambda': 0.06554316686146199, 'gamma': 0.009386970342662622}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:08:51,960] Trial 51 finished with value: -0.7982471690114896 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.031526049340605725, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 4.626016928132726e-06, 'reg_lambda': 4.786738221250292e-06, 'gamma': 0.0067989678771246415}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:09:25,714] Trial 52 finished with value: -0.8013996709628749 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.029981154594423173, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00010337079301302998, 'reg_lambda': 9.477431362250606e-06, 'gamma': 0.013130282500071066}. Best is trial 37 with value: -1.0642848732789432.
[I 2026-07-14 17:10:04,043] Trial 53 finished with value: -0.7904970266159481 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.0323199787683195, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 4.681108685321702e-06, 'reg_lambda': 6.403690226303073e-06, 'gamma': 0.012053035230143927}. Best is trial 37 with value: -1.0642848732789432.
