[I 2026-07-14 16:32:32,193] A new study created in RDB with name: my-study
[I 2026-07-14 16:36:35,008] Trial 22 finished with value: -0.19035241451484355 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.008905218938034127, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1500765604041083e-06, 'reg_lambda': 0.00022819504094119737, 'gamma': 1.0316529810252653e-06}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:36:40,786] Trial 23 finished with value: -0.2314954415282336 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0072123791555621306, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.8189564447111295e-06, 'reg_lambda': 0.00013059745161865438, 'gamma': 1.3715017840808318e-06}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:36:42,148] Trial 24 finished with value: -0.3252164226580539 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.00029806946414841467, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.8567579916201833, 'reg_lambda': 0.0008057156450308163, 'gamma': 0.4872410061547245}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:36:53,186] Trial 25 finished with value: -0.26195635811398504 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.00037189866032509697, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.9941452179632778, 'reg_lambda': 0.0008331489093496508, 'gamma': 0.45582293597901635}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:04,822] Trial 26 finished with value: -0.25807295812793396 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.00041689658288197466, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.8071035752815064, 'reg_lambda': 0.0005899916927166242, 'gamma': 0.46495970071772585}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:20,450] Trial 27 finished with value: -0.2554039192867267 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.0004168942875542548, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.732192358358176, 'reg_lambda': 0.0012766558129869573, 'gamma': 0.2981778403399703}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:35,696] Trial 28 finished with value: -0.2611144327229511 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.000360641306182228, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7111182944369024, 'reg_lambda': 0.000796545095702456, 'gamma': 0.5096358014474462}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:39,993] Trial 29 finished with value: -0.3074670172956551 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0003889614495888903, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.6840530800374789, 'reg_lambda': 0.0009657689705113654, 'gamma': 0.5868276180951378}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:43,797] Trial 30 finished with value: -0.3122267528576554 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.0003878587447688758, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.5916592226300021, 'reg_lambda': 0.0005776962898220089, 'gamma': 0.2655675079641565}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:47,168] Trial 31 finished with value: -0.3163644493720278 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.00035857116282443267, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7377017038314517, 'reg_lambda': 0.0010247625842389704, 'gamma': 0.19535085958158854}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:50,836] Trial 32 finished with value: -0.3033835528701885 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0004594157400808803, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.8900529812644761, 'reg_lambda': 0.001136571196872709, 'gamma': 0.29986220345658765}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:52,192] Trial 33 finished with value: -0.3119638335813511 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00037083753939218673, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.9052416769776527, 'reg_lambda': 0.0009564565054683444, 'gamma': 0.37068346502371535}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:53,704] Trial 34 finished with value: -0.2994653424640374 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0006040257928008365, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.4505665644609405, 'reg_lambda': 0.001180328665063983, 'gamma': 0.2529139462580908}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:54,610] Trial 35 finished with value: -0.31997580313002694 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00025217110406255765, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.25300399260768797, 'reg_lambda': 1.1231608518930039e-05, 'gamma': 1.8119085920765863}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:55,337] Trial 36 finished with value: -0.32634654232543414 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.00020424178686641095, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.089319114501257, 'reg_lambda': 0.003421991562546959, 'gamma': 1.8694404818558985}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:56,297] Trial 37 finished with value: -0.3088048430120811 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.000703761663736936, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.09533073642763894, 'reg_lambda': 8.819982769099016e-06, 'gamma': 6.535886648925575}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:37:57,267] Trial 38 finished with value: -0.33062761603944063 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.00017177901981378196, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.1306025473422151, 'reg_lambda': 6.437734144075004e-06, 'gamma': 34.535952460052414}. Best is trial 20 with value: -0.33152706720930813.
