[I 2026-07-14 19:51:29,261] A new study created in RDB with name: my-study
[I 2026-07-14 19:55:16,508] Trial 22 finished with value: -0.055618658145236866 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.3991932543057228, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.3861675575415084, 'reg_lambda': 0.005565066097014711, 'gamma': 1.0089461057302104e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:55:39,871] Trial 23 finished with value: -0.03550902505644468 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.009757500510093413, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4684547625335041, 'reg_lambda': 0.0001690875178065684, 'gamma': 1.360262286182599e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:03,482] Trial 24 finished with value: -0.03541327456741412 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.010221877516755237, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.32536194708749894, 'reg_lambda': 0.00014359019458227943, 'gamma': 1.915540555339016e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:08,047] Trial 25 finished with value: -0.03494609265924055 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.4569503041569982, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1661610462065184, 'reg_lambda': 0.00013164202910806468, 'gamma': 1.1260113170654561e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:11,844] Trial 26 finished with value: -0.035823969571655206 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.48567056421836996, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.6296726529376206, 'reg_lambda': 5.095170916880111, 'gamma': 1.1035295427950252e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:15,247] Trial 27 finished with value: -0.04062092910803405 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.4863599426036641, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.9204848517530481, 'reg_lambda': 1.8508244659628943, 'gamma': 1.2354297328472014e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:19,106] Trial 28 finished with value: -0.0356673546544564 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.46920049320862073, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.6258843265140335, 'reg_lambda': 2.3383242818749137, 'gamma': 1.0508066319547618e-06}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:22,888] Trial 29 finished with value: -0.03962793233913013 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.4520888520634523, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.42178526644463676, 'reg_lambda': 4.2142087933288925, 'gamma': 6.883749385376166e-05}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:26,613] Trial 30 finished with value: -0.040435056598627256 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.4542459990883178, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.533078377783847, 'reg_lambda': 6.735364103354779, 'gamma': 0.00010436209054214224}. Best is trial 22 with value: -0.055618658145236866.
[I 2026-07-14 19:56:38,534] Trial 31 finished with value: -0.06509177343750938 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.4276499607219165, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.8766409524472143, 'reg_lambda': 2.2219969123773473, 'gamma': 6.627459625174711e-05}. Best is trial 31 with value: -0.06509177343750938.
