[I 2026-07-14 21:16:08,649] A new study created in RDB with name: my-study
[I 2026-07-14 21:19:58,360] Trial 22 finished with value: -0.251861879278483 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.49366547085301876, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.08556698027109048, 'reg_lambda': 0.000347446491048643, 'gamma': 0.0004987051613343569}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:20:14,991] Trial 23 finished with value: -0.22635924349334025 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.4507442616499011, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.020129736964582617, 'reg_lambda': 0.00021615371388384225, 'gamma': 0.00031853059983750776}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:20:34,013] Trial 24 finished with value: -0.21223999294379664 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.4133848454046795, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03192003622365119, 'reg_lambda': 6.817966573328051e-05, 'gamma': 0.00014262504957130817}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:20:52,307] Trial 25 finished with value: -0.1434243495401932 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.17040916656778732, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10281757847774131, 'reg_lambda': 2.503872394676291e-05, 'gamma': 0.000507828975167026}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:21:11,296] Trial 26 finished with value: -0.09167768198030048 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.023329963874714376, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10015102928198363, 'reg_lambda': 3.08163817787036e-05, 'gamma': 0.0004969143303961217}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:21:29,149] Trial 27 finished with value: -0.08489755613436392 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.02162011118443173, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.016307656167197787, 'reg_lambda': 4.696403979413419e-05, 'gamma': 0.0006817834859958171}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:21:51,204] Trial 28 finished with value: -0.15216026703553834 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.13383150315385148, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0146433299446134, 'reg_lambda': 5.995419685584435e-05, 'gamma': 0.0003745409014294186}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:22:08,841] Trial 29 finished with value: -0.15376719887235968 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.12568358970584886, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.30348942436566, 'reg_lambda': 4.239313779531925e-05, 'gamma': 0.0003226867780655778}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:22:29,060] Trial 30 finished with value: -0.1579403178284551 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.13095121439445714, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5231652832835043, 'reg_lambda': 3.8484383705387755e-05, 'gamma': 0.00022088003864452162}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:22:50,504] Trial 31 finished with value: -0.1486074077878952 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.1193565862837492, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4413723482230806, 'reg_lambda': 3.717640819356502e-05, 'gamma': 0.00017187064639013515}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:23:03,354] Trial 32 finished with value: -0.1232269030916952 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.1241298863802042, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.731570983593148, 'reg_lambda': 2.6817911812843187e-05, 'gamma': 0.01241431595968921}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:23:16,983] Trial 33 finished with value: -0.10205901926255093 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.07197604910184134, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.6158307188999879, 'reg_lambda': 0.003289845574944445, 'gamma': 0.006532195509139814}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:23:31,043] Trial 34 finished with value: -0.1138751212271588 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.09937931785507324, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4266633243245303, 'reg_lambda': 0.006185587625049944, 'gamma': 0.012882078301943486}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:23:47,166] Trial 35 finished with value: -0.12994147858317448 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.12237520286282724, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.7273328018909472, 'reg_lambda': 0.00409185099109764, 'gamma': 0.01548381717483583}. Best is trial 21 with value: -0.2580588990702375.
