[I 2026-07-14 18:57:35,180] A new study created in RDB with name: my-study
[I 2026-07-14 18:59:32,489] Trial 22 finished with value: -0.06737972109288788 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.49827321067960695, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 28.99992298372023, 'reg_lambda': 1.057833818134956, 'gamma': 1.0080308991019818e-06}. Best is trial 21 with value: -0.15015968802579147.
[I 2026-07-14 18:59:35,612] Trial 23 finished with value: -0.06738096942251488 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.4064796321478574, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 51.218181489983884, 'reg_lambda': 0.02266207569873656, 'gamma': 1.7366093303588567e-06}. Best is trial 21 with value: -0.15015968802579147.
[I 2026-07-14 18:59:48,735] Trial 24 finished with value: -0.15174074380868094 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.4989388894140592, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 4.186598080460485, 'reg_lambda': 2.311218156630875, 'gamma': 1.6521179229897703e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 18:59:58,832] Trial 25 finished with value: -0.08235958911390685 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.05420024016545545, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 3.917365761942928, 'reg_lambda': 3.0129869667217353, 'gamma': 4.569358246502646e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:00:09,166] Trial 26 finished with value: -0.07974528738174717 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.04767016621812785, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.9980425531710484, 'reg_lambda': 1.494077917196585e-05, 'gamma': 3.731966663111454e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:00:25,720] Trial 27 finished with value: -0.10730345480390757 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.08212225205861291, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.45945288395160866, 'reg_lambda': 3.931263609641449e-05, 'gamma': 4.984732705620477e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:00:28,648] Trial 28 finished with value: -0.06608272394083411 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.07159039626267946, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 12.71407980145751, 'reg_lambda': 4.086366242989865, 'gamma': 4.3398003707545495e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:00:40,063] Trial 29 finished with value: -0.0859643759258334 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.09151303459701843, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 6.162586314135867, 'reg_lambda': 1.2080162763963715, 'gamma': 3.0959689513733754e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:00:54,105] Trial 30 finished with value: -0.10017106293913677 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.09407774994900388, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 3.303910653204905, 'reg_lambda': 0.017309629851980014, 'gamma': 2.0211685294303756e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:01:16,861] Trial 31 finished with value: -0.1039670297538477 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.07923818279521787, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4078763715064067, 'reg_lambda': 1.8839846438216037e-05, 'gamma': 5.116816740679615e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:01:25,672] Trial 32 finished with value: -0.09312941088313222 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.08656920794614546, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.725227068865946, 'reg_lambda': 0.9903706365371181, 'gamma': 1.991448344275381e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:01:35,407] Trial 33 finished with value: -0.11881534655272519 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.10509186323463426, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.017523849333966023, 'reg_lambda': 0.014270974160329897, 'gamma': 2.4782900385879445e-05}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:01:43,133] Trial 34 finished with value: -0.10375565733286563 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.13696068976267556, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.018220237066565274, 'reg_lambda': 0.011769792761929809, 'gamma': 1.0198746229936826e-05}. Best is trial 24 with value: -0.15174074380868094.
