[I 2026-07-14 16:32:32,293] A new study created in RDB with name: my-study
[I 2026-07-14 16:40:32,858] Trial 22 finished with value: -0.2422947750688921 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.03708254789497552, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.1627430083724123, 'reg_lambda': 59.24891915390374, 'gamma': 4.292426962866399e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:41:35,712] Trial 23 finished with value: -0.2406348080087555 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.044517408162904566, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.17989398777673204, 'reg_lambda': 1.1018158939277308e-06, 'gamma': 1.6413858276038443e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:42:35,986] Trial 24 finished with value: -0.2456292326649621 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.058069039979127754, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.11685050328855147, 'reg_lambda': 2.1043526020425498e-06, 'gamma': 1.2669263261205682e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:43:00,196] Trial 25 finished with value: -0.22370353386154415 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.062489258069829516, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.11667177809005454, 'reg_lambda': 2.5003732397717015e-06, 'gamma': 1.2447328626020972e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:43:27,258] Trial 26 finished with value: -0.2347278134273825 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.0716967408877077, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.17699182453461915, 'reg_lambda': 2.1920553878334798e-06, 'gamma': 2.015666399137604e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:43:47,745] Trial 27 finished with value: -0.2327354249122542 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.08582840174740357, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.1862639198166544, 'reg_lambda': 1.4919317442898056e-06, 'gamma': 1.3421220043773764e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:44:39,997] Trial 28 finished with value: -0.272396403527135 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.07606854204098383, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.2263201459209037, 'reg_lambda': 5.10716669652124, 'gamma': 3.377851830995199e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:45:34,725] Trial 29 finished with value: -0.28872766868264477 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.07782002164771379, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.39703940980311, 'reg_lambda': 6.709156153849147, 'gamma': 1.8324323383472164e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:46:31,043] Trial 30 finished with value: -0.29013761133600197 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.0961808453151685, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.23563948028684847, 'reg_lambda': 4.841780230040778, 'gamma': 1.785226891498437e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:47:31,132] Trial 31 finished with value: -0.2906364085170503 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.08589008793106293, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.39747782511931395, 'reg_lambda': 5.838679908391565, 'gamma': 1.491372007366559e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:48:21,060] Trial 32 finished with value: -0.3024253624668548 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.09782500021647134, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.8096438933209786, 'reg_lambda': 5.029664296829368, 'gamma': 0.009147824274799581}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:49:18,335] Trial 33 finished with value: -0.32704226343629966 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.11031822398626137, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.7476643837545649, 'reg_lambda': 6.2930386966664855, 'gamma': 0.008184946948472762}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:50:07,061] Trial 34 finished with value: -0.3293862398582423 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.10718451460240408, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.7960602758740462, 'reg_lambda': 6.3546211051780706, 'gamma': 0.004694426880584439}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:51:03,264] Trial 35 finished with value: -0.24740288024691612 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.010923837671757291, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.8156343480620326, 'reg_lambda': 7.839714359144085, 'gamma': 0.008987082628101854}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:51:48,190] Trial 36 finished with value: -0.34146274834475115 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.1362485771671608, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5765767858553452, 'reg_lambda': 6.902558866547815, 'gamma': 0.009005790095999557}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:51:48,755] Trial 37 finished with value: -0.19713923091590052 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.1261441217896359, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 10.484635200547737, 'reg_lambda': 4.218545357941032, 'gamma': 0.011193062926922502}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:52:29,598] Trial 38 finished with value: -0.32463801811358534 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.12569664165294187, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5461857060187809, 'reg_lambda': 5.664831057943633, 'gamma': 0.034483339766497006}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:52:41,987] Trial 39 finished with value: -0.19802205615698476 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.13920929909881494, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 10.968756506962993, 'reg_lambda': 1.8036831127039614, 'gamma': 0.008254964451227613}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:52:56,065] Trial 40 finished with value: -0.21535170490076957 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.2323583106081297, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 9.214941896098944, 'reg_lambda': 1.5189324702174671, 'gamma': 0.007270909333031224}. Best is trial 5 with value: -0.3514624342864982.
