[I 2026-07-14 20:50:07,995] A new study created in RDB with name: my-study
[I 2026-07-14 20:51:57,419] Trial 22 finished with value: -0.023349132294599822 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.03926849149464319, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7077565911694692e-06, 'reg_lambda': 26.90579770975523, 'gamma': 7.996059282761126e-05}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:52:11,438] Trial 23 finished with value: -0.032610535160630165 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.045619343496601954, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.47069413609278e-06, 'reg_lambda': 0.03590962891963718, 'gamma': 0.000118773550570568}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:52:26,405] Trial 24 finished with value: -0.03496251402705883 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.05950973427934002, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.8180841728337165e-06, 'reg_lambda': 0.03451659083075175, 'gamma': 0.00024142790856927757}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:52:42,196] Trial 25 finished with value: -0.032814961115201234 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.049069274513377524, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.7533357684795824e-06, 'reg_lambda': 0.026145604443346335, 'gamma': 0.00042058699933230693}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:52:59,041] Trial 26 finished with value: -0.030816508683822935 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.05260488799640914, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.26369226672438e-05, 'reg_lambda': 0.017163984932043536, 'gamma': 0.00029680559282968354}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:10,269] Trial 27 finished with value: -0.03194489854171888 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.0947463829219267, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.9119985708589184e-05, 'reg_lambda': 0.01620791031149556, 'gamma': 0.00027614960791215687}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:13,082] Trial 28 finished with value: -0.03607185778296976 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.39272042594563616, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.570089661144152e-05, 'reg_lambda': 0.06528446664109538, 'gamma': 0.0008982632120671948}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:15,443] Trial 29 finished with value: -0.04007581606916244 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.48424194498117823, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 5.364760195956331e-05, 'reg_lambda': 0.03879596134315722, 'gamma': 0.0017998442481765259}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:18,656] Trial 30 finished with value: -0.037215340574108725 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.4465824540285462, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.4977797050188957e-05, 'reg_lambda': 0.03321163978446751, 'gamma': 0.0010589943687115942}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:27,221] Trial 31 finished with value: -0.05012954876272156 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.2385780085983857, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 2.3002914866860353e-05, 'reg_lambda': 0.03056030081603096, 'gamma': 0.0008056547423136215}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:38,014] Trial 32 finished with value: -0.05095794712806057 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.2565971811778774, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5031076535086563e-05, 'reg_lambda': 0.017826546437060886, 'gamma': 0.0003838665908359996}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:48,717] Trial 33 finished with value: -0.04911669517365039 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.22288344564939339, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.024974651768352e-05, 'reg_lambda': 0.00015997001984472293, 'gamma': 0.001020920920032438}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:53:58,914] Trial 34 finished with value: -0.05148692657859181 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.2420116141331404, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.3501087254671808e-05, 'reg_lambda': 0.0002259907984173391, 'gamma': 0.0009877533135953563}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:02,678] Trial 35 finished with value: -0.05148562019654215 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.24577269256905895, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0005075731515143506, 'reg_lambda': 5.712565666846587, 'gamma': 0.0010406990520234578}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:06,009] Trial 36 finished with value: -0.03867018935937139 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.2515871742080152, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0005739436147773419, 'reg_lambda': 0.0003120166286096474, 'gamma': 0.0012370589868729092}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:08,916] Trial 37 finished with value: -0.031081492691703513 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.23291315137737406, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 9.021986058279615e-06, 'reg_lambda': 0.00010434880495696103, 'gamma': 0.0017419119100940648}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:12,240] Trial 38 finished with value: -0.050510018631597244 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.47296884085176877, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0517566127514999e-05, 'reg_lambda': 6.188461496632535, 'gamma': 0.0014888429009377259}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:13,901] Trial 39 finished with value: -0.03794798052668132 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.19878989409956796, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 8.196986537618786e-06, 'reg_lambda': 0.0003645066606916284, 'gamma': 0.0018401923179221676}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:25,169] Trial 40 finished with value: -0.062054559512596384 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.2562599423347314, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 8.37715910801521e-06, 'reg_lambda': 0.00033894742908843593, 'gamma': 0.0014682488096111126}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:38,016] Trial 41 finished with value: -0.05672938929767096 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.20737332374124712, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 7.631606794704932e-06, 'reg_lambda': 0.00023341191273299744, 'gamma': 0.018214125465690633}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:51,392] Trial 42 finished with value: -0.04361992703767976 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.114163565252964, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 7.024124706863012e-06, 'reg_lambda': 3.111507341513796e-05, 'gamma': 0.0375466302861491}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:54,086] Trial 43 finished with value: -0.03919448428936586 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.1141566187947244, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00019552543306651624, 'reg_lambda': 6.626206760441981, 'gamma': 0.07925648595405727}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:56,785] Trial 44 finished with value: -0.03793988127612205 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.11160355831672443, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00013777302393267263, 'reg_lambda': 4.740520751369496, 'gamma': 0.039833012149935954}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:57,853] Trial 46 finished with value: -0.019239055170487473 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.1077599720530877, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00010087642702004435, 'reg_lambda': 0.0059569633491934285, 'gamma': 0.5834146567226527}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:54:58,583] Trial 45 finished with value: -0.035597040815235986 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.12850802696167335, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00016565934441232718, 'reg_lambda': 6.37136102343848, 'gamma': 0.028457343764497052}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:55:01,676] Trial 47 finished with value: -0.0191373175893776 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0016395562899256385, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00015999301297205375, 'reg_lambda': 5.654714309807776, 'gamma': 0.0329188631467122}. Best is trial 9 with value: -0.07157516160335382.
