[I 2026-07-14 16:42:23,738] A new study created in RDB with name: my-study
[I 2026-07-14 16:47:54,024] Trial 28 finished with value: -0.0878499472665857 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0003748140651923637, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.9280106127792302, 'reg_lambda': 76.72743312523608, 'gamma': 3.0576265165452285e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:48:00,139] Trial 29 finished with value: -0.09915194226489044 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.0003980347128729762, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 3.9518914957486766, 'reg_lambda': 0.08631836176673882, 'gamma': 10.599680274418857}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:48:36,793] Trial 30 finished with value: -0.10057330835503481 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.00035279089644771225, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 2.3738123480970956, 'reg_lambda': 0.09189700239758708, 'gamma': 4.092753967985901e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:49:05,542] Trial 31 finished with value: -0.10051659917844678 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0003695129564147036, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 2.2932414187710717, 'reg_lambda': 83.1130664993972, 'gamma': 3.572799555227231e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:49:32,151] Trial 32 finished with value: -0.1081457411497878 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.00026288924222075076, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 3.1447580225649916, 'reg_lambda': 60.21211521661928, 'gamma': 2.9573991617037072e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:49:57,679] Trial 33 finished with value: -0.07452371058375877 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.0011338928352153622, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 4.702221985619895, 'reg_lambda': 89.35184837310804, 'gamma': 0.00014106302697681483}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:50:28,744] Trial 34 finished with value: -0.06817916860771524 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.0011007129786596965, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 7.79425718158692, 'reg_lambda': 64.61669479535145, 'gamma': 2.7984443601542657e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:50:41,213] Trial 35 finished with value: -0.1011241773740814 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.00022748815190451376, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 7.739604845162504e-05, 'reg_lambda': 71.63329690869686, 'gamma': 2.2630577462746456e-05}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:50:45,406] Trial 36 finished with value: -0.08961675692443696 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.001165676917466092, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 97.45523481880502, 'reg_lambda': 0.08080295329652255, 'gamma': 0.057344329191764395}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:50:55,760] Trial 37 finished with value: -0.0660102233204455 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.001267829420628138, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 6.493007701425897e-05, 'reg_lambda': 1.0193077076861976, 'gamma': 4.1871944837076646e-05}. Best is trial 3 with value: -0.13186739598841804.
