[I 2026-07-14 20:15:49,416] A new study created in RDB with name: my-study
[I 2026-07-14 20:23:02,821] Trial 44 finished with value: -0.5003600987300754 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.4916031162257533, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.003524626934649279, 'reg_lambda': 0.5511375954594717, 'gamma': 0.00016848507008831074}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:10,205] Trial 45 finished with value: -0.2595849972741849 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.49796503491986766, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0019166308201803738, 'reg_lambda': 0.6796836654790669, 'gamma': 0.00031219252713710164}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:16,386] Trial 46 finished with value: -0.17512250089077444 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.3947604413677866, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.000141668800459063, 'reg_lambda': 0.2056892674144546, 'gamma': 0.0002646376805966488}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:24,794] Trial 47 finished with value: -0.21976830922497198 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.3177081213602406, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00012237430840837893, 'reg_lambda': 0.23363177587780298, 'gamma': 0.00042871492412209305}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:38,661] Trial 48 finished with value: -0.30031257537687966 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.2870363864364444, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0001779754619032932, 'reg_lambda': 0.19084518373134446, 'gamma': 1.5001530121467663e-05}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:45,030] Trial 49 finished with value: -0.1531241639647663 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.31336407375570136, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00017806655614652724, 'reg_lambda': 0.19104683759785843, 'gamma': 0.0003044866797735703}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:23:52,579] Trial 50 finished with value: -0.13836121579371788 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.2934893206868425, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00014920579995523483, 'reg_lambda': 0.24683262508826367, 'gamma': 3.277286729931718e-05}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:24:07,789] Trial 51 finished with value: -0.24851153727496403 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.31453768385506825, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.018644482583950885, 'reg_lambda': 0.2032018020518754, 'gamma': 0.00033588739407905513}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:24:22,525] Trial 52 finished with value: -0.24039043848541 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.28370636147486483, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.014185312768416402, 'reg_lambda': 0.18500404535213033, 'gamma': 0.000322739992646283}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:24:26,936] Trial 53 finished with value: -0.1053753530256602 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.2586393491041, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.017085784703652095, 'reg_lambda': 0.1665004046390718, 'gamma': 0.00046726645622408746}. Best is trial 44 with value: -0.5003600987300754.
[I 2026-07-14 20:24:32,874] Trial 54 finished with value: -0.14719567292885063 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.30120379032446687, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.014413852362973108, 'reg_lambda': 22.672708976448686, 'gamma': 0.00046031942373081855}. Best is trial 44 with value: -0.5003600987300754.
