[I 2026-07-14 16:32:32,206] A new study created in RDB with name: my-study
[I 2026-07-14 16:39:30,997] Trial 39 finished with value: -0.19880446248824118 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0002833543472741024, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004251601543760507, 'reg_lambda': 2.2863331503026497e-05, 'gamma': 3.0771988729453525}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:31,552] Trial 38 finished with value: -0.19837745286811276 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.00030338827977516574, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.2403044579367453e-05, 'reg_lambda': 2.3714859814898686e-05, 'gamma': 0.17961402769494483}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:31,817] Trial 40 finished with value: -0.19805894617233646 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.00043114525500444385, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004112046062980388, 'reg_lambda': 2.5360682035789558e-05, 'gamma': 6.10926531408412}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:32,085] Trial 41 finished with value: -0.17084399232259923 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.47743688493479836, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 2.2063351276493864e-05, 'reg_lambda': 2.3610938936128594e-05, 'gamma': 2.7060011867634732}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:32,256] Trial 42 finished with value: -0.1809680729348681 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.011576662003522913, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 9.263591070449249e-06, 'reg_lambda': 2.7177347015247925e-05, 'gamma': 7.302553965554838}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:34,108] Trial 43 finished with value: -0.1724870551144989 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.48621602558391314, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.9941905024990867e-05, 'reg_lambda': 2.3388339313358332e-05, 'gamma': 5.333500606388161}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:36,223] Trial 44 finished with value: -0.17209452878802847 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.11192171640734319, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 2.1583393325051667e-05, 'reg_lambda': 1.8432616316333267e-05, 'gamma': 5.666524379778213}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:38,659] Trial 45 finished with value: -0.17482177270058985 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.44145203830465435, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7748343860642095e-05, 'reg_lambda': 2.2317522949850263e-05, 'gamma': 9.682888555615149}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:40,896] Trial 46 finished with value: -0.18175404149029772 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.39289748977918, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.291043832865146e-05, 'reg_lambda': 0.0007035335464600469, 'gamma': 32.70210136763778}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:43,040] Trial 47 finished with value: -0.19257149639776672 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.3950878640287387, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.17512962287895073, 'reg_lambda': 0.0015628720298224632, 'gamma': 80.61575415535079}. Best is trial 35 with value: -0.26905191462342254.
