[I 2026-07-14 18:10:10,066] A new study created in RDB with name: my-study
[I 2026-07-14 18:17:18,429] Trial 22 finished with value: -2.2005625540454274 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.49013432760656983, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.159145077738945e-06, 'reg_lambda': 0.28125916431823955, 'gamma': 5.595830212525338e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:17:20,364] Trial 23 finished with value: -1.2521602812173012 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.015596580144053013, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 4.859106497044253e-06, 'reg_lambda': 0.5586840746835592, 'gamma': 3.244294304307957e-05}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:17:49,368] Trial 24 finished with value: -1.4630166391851154 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.022043098302167934, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.21013343242948887, 'reg_lambda': 0.38924431748132926, 'gamma': 8.536157123410265e-05}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:18:09,585] Trial 25 finished with value: -1.4403728295055498 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.030804754052881717, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.33577833132010565, 'reg_lambda': 0.4664270692876334, 'gamma': 0.00010447965878111118}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:18:17,026] Trial 26 finished with value: -1.2797207959630277 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.03398948731024233, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.10381011839818798, 'reg_lambda': 0.36452862313347295, 'gamma': 0.0002823103341354874}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:18:18,079] Trial 27 finished with value: -1.4305766042723074 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.2994826535572841, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.24002290101384657, 'reg_lambda': 0.49093728414501375, 'gamma': 0.00013670261831154554}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:18:20,118] Trial 28 finished with value: -1.4592965821793613 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.18898642666842363, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02117107967486236, 'reg_lambda': 0.4726635785936151, 'gamma': 0.00030374634453815303}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:18:39,005] Trial 29 finished with value: -1.7672325467284675 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.21238397659377437, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.023967869764928, 'reg_lambda': 1.7610335267080028, 'gamma': 0.0001717512313340852}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:19:11,293] Trial 30 finished with value: -2.0734567633305914 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.48298638371279606, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.5589269744099435e-05, 'reg_lambda': 1.0317164192023016, 'gamma': 1.0185265500900814e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:19:39,871] Trial 31 finished with value: -1.5177718097324393 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.05431451196947793, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.371518503262792e-05, 'reg_lambda': 3.6977454863174644, 'gamma': 0.0002879527853871797}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:20:13,546] Trial 32 finished with value: -2.1953926707986957 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.4586923337135159, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 2.006355719116503e-05, 'reg_lambda': 4.385014414978144, 'gamma': 1.079335979083576e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:20:33,035] Trial 33 finished with value: -2.112593747707829 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.4912175697795538, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.2183562960033748e-05, 'reg_lambda': 6.526882321045195, 'gamma': 1.7703512741068668e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:21:06,279] Trial 34 finished with value: -2.2491589540135086 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.49106958338822965, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004986819178603694, 'reg_lambda': 4.261906053645931, 'gamma': 1.4102224801669837e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:21:39,848] Trial 35 finished with value: -2.1567723820787115 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.43539952846524443, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.006299849689367089, 'reg_lambda': 4.218084871578924, 'gamma': 1.4707673004612231e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:22:18,412] Trial 36 finished with value: -2.1196845868422503 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.4257284382839082, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5903295080021754e-05, 'reg_lambda': 6.2597245915514685, 'gamma': 1.5446652995403075e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:22:38,524] Trial 37 finished with value: -1.401756766583692 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.05480068579893254, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.3446424548971556e-05, 'reg_lambda': 7.0555229721820245, 'gamma': 1.3439145852536028e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:23:12,996] Trial 38 finished with value: -1.999689019711778 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.43150256838713885, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.702024901040705e-05, 'reg_lambda': 2.2838142119075746, 'gamma': 2.19611631582726e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:23:34,804] Trial 39 finished with value: -1.9729620901430556 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.49900001005755246, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5672336213598552e-05, 'reg_lambda': 13.595956148765124, 'gamma': 1.393298259689998e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:24:16,345] Trial 40 finished with value: -2.232425919714025 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.4872338299928862, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4932915157623374e-05, 'reg_lambda': 9.504381540292304, 'gamma': 1.8688735830289154e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:24:36,181] Trial 41 finished with value: -1.8326482345173187 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.3335767700545013, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3369609767668428e-05, 'reg_lambda': 7.401117202453356, 'gamma': 4.396820751644904e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:25:17,482] Trial 42 finished with value: -1.881054810198218 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.2886377907010859, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.008171460273521584, 'reg_lambda': 11.556386423765074, 'gamma': 4.060656900730158e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:26:01,872] Trial 43 finished with value: -1.9114236212039402 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.2660858180301906, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0463519951967525e-06, 'reg_lambda': 15.415297426798038, 'gamma': 5.692781616736709e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:26:37,908] Trial 44 finished with value: -1.8963625441010015 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.2460052157204985, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0026467501053066543, 'reg_lambda': 18.53703455185577, 'gamma': 5.940742574869472e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:27:22,571] Trial 45 finished with value: -1.9063853842028193 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.2564828026403557, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0014870243222573575, 'reg_lambda': 22.46807050457484, 'gamma': 9.474941092028375e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:28:04,417] Trial 46 finished with value: -1.7400689064270423 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.17302214149489537, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0017935081598140236, 'reg_lambda': 21.81867927443851, 'gamma': 6.2409872167406814e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:28:46,489] Trial 47 finished with value: -1.7169204386390384 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.15838915667054212, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0010436180783096863, 'reg_lambda': 20.263772032865806, 'gamma': 5.948942499026954e-06}. Best is trial 21 with value: -2.5298515169010733.
[I 2026-07-14 18:29:30,218] Trial 48 finished with value: -1.9335628373220866 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.27742953292242545, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2856528272477092e-06, 'reg_lambda': 21.82733810527356, 'gamma': 9.414217848788637e-06}. Best is trial 21 with value: -2.5298515169010733.
